place_name,latitude,longitude,rating,review_text
"Annipie Roxas",7.0695261,125.6148946,5,"The Hickory Smoked Pork Belly is great, tender and good flavor. Their Pistachio White Latte tasted great during breakfast. Mabait din yung Cashier/Staff nila, very accomodating. Relaxing and spacious, air conditioned and well lit ang loob. Overall a great experience."
"Annipie Roxas",7.0695261,125.6148946,5,"Had both lunch and dinner here and asked the staff what's their less popular but highly recommended dish. They suggested K-Pasta and Lemon Butter Dory, and it did not disappoint! Solid 10/10!! That lemon butter dory lives rent-free in my head lol"
"Annipie Roxas",7.0695261,125.6148946,5,"Annipie’s coffee is consistently good! We went here on a Sunday around noon after church for coffee and food and they weren’t too busy. First impression, the place was clean and we were greeted by staff. This is plenty of seating here including an upstairs. We ordered a White Cinnamon Latte, Pistachio White Latte, Smoked Bacon, Pork Tocino and a brownie. We had an enjoyably meal and enjoyed our coffee as well. No complaints here and free WiFi and the CR was clean."
"Annipie Roxas",7.0695261,125.6148946,5,"Annipie has surely crafted their pastries elegantly and flawlessly brewing their coffee. Always a great choice as a ""go-to"" bakery especially for a sweet tooth person. A flavors that mingle and dance, creating a perfect harmony on the taste buds. They also have meals on their menu. We had a great time visiting the cafe. The staff are friendly too. The ambiance is cozy. Making it more welcoming."
"Annipie Roxas",7.0695261,125.6148946,5,"Many food options are available. I was able to try their palabok, nachos with bacon and cheese, cinnamon buns, latte, and hot matcha. Their cinammon buns are highly recommended, especially the cream cheese flavored ones. Service was efficient and they open early in the morning during weekdays, just in time for breakfast at 7am. They have numerous seats available, and toilet is provided inside the resto."
"Annipie Roxas",7.0695261,125.6148946,3,"Limited parking space at the front was cramped. I wouldn’t be surprised if my vehicle had a ding (at the right) while we were already dining inside. Too tight getting in and out of the vehicle door. Late lunch but the food was out really quick. Too hungry to savor what we ordered: Seafood Marinara, Kiwi Crush, Cappuccino, Pansit Palabok, and a square of brownie. Company-owned or a franchise? Dunno, but I can only compare this with the one at Airport View. Soupy pasta and serving size was for one person. Is this normal? The exact same pasta at Airport View was dry and smaller in size. I wonder if the other branches are at odds also with the menu. Well, I just expected a bit of similarity between both branches. (And that’s just two I’ve tried). Prices are reasonable. Counter staff not attentive past the busy lunch hour. Not top notch but I would still go here to feed myself when I’m in the area."
"Annipie Roxas",7.0695261,125.6148946,5,"My family and I had a late lunch here. We tried the palabok and pasta, and everything was very delicious. The revel bar, brownies, and cinnamon roll were really good. The place was clean and nice, and the staff were friendly. I’m also obsessed with their yuca plant. I highly recommend this place."
"Annipie Roxas",7.0695261,125.6148946,3,"Got the Hungarian sausage meal along with the pink lemonade slush for about 370₽. Finished the sausage and was still hungry so decided to order the fries three ways for 200₽. The food is really expensive for what you get. The fries especially, they just had powder sprinkled over them. I could’ve gotten the same thing at potato corner for less. Felt sort of cheated walking out the restaurant."
"Annipie Roxas",7.0695261,125.6148946,5,"Love the interior and ambiance. Perfect for small group meeting (and date-date). Friendly and smiling din ng crews nila 😊 Well, they are very known with their cinnamon and cakes.. But I also love their Nachosss!!! ❤️"
"Annipie Roxas",7.0695261,125.6148946,5,"Great food with very good service. You can pay by credit card here."
"Annipie Roxas",7.0695261,125.6148946,4,"Food and service is good, the interior design is eye-catching and the indoor plants made the place cozy and posh."
"Annipie Roxas",7.0695261,125.6148946,5,"Overall, dining here was a great experience! The restaurant's ambience was bright, clean, and welcoming. The employees were friendly. They have a large menu with a good variety of Filipino-friendly choices of appetizers, main courses, desserts, and drinks. We got the spicy binagoongan which was tender, just the right amount of spicy, and overall delicious. The pork tocino was great with the pickled veggies served on the side. The pistachio blondies, chocolate ganache, mango sansrival, and cheesecake were all good too. And all the prices are fair! Sarap talaga kumain dito, plus hindi masakit sa bulsa."
"Annipie Roxas",7.0695261,125.6148946,4,"Always come here for breakfast and lunch. Very clean and the staff very polite and well presented. But only negative is male staff member putting his feet on the chairs where customers sit and eat. Not a good look"
"Annipie Roxas",7.0695261,125.6148946,5,"Very friendly staff and great food"
"Annipie Roxas",7.0695261,125.6148946,1,"The service takes a lot of time."
"Annipie Roxas",7.0695261,125.6148946,4,"Great place and food but parking is a big concern. Only a few cars can park."
"Annipie Roxas",7.0695261,125.6148946,5,"Good :)"
"Annipie Roxas",7.0695261,125.6148946,5,"Service was great, they listen to their customers concern about the food"
"Annipie Roxas",7.0695261,125.6148946,5,"- No pets Allowed"
"Annipie Roxas",7.0695261,125.6148946,5,"Annipie is the best cafe in Davao. The staff is so nice and food is always yummy. Thank you Annipie"
"Annipie Roxas",7.0695261,125.6148946,3,"While the ambiance is lovely, my experience at the Roxas branch was a bit disappointing compared to their other locations. The food portions are noticeably smaller for the price, and unfortunately, the taste of the drinks doesn't quite justify the cost. I hope they can improve their consistency across branches."
"Annipie Roxas",7.0695261,125.6148946,3,"Dry breads, cinnamon and very superficial taste🥲, but cooked foods are yummy, it's just hard to pass up on their pastries haha, good cafe tho!"
"Annipie Roxas",7.0695261,125.6148946,1,"Love the place, but the coffee sucks. I ordered an Ice Coffee Latte, and it tasted like sugar. It was so sweet. If I’m going to compare it to coffee project, it’s so far away. The taste of the coffee is 1/10. I didn’t even take another sip."
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,3,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,4,""
"Annipie Roxas",7.0695261,125.6148946,4,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,4,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,5,""
"Annipie Roxas",7.0695261,125.6148946,4,""
