place_name,latitude,longitude,rating,review_text
"Blugré Coffee",7.0635974,125.5943948,4,"Just dropping by at Blugre Coffee inside MTS and the place instantly gave that cozy and relaxing vibe perfect for slowing down for a while. ☕✨ What I like about cafés in MTS is that even with the lively surroundings, there are still spots where you can simply sit, breathe, and enjoy the atmosphere. Blugre Coffee has that kind of feel — casual, comfortable, and welcoming. The place has a nice setup for coffee dates, quiet conversations, or even just spending time alone while enjoying your drink. The lighting and interiors also make the café visually relaxing, especially during late afternoon or evening. I also noticed that many customers seemed comfortable staying for a while, which says a lot about the ambiance of the place. Sometimes it’s not only about the coffee, but the feeling a café gives when you walk in. If you’re around MTS and looking for a place to rest for a bit, chill, or simply enjoy the café atmosphere, Blugre Coffee is worth checking out."
"Blugré Coffee",7.0635974,125.5943948,3,"it’s an experience. the ambiance is very welcoming and cozy. if youre a student like me, studying is nice since the atmosphere is chill inside the cafe. it might be noisy outside since its in the center of a busy place. only downside is that they don’t turn on their air-conditioning, so it was hot inside the cafe. maybe because little to no costumers are dining in"
"Blugré Coffee",7.0635974,125.5943948,4,"Place is cozy, and chill. It was afternoon and hot when we got there good thing their AC is working smoothly. I just wish the place has more “light” cos some parts are a bit dark. Free parking too! Hurray! Durian Coffeeccino is a hot drink, it has strong coffee taste and with a hint of durian aroma. Surprisinly it has Durian pieces inside! What a treat. Same goes with their Durian Arctic Blast which is a cold/iced version of the Durian Coffeecino. Big surprise is the Durian Bar. Tastes like cheesecake with a hint of durian flavor. We really enjoyed this one. No wonder this cafe has been in biz since 1998! A true Davao gem"
"Blugré Coffee",7.0635974,125.5943948,1,"We came here craving for desserts and coffee but their cakes are old expired, so dry it crumbles apart when you touch it. This seems very consistent because we ordered all of the cakes on display. Too bad"
"Blugré Coffee",7.0635974,125.5943948,4,"I love their durian coffeeccino, with simple meals and desserts. they have a nice ambience and has 1 table for outdoor dining. its fronting ayala business center in MTS"
"Blugré Coffee",7.0635974,125.5943948,2,"I dropped by Bluegré Coffee in Davao City today to try their Durian Caffeccino. I was curious about how it would taste, but unfortunately, the experience was a mixed bag. The service started off fine—I was greeted politely—but things went downhill when I saw the guy behind the counter picking his nose. That’s an instant red flag when you’re about to order food or drinks. The café itself was clean, and the atmosphere was nice. However, I was disappointed that both the upstairs area and additional seating were closed. It felt like there was limited space to sit and relax. Although sitting outside in a storm was a chilling experience for me at least. Now, about the Durian Caffeccino—I wasn’t impressed. I’d rate it 3 out of 10. For ₱235 (grande), I expected something better. If you love durian, you might enjoy its strong and unique taste, but for me, it didn’t work. The flavour was overwhelming in a way that didn’t blend well with the coffee. So onto the ratings: Venue: 3/5 – Clean and cozy, but limited seating. Service: 3/5 – Would have been higher if not for the hygiene issue. Drink: 2/5 – Not worth the price. Would I go back? Maybe, but definitely not for the Durian Caffeccino."
"Blugré Coffee",7.0635974,125.5943948,5,"Good ambiance and good coffee and cakes 👌 I visited recently and they seem the have redesigned the place. I still always lobe their Durian Arctic Blast and their chocolate drink. So good to be back."
"Blugré Coffee",7.0635974,125.5943948,2,"The food was a bit weird, Quesadillas dip was spaghetti sauce topped with whipped cream? Coffees are mediocre. Service is ok, kind staff. The place is missing something. Kinda dark and dead."
"Blugré Coffee",7.0635974,125.5943948,5,"Went for a quick snack. Just had a raspberry tea (which tasted really good) and a macaroon (which was unexpectedly good as well). Would love to try their durian-flavored drinks next time."
"Blugré Coffee",7.0635974,125.5943948,5,"Organic Durian coffee, not too sweet and with natural slices/bits of durian fruit. The place is cozy too. This is one of a kind coffee shop introducing durian."
"Blugré Coffee",7.0635974,125.5943948,3,"ordered iced coffee & tea and it was not bad. ambiance is good. possibly only down side is for a big cafe like this, its unfortunate that they do not accept card transactions."
"Blugré Coffee",7.0635974,125.5943948,5,"I ordered DUTERTEA and it was sooooo good. It's Durian + Matcha Tea, surprisingly good. This is Davao's home grown coffee shop."
"Blugré Coffee",7.0635974,125.5943948,1,"had to wait more than 30mins for a one drink :) mind you it was not busy at that time."
"Blugré Coffee",7.0635974,125.5943948,5,"Since college days (23 years ago), on their original branch in Landco (where Figaro is now), when it comes to blended coffee in Davao City, Blugre is the only option for me. My all time favorite is Blended White Chocolate Mocha paired with their Carbonara and/or Quesadilla. This is my foolproof combination. Nowadays, i switch between my tried and tested Blended White Chocolate Mocha and Blended Durian Arctic Blast depending if im craving for durian on a coffee time or not."
"Blugré Coffee",7.0635974,125.5943948,4,"Nice place to meet friends and have cakes and coffee/tea. Quiet and cool. Aircon is really good this time. No probs in parking esp if its Sunday or wkday. I love the choco torte with cream."
"Blugré Coffee",7.0635974,125.5943948,5,"Sweet cakes and excellent food. Ambience is cool"
"Blugré Coffee",7.0635974,125.5943948,1,"First impression I got by coming to this coffee shop was not so good at all. It didn't feel like a very accomodating place like starbucks,I asked one of their staff about their schedule, but dedma as if he did not hear me at all. But since I was curious about the place and their durian coffee I thought maybe I'll give it a chance. And I do love their durian coffeeccino but the downside is their terrible service which our order was not prioritized it took a while for my husband and I to wait our order and the other customer that came in later than us at the coffee shop got theirs first. Also they did not put a sign that the top floor is only for wine, so we have to feel like being kicked out. It wasn't nice at all and definitely not very accomodating too. I'd rather go more often to starbucks for their great service. It will make you feel homie and cozy."
"Blugré Coffee",7.0635974,125.5943948,5,"Artic blast is the best for durian lovers"
"Blugré Coffee",7.0635974,125.5943948,5,"Coffee's still the same like early 2000... Very nostalgic place."
"Blugré Coffee",7.0635974,125.5943948,2,"Known for its durian coffee back in late ‘90s (it was the first too in Davao City). Still on the menu are the old faves — Chicken Enchilada and White Choco Torte….This used to be “the coffee hang out” during its glory days…But as so many new coffee shops sprouted through the years, issues with poor air conditioning, slow internet connection, and the second floor always unavailable loudly spells TERRIBLE service. Yes, and staff ain’t even that accommodating. 🤨"
"Blugré Coffee",7.0635974,125.5943948,4,"Durian Coffeeccino is a must-try. Just try."
"Blugré Coffee",7.0635974,125.5943948,5,"I love this place. It's a good place to unwind. They also have variety of wines. They also have acoustic band,not sure what days of the week but most probably on weekends. The service is good..they attend to your needs immediately.The place is not that spacious though but I still love it."
"Blugré Coffee",7.0635974,125.5943948,5,"Durian coffeeccino is not for thr faint-hearted. 😁"
