place_name,latitude,longitude,rating,review_text,Shop_Type
444 Coffee,7.0821899,125.6053264,5,loved the smooth spanish latte and the unique blueberry cinnamon. both are a must-try! 🧡,Coffee
444 Coffee,7.0821899,125.6053264,5,I love their coffee. 💕 The place is so aesthetic and cozy.,Coffee
444 Coffee,7.0821899,125.6053264,5,Asked barista for order suggestion and recommendation was on point with what I wanted to try ✨,Coffee
444 Coffee,7.0821899,125.6053264,5,Coffee that actually hits!! Love their sea salt spanish latte 💯 …,Coffee
444 Coffee,7.0821899,125.6053264,5,The Classic Cream Cheese Scroll is 10 out 10. It's really really good ⭐ ⭐ ⭐ ⭐ ⭐,Coffee
444 Coffee,7.0821899,125.6053264,5,the kind of CAFFEINE KICK that actually gets you through the day!,Coffee
444 Coffee,7.0821899,125.6053264,5,I love their Matcha and coffee,Coffee
444 Coffee,7.0821899,125.6053264,5,Must try!! 👍🏻 …,Coffee
444 Coffee,7.0821899,125.6053264,4,"tried this new coffee shop in the late afternoon and it wasn’t too busy. the staff were very accommodating and gave great recommendations for their drinks and pastries. i got the ichiban matcha (7/10), which had a gentle bold and grassy aftertaste, though it was a bit sweeter than i expected even with balanced sweetness. sea salt spanish latte (9/10) because it wasn’t overly sweet and had a well-balanced flavor. i also enjoyed their biscoff scroll (9/10) since it wasn’t too sweet. the café has a clean, cozy atmosphere with a nice vibe, making it a great spot to relax.",Coffee
444 Coffee,7.0821899,125.6053264,4,"First time visiting and I really liked the place. The café is cozy, clean, and has a relaxing atmosphere. I ordered the iced sea salt Spanish latte. It wasn’t bad, but it leaned more on the sweet side than I expected, so I couldn’t really taste the coffee as much. Overall, it was still a pleasant visit, and I’m looking forward to trying their other coffee drinks next time.",Coffee
444 Coffee,7.0821899,125.6053264,5,"Coffee and Matcha options are good, well crafted. Place offers good place to stay for a while and have good conversations with friends.",Coffee
444 Coffee,7.0821899,125.6053264,5,Mont Blanc was really good! A must-try in the menu.,Coffee
444 Coffee,7.0821899,125.6053264,5,Currently obsessed with mont blanc!! 😍 …,Coffee
444 Coffee,7.0821899,125.6053264,5,Sea Salt Latte is soooo good!!! Been ordering it for 3x already,Coffee
444 Coffee,7.0821899,125.6053264,5,Their matcha is accommodating and delicious!,Coffee
444 Coffee,7.0821899,125.6053264,5,"The coffee is super delicious. My personal fave is the seasalt spanish latte!! Not one of the cafes that is purely aesthetic. At 444, the cafe is aesthetic, the coffee is even more delicious. Highly recommend you guys try out their coffee.",Coffee
444 Coffee,7.0821899,125.6053264,4,,Coffee
444 Coffee,7.0821899,125.6053264,5,Good cinnamon rolls,Coffee
444 Coffee,7.0821899,125.6053264,5,,Coffee
444 Coffee,7.0821899,125.6053264,5,,Coffee
444 Coffee,7.0821899,125.6053264,5,💯,Coffee
444 Coffee,7.0821899,125.6053264,5,,Coffee
