place_name,latitude,longitude,rating,review_text,Shop_Type
Aloha Coffee Bar,7.0631822,125.5942339,4,A few doors near Taste of Home and right beside the stairs going to the second floor on one side. Tiny shop with the usual budget-friendly coffee variants and some pastries. At first I thought cornflakes (cereal) were swimming inside on top of some ice. Turns out they were caramel puffs (not even that sweet). Place opens earlier than most coffee shops so that’s a PLUS for me.,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,4,"Nice little coffee shop in Matina Town Square on the first floor. It was clean and comfortable and had some cool jazzy R & B music playing. I was greeted by the staff and ordered the Long Black (hot) and a Revel Bar. The coffee was bold and a little bitter, but it did pair well with the Revel Bar and I did enjoy them both. There is seating both inside and outside. I’d go again if in the area.",Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,"As you can see, I took a lot of photos in this coffee shop. The cafe can only occupy at least around 10 persons (inside) and few seats outside. We ordered ✅Caramel Puff Latte - ⭐⭐⭐⭐⭐ ✅Smores Latte - ⭐⭐⭐⭐⭐ ✅Crème Brulee Latte - ⭐⭐⭐⭐⭐ ✅Spanish Latte - ⭐⭐⭐⭐ Each sip reveals a symphony of flavors, perfectly harmonized, and just a divine balance of richness and smoothness makes these coffees unforgettable! The ambiance is giving retro but intrend vibe. Opens Mon-Thur 7:30am-9pm Fri-Sat 7:30am-10pm Sun 10am-8pm",Coffee
Aloha Coffee Bar,7.0631822,125.5942339,4,Chill vibe inside the cafe but has limited seating capacity. Must try their Smores latte. They didn't have any food menu at the time I was there they had brownies on display which was at Php 45.,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,"they have the best spanish latte highkey. and my go-to coffee shop since i study at mmcm, so it’s pretty neat. best thing about the place is their vinyl player and their lamp. place looks totally dope with their oldies furniture as well 💯",Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,Place is small but vv cozy especially around closing time. Barista is accommodating. Drinks are 💯! a bit pricey but totally worth it.,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,"Went here for a quick escape from a hot, bustling hi-way commute … *same as keepsakes",Coffee
Aloha Coffee Bar,7.0631822,125.5942339,4,"I love the interior and the atmosphere, but their créme brulée latte was sour",Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,Nice,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,4,Good service,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,4,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,3,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,3,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,5,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,2,,Coffee
Aloha Coffee Bar,7.0631822,125.5942339,4,,Coffee
