place_name,latitude,longitude,rating,review_text,Shop_Type
Annipie Airport View,7.1162937,125.4901989,5,Food was alright as well as the drinks. It has a very nice decor and feels very cozy. The staff are very accommodating and helpful. I purchased one of the coffees on sale from the pantry and they served me hot water to taste my purchase.,Coffee
Annipie Airport View,7.1162937,125.4901989,3,"Went here for a quick snack from the airport. My first time in Davao. I ordered a panini tuna which took so long to be served, about 20 mins. It had so little tuna in it, the least tuna ive had in any tuna sandwich. Photo below is 1 of 2 slices.",Coffee
Annipie Airport View,7.1162937,125.4901989,1,"We went to Anniepie for breakfast expecting a relaxing start to the day, but unfortunately, it was a disappointing experience from beginning to end. We were seated for over 15 minutes without anyone coming to take our order or even acknowledge us. When we asked for water, we were told they couldn't provide any because their water tank had broken. The service was painfully slow, and when the food finally arrived, it did not make up for the wait. Sadly, both the service and the quality of the food fell far below what we had experienced before. It's frustrating to see a place we once enjoyed decline to this extent. Based on this visit, I can no longer recommend it.",Coffee
Annipie Airport View,7.1162937,125.4901989,4,"The food tastes good but serving size is a bit smaller than the usual. The place looks really nice and spacious. What we do not like is the lack of training for servers. They are all over the place, busy but not active listeners to customers. We asked for water but it took a long time and a lot of follow ups before the glass of water got to our table. I suggest they train their servers well to be able to complement their beautiful restaurant.",Coffee
Annipie Airport View,7.1162937,125.4901989,2,"We came on a monday at about 10 AM. There was a fair bit of crowd, I guess the proximity to the airport gives it an advantage. Having said that, I hope the management makes huge improvements on the food and the quality of service given that this is one of the first/last places a tourist could visit in Davao City. First and last impressions are everything. The food is so-so. Portions were small and were not prepared to standard. I ordered the breakfast platter and the sausages looked petrified and the texture was like rubber - clearly microwaved! The eggs were not cooked as per request - we had asked for the yolk to be runny. The dishes came in staggered fashion. My family was done with their meals before the breakfast platter was delivered to our table. And we probably followed up with the servers 3x, only to be waved off, ignored, and lied to. The staff in this place seem to think they owe the paying customers a favor. Left very disappointed and went to the airport annoyed instead of happy. Do better, Annipie Airport View.",Coffee
Annipie Airport View,7.1162937,125.4901989,2,"The interior feel of this place is homey and clean…. Free WIFI….Brace yourselves for the meager serving of each plated dish good for one (yes, ONE CHILD). The tanginess of the Seafood Marinara was all right. (I can only count with one hand the seafood pieces)….The thin slice of bread that went with it was soggy and heavily drenched in butter (I almost passed out)…Too much dressing and croutons— it's a shame to even call it a Caesar Salad….Luckily, the sour Cool Cucumber fruity slush washed down the unsatisfied taste in my mouth….The inattentiveness and noise of the staff at 1 p.m. still would push me to try other foods but honestly, NOT in my top choices of places to eat… Not really fond of Cinnamon bread but the Assorted Bars are affordably tasty to bring home….",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Hands down! What a great bakery and cafe. Amazing selection of cinnamon rolls, delicious coffee and well decorated interior. Highly recommend to check out in Davao.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,We had dinner here and were pleasantly surprised how good the food was. The staff were extremely friendly and accommodating and the restaurant has a nice green feel with plants around. Next morning had breakfast there and was very nice.,Coffee
Annipie Airport View,7.1162937,125.4901989,4,"Annipie is a must place to visit for food lovers. They have a variety of drinks and food to choose from. The comfort room is clean, though the parking limited. Security personnel will assist you, they are visible in the area. This place os near to Davao Airport, so of you are waiting for your flight and you don't want to get inside the busy airport yet, consider Annipie. It is also close to some hotels.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Had breakfast and lunch here last May 14, 2023. What we ordered: Breakfast - Anniepie Breakfast Platter, Pancit Palabok (big serving, it's actually good for two), Smoked Bacon (daming bacon, napa-order ng extra rice ang kasama ko 😆), hot chocolate drink (tasted like swiss miss with marshmallow which I liked, but my friend wanted to taste tablea so he was a little disappointed), Pistachio sans rival cake to-go (I wish I could take some home pero hassle sa flight 🥲) Lunch - Pulled pork quesadilla, Annie's Carbonara (we wanted to order another one if not for the lack of time) Food was great, place was very clean and aesthetic, servers were helpful, and the location is ideal. Pistachio sans rival cake is a must-try!",Coffee
Annipie Airport View,7.1162937,125.4901989,5,Really cozy and aesthetic place to work and eat. They adequate food choices and the food tastes great. Service is accommodating and friendly. Thank you!,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Great bakery and refresh parlour. Very clean and excellent ambience. I highly recommend this place to must have seen it and taste their delicious variety of cakes and pastries,Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Annipie is still go to place to me, they maintain the good service, they upgraded their menu and the cakes. its a must try. And the cinnamon 😝😝 Still the best place. specially on this location. It's quite and great ambiance. …",Coffee
Annipie Airport View,7.1162937,125.4901989,1,"For starters, the food looks NOTHING like the pictures on the menu and was not fresh AT ALL (especially on the breakfast platter). Everything served was microwave cooked INCLUDING the egg?? And despite this lazy ""effort"", we had to wait for this mediocre meal for 30 minutes despite constant follow ups. Staff members were also disrespectful and lazy whenever we requested for our order to be followed up.",Coffee
Annipie Airport View,7.1162937,125.4901989,3,"Food: taste was ok. However, the quantity was really really small. Not worth!! Service: soso. Nothing special. Atmosphere: nice and cozy",Coffee
Annipie Airport View,7.1162937,125.4901989,5,Their flavored iced tea can be requested to be served hot. It's worth a try. It's refreshing!!!,Coffee
Annipie Airport View,7.1162937,125.4901989,2,Food was good. Service was slow during the lunch hour. Took 30 minutes for someone to start clearing our table. I think the staff were overwhelmed by a full restaurant.,Coffee
Annipie Airport View,7.1162937,125.4901989,4,"I like the peach mango fruity slush, ok din yung Annipie's Breakfast Platter and cinnamon rolls.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,Great place to chill and relax while waiting for your scheduled flight. Also great for table meetings and good ambience to talk with friends.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,The food was delicious. Both rice meal and desserts. They also served plant-base meal.,Coffee
Annipie Airport View,7.1162937,125.4901989,1,"1 stars because of the overcharging. Inside is nice and clean and inviting. Service is poor. Food was fair. Breakfast was good, bacon, sausages, and cinnamon roll were cold. Sandwiches were ordinary and skimpy. Cake was dry. My girlfriend and I visited 5/21/25 for breakfast & lunch to go. When we came in we were motioned to choose a table. After about 5 – 10 minutes of waiting and another group coming in I got up and asked if we needed to order at the counter. I was told that someone would be with us soon. After waiting a bit longer, my girlfriend waived down a guy to take our order. He seemed like he didn't want to be there. In fact the whole staff seemed apathetic. Our order included silog breakfasts, espresso drinks, 2 sandwiches to go, and 2 pieces of cake to go. They had a regular and large size for the espresso drinks. No volume was shown, so I asked if the large was about 500 ml and I was told it was. I specifically asked if the drink was that large because I wanted a large drink that I could drink at breakfast and take with me if I didn't finish it. I also asked how many shots for a large Americano and I was told only 1. So, I asked for a total of 4 shots. I did not ask for how much each extra shot cost and this was a mistake. There were no extra shots in my girlfriend's drink. Instead of 500 ml drinks we got tall narrow mugs which were maybe 300 ml. My girlfriend's drink was 190 pesos and mine without the extra 3 shots was 130 pesos. This is where the craziness and overcharging begins. After we ate and got our orders to go, I asked for our bill. The 3 extra shots were 95 pesos each!!! That is $1.71 for each shot at the current full exchange rate and would be $1.90 at 50 pesos to the dollar. 285 pesos for only shots! I asked the waiter why was the price so high for the shots? I was told it was the regular price for extra shots. He then got the Mgr (I guess). I tried to explain to her that even a high end restaurant wouldn't charge so much and that I typically pay 35 cents (20+ pesos) to 75 cents (32+ pesos) for each extra shot. It made no difference. I did not experience overcharging my whole month in the Philipinnes until now. There's no excuse for it! Another thing my girlfriend noticed was that the drinks tasted like they were made with instant coffee. This was what I noticed, too, but I didn't want to say anything. This was her own assessment and I agree. So, we got 2 instant coffee ""espresso"" drinks for a total of 475 pesos. What a deal! I paid the bill instead of arguing further and we left. Annipie's is a ripoff! I buy fresh coffee beans and grind my coffee each morning. I am also a very good cook. I am fully aware of what food costs and how food should taste. I am also taking home with 1 kg of fresh medium roast arabica coffee beans grown near Mt. Apo. The service at Annipies is poor, they serve instant coffee instead of espresso, and overcharge wherever they think that they can get away with it. Hopefully, none of this happened because I am a foreigner and sufferred the white man tax. It looks like that might be the case, though. SHAME ON YOU ANNIPIES!",Coffee
Annipie Airport View,7.1162937,125.4901989,2,"I was sitting there for 10min and nobody bothers to take my order. I have to go to the counter to ask for service. Breakfast platter is served without providing a knife or ketchup..cinnamon bread is not heated up.. Sausages, bacon and eggs are not warmed up... Terrible...",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"""I highly recommend Annipie Airport View! It's open from 7 am to 10 pm and offers delicious food with a variety of entrees. It's the perfect spot for special occasions like birthdays, parties, or even a romantic date. They also have a function room for larger events. A must-visit for travelers as it's conveniently located near the airport.""",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Nice place place 5/5, Breads are delicious 5/5, service is good 5/5.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,Staff are nice and accommodating and there are a lot of selections to choose.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Delicious food and amazing service. Great ambience and warm feel to the place. Just had a little issue on the parking. But overall, its a great dining experience we had shared with the fam right after we landed back in Davao. recommending that you must try this place out—bring your family and friends too",Coffee
Annipie Airport View,7.1162937,125.4901989,2,"Don't go here if you are hungry. Our starters came out last, the food was delicious but a kids portion. They brought my wife's food, then mine 5 minutes later then our appetizers 5 minutes after that.",Coffee
Annipie Airport View,7.1162937,125.4901989,4,"Have been coming here several times and the food has generally been great - taste, portion size and price. Was just disappointed with their hungarian and fries starter. The hungarian sausage seemed overcooked - dry and crisped . Or it could be that the sausage was not of good quality - more filler than meat. The place has a comfy ambience whether you choose to be seated inside or by open air terrace.",Coffee
Annipie Airport View,7.1162937,125.4901989,2,"Don't be fooled by the look of this place and the big sign that says ""farm to table"" They have no fresh juice, it's just syrup and ice, most of the dishes are deep fried, the cakes don't taste very good, the wifi doesn't work… and most annoyingly the portions are for kids… if I'm paying 300 for some pasta I expect more than 100g of it Just be better, if you give people tiny portions they will never come back, don't just think about one time customers, think about the future, not just today, think about the good reviews you'll get… Why am I wasting my time, you don't care",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"I love this branch so much, not just because of the food and coffee, the place but most especially , the peaceful environment that I am getting from the staff. It always made my day! Continue on providing and making every customer feel special!!!! Always be my fav.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Relaxing ambiance and aesthetics well combined. I love the greens filling up the whole place making it feel homey. I enjoy working and studying here, although sometimes the place is full, but there's enough space for each, though. Overall, highly recommended for catching up with friends, conducive for focus and relaxation, and location wise for me.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"Great food, comfy place...keep coming back for their bar cookies 👌 …",Coffee
Annipie Airport View,7.1162937,125.4901989,5,I went here because I needed to wait for my parents delayed flight for about 3 hours. I love their ultimate cinnamon. Not too sweet & chewy bread. They close at 10pm so I was really happy theyre open until that time. The place was very comfortable & cozy. They had electric sockets available for your devices. They had free wifi. The staff were very accomodating & efficient. Their CR got fresh calachuchi petals that added to the freshness and cleanliness of their CR. I would highly recommend this place. Definitely would go back esp when I have to pick up someone at the airport.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,"We had a libre-ni-sis family lunch on Black Saturday. The sun is high but it didn't stop us in getting there. Parking is not a problem, not a single bit since Airport View compound itself has a lot of it. Albeit the heavy door to open, you get to feel cooler temperature inside. The ambience is good- with high ceiling and ample lighting. Inside, there are a lot of tables and chairs, whether it's for two or a group of ten! Should you wish to go al-fresco, no problemo as they too have sets of tables with chairs outside. Plantitas and titos, you'll love this place as potted plants abound, both in and out. Books are also part of the interior design. Food and concoctions are delicious and priced just right. I must admit, I was so full I didn't have the gastro-confidence no more for a dessert. A plateful serving of their caldereta meal had me at hello. Service water is not a thing here (for sanitary purposes), but you can order some bottled water or bring your own instead. There's also a small stall at one of its corners called Farm To Table Pantry. They sell a wide array of items from potted plants, vegetables to locally-made gourmet coffee, chocolates, perfumes, honey, tableya, skin care, beauty products, novelty items, wooven bags and more. The staff were great. The gang loved the place and so am I. Just like Arnold S. said in a movie, ""I'll be back.""",Coffee
Annipie Airport View,7.1162937,125.4901989,5,Coziest annipie cafe! And pet friendly too💕 …,Coffee
Annipie Airport View,7.1162937,125.4901989,5,This place is awesome. The staff are accommodating. Recommended to those who what's to chill before their flight because it's near at Davao Airport.,Coffee
Annipie Airport View,7.1162937,125.4901989,1,"Bought 5 box of various cookies today Nov. 24... all the display have best date before Dec 5. When I arrived in laguna, expiry dates were within this week or next day Nov. 25, Not good for pasalubong.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,has chill atmosphere. great food as always.,Coffee
Annipie Airport View,7.1162937,125.4901989,4,Service and coffee is very good.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,The ambiance is so good and the food and pastries is very delicious.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Great place to stop right before getting to the airport. The cinnamon rolls were fantastic and the staff was very friendly and attentive.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Opens at 8. Good fpr travellers. Food are fabtastic and we didnt have to wait long.,Coffee
Annipie Airport View,7.1162937,125.4901989,4,"The portion size is rather small, comparable to that of a child's meal.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,"For Romantic, Special or any ordinary day, come here and you will surely be satisfied. It's serenely pleasing...",Coffee
Annipie Airport View,7.1162937,125.4901989,5,The best cinnamon bread with reasonable price,Coffee
Annipie Airport View,7.1162937,125.4901989,1,Tried to order an iced mocha. I couldn't because they ran out of ice so only hot drinks daw.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,good,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Chicken biryani at the Olive Table is yummy!!,Coffee
Annipie Airport View,7.1162937,125.4901989,4,"Polite staff, good ambiance, enough parking slots, nice place to have a meeting with clients or with a few coworkers.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,I like the pistachio milk and also nice ambiance.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Cozy place to relax,Coffee
Annipie Airport View,7.1162937,125.4901989,3,"The place is quite ok, food is not bad.",Coffee
Annipie Airport View,7.1162937,125.4901989,5,I highly recommended this place its dependable and cozy.,Coffee
Annipie Airport View,7.1162937,125.4901989,4,Good place to stay while waiting for your flight.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Google map is very useful for me especially in my travels.,Coffee
Annipie Airport View,7.1162937,125.4901989,5,Love organic? This place is for you,Coffee
