place_name,latitude,longitude,rating,review_text,Shop_Type
Barok Cafe & Resto,7.0650475,125.6025519,3,"The food was okay but a bit pricey (for me), I recommend to bring maybe ₱500 and above to buy a decent meal, not a recommended place to study (they don't provide free wifi and also by the time we visited it is a bit crowded), also the staffs were unprofessional, just like what happened earlier, the cook shouted angrily to the cashier through the satellite phone, the crews were talking about their unnecessary private things in their lives, and also our order took so long to serve even though were near the cashier because they forgot to serve us because they were blabbing too much, also please maintain the cleanliness especially in the restroom because earlier the tissues piled up in the trash bin and also it smells bad, and in the washing area there's no soap to use. I hope you'll improve the services because this place has a potential, the food was good but the place and staffs need improvement...",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,5,Our first visit here was during my mama's 58th birthday. Barok Cafe & Resto is a nice place with cozy interior and chill vibe. It's a restaurant and a coffee shop at the same time where you can dine with family or study with your friends/classmates (while drinking coffee). The establishment isn't remote as it is located at the Downtown area and can be found easily in front of the Grand Menseng Hotel (Magallanes). I wanna highlight the servers who were very kind and accommodating. They even played a happy birthday song in speakers for my Mom (she felt shy at first) but something that we really appreciated. They also have a private/exclusive room for private celebration featuring a huge group. Another highly recommended restaurant in Davao! 🤍✨,Coffee
Barok Cafe & Resto,7.0650475,125.6025519,3,"I've been here a few times since it's one of the few 24/7 cafés in town, and the location is convenient for me when I'm in the area. The food is okay, enough to satisfy your hunger if that's the goal, but it's not something I'd go out of my way for. The same goes for the coffee. The pricing matches the portions and service. The staff is also just okay. They're not particularly friendly or polite, but at least they're not rude. The layout is a bit inconvenient as well, the pickup areas for food and coffee are separate. You can also see staff frequently passing through the main area. One thing I noticed is that they don't issue receipts, which is really odd. They also don't accept card payments. We're almost in 2026, cash feels very antediluvian, bank transfers are too much of a hassle, and QR payments aren't as convenient as a simple tap or swipe with a credit card.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,5,"we went there around 1 AM, and the food was great, especially the carbonara, and their pancit is to die for. ambient is great, and their salad too. staff is nice and they care, giving more calamansi, we appreciated it.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,5,"The place is very nice. It has a nice cozy interior. The servers were attentive and prompt. My husband and I both had tapsilog. The food is good though I don't think it's a tapa, more of a beef steak. The coffee we had was also good. The price is quiet expensive compared to other establishments with the same menu. It's justifiable though because it's open 24 hours and you could lounge in the resto.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,4,"Food is good for its price. Mabilis lang din ang waiting time. I like what I ordered. Their tuna pesto pasta was good, tho it was a bit greasy for my liking but it's fine. I thought that the serving was a bit small, but I'm full. I forgot the name of the coffee I had but it was good too —on the sweeter side. But my friend said it was too bitter. Idk. Service is 3 bcs I don't know where to put the payment methods. It was the downside for me :( We don't really use cash and being able to take payments through credit cards or at least have QR codes for GCash will make it more convenient. Hope they'll have those options soon.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,1,"Went here last night to try their food, But we're not satisfied. Their creamy chicken was super buttery. We asked for a take out, pero binalot sa cellophane na parang pakain sa dogs😌. We're willing to pay naman sana for the take out box pero wala daw silang ganon.😌 But the place was good.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,5,"Food was very delicious!! Many seats available, ambience was very nice. Sad that the beef burger was not available during the time we visited. Foods are also very affordable! Will visit again.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,5,"I had a wonderful experience at Barok Cafe & Resto. The food is impressive, especially considering the reasonable prices. I particularly enjoyed the pasta, chicken wings, and fries—each dish was flavorful and satisfying. Their coffee and pastries are also noteworthy, making it a great spot for both full meals and light snacks. What made this place even more special is that I celebrated my son's 9th birthday here, upon his personal request. He really loves the food, especially the flavored wings and fries, which are perfect for kids and definitely a hit with him. It made the celebration more meaningful, knowing he truly enjoys dining here. The restaurant is clean and cozy, with a comfortable ambiance that's perfect for casual dining or special occasions. And the fact that Barok Cafe & Resto operates 24 hours is a rare find in Davao City—such a convenient option when looking for good food any time of day. I'm genuinely glad to have discovered this place. If you're looking for quality food, a kid-friendly menu, a relaxing atmosphere, and round-the-clock service, I highly recommend giving this restaurant a try.",Coffee
Barok Cafe & Resto,7.0650475,125.6025519,5,"We have been here to Barok Cafe two times and have been very satisfied each time. Friendly and helpful staff, clean cafe and great food and coffee. Some items on the menu were not available, but there were still plenty of good options. We both had pork Sisig and it was prepared well and tasted great. We also tried hot and iced Spanish lattes and salted Carmel and Carmel macchiato lattes. Overall very pleased with our experiences here. Update: we have tried their baby back ribs several times now and probably the best I have ever had. We come here once a week and leave happy each time.",Coffee
