place_name,latitude,longitude,rating,review_text,Shop_Type
Bean Xpress Matina Branch,7.070187,125.5660188,5,Went here lunch time and it’s kinda hot. The cold beverages compliment the weather though. I believe it’s a great spot for late afternoon hangout. Perfect also for travellers who wish to have a good coffee and just do drive-thru. Yummy cinnamon roll too!,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,Overlooking view and fresh air add to the overall calmib experience.,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"Very nice made place... with a very nice view.. and a highway in front. Most important for a coffee shop: The Coffee is really good! A good machine, someone who knows how to use the coffee machine... and, very rare in Davao: They also using a good coffee bean. All together make a smooth and tasty coffee, perfect base also for a good cappuccino. And their Mango Ice tea is also very refreshing. Not too sweet. The place itself is made very beautifull, clean, a little bit like a oasis in Davao. With a perfect long view out to the valley... give your eyes a rest from the city. And the other place... ok. it's the highway. Noice, dust, smoke... It is called a drive through, but they have also 4 parking lots and the mentioned nice, park-like ambience, and also a toilet.",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"The uneven surfaces of the long, not-so-winding Diversion road makes it an easy excuse for me not to take this route….Wanted to check the progress of the overpass after months of skipping this highway so, I made the drive….Glad I did ‘coz Bean Xpress sprouted out of nowhere in the South…. Opens 7 or 8 a.m. and closes at 11 p.m. or 1 a.m. (depending if it’s a weekDAY or weekEND)….Items are priced lower than other coffee places (hooray!). My sugar rush for the day—-Banoffee High and Lava Cake….Yummmm….. My terrible photos from inside the vehicle won’t help you appreciate the place…It’s along the road, you can drive-through during the day under the scorching heat of the sun…Or park in the evening and soak in the view…Either way, you should really check this place out.",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,Very affordable coffee and coffee is good for its price! The drive-thru option is our favorite specially since it’s on diversion road and we always pass by on our way to the airport. Keep it up!,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"Good area to have coffee, friendly staff and must try their cakes 🍰 👌. Coffee I would say 8.5/10.. Overall good place to have coffee. 5 stars ⭐️",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,A cozy place for travelers like you and me. Hehehe. Stop over din pag may time,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"Americano here with an amazing asawa and family.... The Iced White Mocha is better than Starbucks! The mango tea my asawa loves! The cookies and cream are a delight for the kids! Amazing view! Friendly staff, and great prices! I'll be sad not to get my daily coffee here when we return to the states, but we will be back!",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,Amazing price and foods are super sarap. Marvelous staff. Cordially professional. My first impression is a second round and more returns in the future. I swim from Canada 🇨🇦 to this espresso bar. Lol,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"I love their iced Spanish latte and mango revel bar. The location is also very convenient for me, as I usually pass their cafe going home.",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,The do make a good cappuccino It is a drive thru for coffee not really food,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,Nice place for chill and have some coffee with your lovey! or friends. cozy din at night chill vibe,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"Your cold coffee really packs a punch of caffeine. I've tried many expensive and cheap coffees, but this inexpensive one with a strong kick is exactly my type. It puts me in an energetic mood.",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,"The coffee tastes so good and the service is excellent, it is also a relaxing place to have a chill and alone time. I recommend this",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,Very peaceful in here. Great for conversations deeper than the Pacific Ocean.,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,Taste of coffee is not consistent.,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,Nice view + hot coffee.,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,Best way to get coffee and chill,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,"Bean Xpress is a new concept of a coffee shop It's a Cozy spot with strong, affordable coffee and fast service. Great for students + work. Iced lattes are solid, pastries are good. Small but comfy. Perfect quick coffee stop in Matina!",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,1,"The crew has no manners, you don't know, they just say they're going to close and turn off the lights even though there are still people there.",Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,Been there. The ambiance is good. The location is great. Their iced coffee is not only very cold because they only put a little ice in it. But the coffee is great for its price. Premium taste🙂,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,Their coffee is ok. Just enough to light a fire,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,First time to try. 4 stars only for the food. Didn't ask for sweetness level and they were really sweet and perfect! 🫣 Location is very good because it's really cold at night ✅,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,3,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,3,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,5,,Coffee
Bean Xpress Matina Branch,7.070187,125.5660188,4,,Coffee
