place_name,latitude,longitude,rating,review_text,Shop_Type
Cafè Ficus,7.0689371,125.6154568,5,"We recently gave Cafè Ficus a try on a Sunday around noon. They were not too busy and the place was clean and inviting and we were welcomed by the staff. We found a table and were brought menus. We ordered an Iced Seasalt Latte, Biscoff Cookie Frappe, Bacon and Cheese Omelette, and a Chocolate Crepe. Our coffees were made just as we expected and hoped being flavorful, smooth and not too sweet. We were both impressed with the Chocolate Crepe and the omelette was good as well. Overall we had a good experience here and they also have WiFi and the CR was clean.",Coffee
Cafè Ficus,7.0689371,125.6154568,4,"Can't count how many cafés had occupied this space before it came to be what it is now, Café Ficus. So it's apt to say I had been to almost every one café or tenant. (Seemed that Samz de Cafe was the latest)….Some parking available. It'd just passed its one-month opening. Clean, spacious, and menu had positive choices. It took a while for the meal to be out. Sikwate was familiar and just a diversion to my usual coffee run….A quiet morning was how it went. I'd come back for sure….",Coffee
Cafè Ficus,7.0689371,125.6154568,4,"Conveniently situated along Roxas night market, decent drinks selection. We had hot beverage as we just had dinner. Courteous staff, airy, cozy cafe.",Coffee
Cafè Ficus,7.0689371,125.6154568,5,This lovely cafe is one of the first I have seen to get in on the biscoff bubble. They're biscoff blended coffee and crepes are fantastic. So good that I am glad I don't live closer!!,Coffee
Cafè Ficus,7.0689371,125.6154568,4,"Me and my friends visited this cafe for the first time and very satisfied kaayo mi sa ilang food and drinks, especially the Lasagna — superb gyud, lami kaayo! ☺️ The staff were also very accommodating and friendly. Worth the visit! ✨",Coffee
Cafè Ficus,7.0689371,125.6154568,5,"Highly recommended 👌🏼 super nice ng place and the food specially the creamy carbonara and the biscoff frappe so good, a little expensive, but it's absolutely delicious nman. Worth it 😊😋",Coffee
Cafè Ficus,7.0689371,125.6154568,5,I was happily surprised with the quality of this place and the taste of our Spanish Latte's. Very comfortable seating and high quality everything. I cant wait to try the food. The menu looked so delicious. If its like the coffee then this will be my new go to cafe....what a nice treat and surprise.,Coffee
Cafè Ficus,7.0689371,125.6154568,5,New place. Looks very nice. The coffee is yummy. I would go here again.,Coffee
Cafè Ficus,7.0689371,125.6154568,5,Make sure to try their excellent nachos and aglio olio.,Coffee
Cafè Ficus,7.0689371,125.6154568,1,,Coffee
Cafè Ficus,7.0689371,125.6154568,5,,Coffee
Cafè Ficus,7.0689371,125.6154568,5,,Coffee
Cafè Ficus,7.0689371,125.6154568,5,,Coffee
Cafè Ficus,7.0689371,125.6154568,5,,Coffee
Cafè Ficus,7.0689371,125.6154568,1,,Coffee
