place_name,latitude,longitude,rating,review_text,Shop_Type
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,"After finding this place on Google maps we gave it a try on our way to the mall. Great drink menu, which is what we were after and many good looking choices. We tried a Sweet Coffee, Caramel Latte and a slice of their Pistachio Cheese Cake. All three were excellent and a great way to start our day. Friendly staff, nice environment and clean CR.",Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,Nice place to have some coffee and a quick snack/meal. And assorted beverage cold as well as hot. You will order in the counter and will be served afterward. They also sell jewelleries I like it very much.,Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,They have the rare Civet coffee along with all their beans are local to the area. The cafe is very calm and the service matches the quality of the beans. I am not surprised with all the awards. I recommend the sikwate. My suggestion to the establishment would be for some smaller breakfast dishes to balance the sweetness of the coffee.,Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,Great coffee and great vibe here. Close to appartelle oasis,Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,Wow..it's such a hidden gem in the not so busy street in Oasis area. The decors are classic and a good place for a good coffee. A bit costly but it's a place you want to go if you need some serious talks or simply enjoy the aroma of your favorite coffee.,Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,1,"A lot of items in the menu are not available. Settled on a lemonade (the only one available from the 4 or 5 listed in the menu) and a pasta (only two choices left from the menu). Lemonade they served me barely tasted of lemons - twas more like water with a squeeze of a small lemon wedge. The pasta was awful, some of the noodles were not fully cooked, tasteless, seemed to be microwaved. I tried to tell the staff but she just stared at me 🤷 ♀️, no offer to rectify. Oh and i'm totally glad that I had presence of mind to ask how old was the cake they were selling. Staff said a week ago. Phew. Never going back, a lot of other, waaaay better cafe choices nearby.",Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,4,"Very friendly owner and staff. Delicious cakes and muffins, and good coffee. Free wifi. Comfortable and cool cafe.",Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,"Good advocacy. They really help various communities, especially our local coffee farmers who get paid 10 pesos per kilo from regular capitalistic companies. Good food and ambiance. If you are looking for local authentic coffee for your home, this is the place to buy it.",Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,Another great surprise! A good coffee!!! I can appreciate the good flavour and it tastes great. A good one makes you have another trip with sensations...,Coffee
Coffee For Peace at One Oasis,7.0478948,125.5740676,5,The best coffee cafe in the whole world. Amazing coffee and the touching stories behind the coffee.,Coffee
