place_name,latitude,longitude,rating,review_text,Shop_Type
Coffee Maybe Davao,7.0663724,125.6121377,4,The food was delicious. I don't order sandwiches often but I enjoyed the sandwiches I did order here. The dessert especially the tiramisu really opened my eyes to the greatness of a well made tiramisu. It was the first and the best tiramisu I have ever had. It made the tiramisus I had after pale in comparison. The other one was delicious as well. I don't like coffee but the coffee here was actually good and complimentary to the dessert. The staff were quite friendly and polite especially compared to the previous place I went to.,Coffee
Coffee Maybe Davao,7.0663724,125.6121377,4,"Chill place after work or school. Their matcha is really delicious and such flavor. Their place is not too crowded and cramped, just right spacing between tables and chairs. They offer gcash and their staff is nice when I ordered and I asked some things. Unfortunately, they dont have decaf options. I hope it does not get too noisy so we could chill in peace enjoying the cafe experience, and I hope they play more classical and relaxing music because it would fit more in the clean ambiance of the cafe. This is the only branch in Davao so far. Would love to be back next time to try their tiramisus. Great.",Coffee
Coffee Maybe Davao,7.0663724,125.6121377,5,"Definitely worth the hype. I don't know what original tiramisu supposed to taste like but theirs is so delicious. The matcha tiramisu is also good but too matcha for my liking 😅. Not to mention the banana pudding matcha drink?? Idk the name. Super recommended! The place is quite small, but can cater customer.",Coffee
Coffee Maybe Davao,7.0663724,125.6121377,4,Place had shared parking with building tenants. Noise came with the groups of students and office people dining in. Space was clean and new. Mighty pleased with the thick drink and creamy pasta. Short but reasonably-priced menu. I'd like to see an update in choices soon.,Coffee
Coffee Maybe Davao,7.0663724,125.6121377,5,"Coffee Maybe just opened this weekend so we gave it a try. We got there around noon on Sunday and 4 tables were taken with only one person at each table. They were on their phones and notebooks. We ordered our food and drinks and were able to find a place to sit. We ordered an iced Sea Salt Latte, Vanilla Latte, Hungarian Sausage, Caramelize Spam and Carrot Cake. Our order was ready in 15 minutes and as ordered. I chose not to have rice with the sausage and they offered eggs in place of the rice. We were very happy with our food and drinks. The iced sea salt latte, first time trying this drink, was a pleasant surprise and only a slight taste of salt. The sausage, spam and eggs were all prepared as we hoped and the carrot cake was a great choice to finish off our meal. Service was good, staff friendly, clean bathrooms and no WiFi. It is small inside but comfortable and nicely decorated. Because of the four single people taking up four tables led others that came in to not stay and leave. I'm guessing students even though there was no WiFi. Coffee Maybe is off to a great start.",Coffee
Coffee Maybe Davao,7.0663724,125.6121377,5,"the place is very cozy, nice ambience, and the moment you enter you can smell the aroma of coffee. The food is great. I recommend you to try their Alfredo Chicken Pasta cuz its so good. It get crowded easily so maybe go there earlier, so you can enjoy the moment and take picturesque photos.",Coffee
Coffee Maybe Davao,7.0663724,125.6121377,4,"First time here and definitely won't be the last! The matcha with banana pudding was so good, smooth, not too sweet, and surprisingly comforting. The croffles (especially the Biscoff!) were crispy and buttery, made from real croissant dough, super worth it. Also tried the tiramisu, and it did not disappoint. The place is cozy and chill, perfect for catching up with friends or just enjoying me-time. Staff were polite and helpful. A little hidden gem that's worth discovering. If there's one caveat, it would be that not all the staff wore aprons which kind of ticked off the OCD in me. The cashier and another guy at the counter were in plain clothes. I wish they had uniforms or at least aprons for a more cohesive and professional look. Still, the food and drinks made up for it. Will definitely come back to try more.",Coffee
Coffee Maybe Davao,7.0663724,125.6121377,4,The matcha tiramisu(latte) is a bomb. It was my first order from this cafe and for sure I will come back to try different blend - the cafe has enough space for group of people too. I wish they can upgrade their system for adding espresso shots for customer's preferrence.,Coffee
Coffee Maybe Davao,7.0663724,125.6121377,5,"📍 Coffee Maybe, Artiaga St. cor. Bonifacio St., DVO ✅ Open daily from 11 AM to 10 PM ✅ Cozy and artsy vibe ✅ Baristas are friendly and welcoming ✅ Absolutely mouthwatering menu — from coffee, chocolate drinks, pastries, to hearty brunch picks 🩷 Ham and Cheese Croffle - P199 🩷 Iced Signature Chocolate - P180",Coffee
Coffee Maybe Davao,7.0663724,125.6121377,4,Parking area is small due to other stores beside this place they had their own customers also. But overall the drinks are great and affordable.,Coffee
