place_name,latitude,longitude,rating,review_text,Shop_Type
Coffee at Yellow Hauz,7.0757422,125.5950062,5,"You know that feeling when you walk into a cafe and instantly feel like you can just kick back? That’s exactly how this place is. It’s not intimidating or 'too cool' at all—it just has this incredibly welcoming, homey aura from the second you step inside. I tried the Mango Chia Smoothie, and honestly, it’s a game-changer. Most places give you that icy, watered-down texture, but this was so rich and creamy. It’s the kind of spot where you can actually settle in with a book or your notes and stay a while. Internet: available Mode of payment: cash, e-wallets, cards",Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,5,"It still has that same homey vibe and prices remained reasonable throughout the years. I unfortunately was not able to try their coffee during our recent visit. The tea though is worth it at less than 200 pesos. They will readily give you the wifi passcode upon ordering so plus points for that! They also have small meeting rooms, with consumable packages.",Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,3,"Spanish latte was good but the tiramisu needs improvement. Ambience was great, with warm-color lighting and indoor plants, and dance music in the background. Lots of tables and chairs. Plenty of parking that time. The place was cold initially, but, they would turn off the AC every now and then. Service was okay, however, I noticed that the staff were talking and laughing too loud plus the dance music, so it can get noisy at some point. All in all, it’s an okay place to dine.",Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,5,Today was my first time visiting Coffee at Yellow Hauz. The yellow building catches your eye and the signage is subtle and only on the glass windows. On entering the place was clean with some soft music in the background. I was greeted by the barista and after looking at the menu I decided on the hot Almond Crème Latte and the Cheese Cake Duo. There are plenty of great food and drink options on the menu making it difficult to choose. My latte was bold with slight hints of almond and just the right amount of crème and the cheese cake was delicious without being too rich. Free WiFi for 2 hours and clean CR. An enjoyable experience!,Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,5,"⭐️⭐️⭐️⭐️⭐️ Had a wonderful time at Yellow Hauz today during their 19th year anniversary celebration (March 21)! Breakfast was delicious, and what made it extra special was the free coffee all day—such a thoughtful treat for guests. The cozy atmosphere and friendly staff made the experience even better. Truly one of Davao’s gems for great coffee and comfort food. Congratulations, Yellow Hauz, on 19 amazing years!",Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,5,One of the best Cafe stores I've been. Cozy and friendly. They have WiFi and electric sockets. Nice place to do some work.,Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,4,"It’s been ages….When coffee shops were still so few, this was one easy place to be…..The interior is different now…. Menu ranges from salads to sandwiches, pasta, rice meals, desserts then down to beverages… After ordering the cashier hands over wifi access vouchers……The grilled cheese sandwich was heavy and cheesy/salty for me….I love the subtlety of the caramel latte…The kani salad was adequate for one person (had to ask for a knife)….Clean place…Good internet connection…Luckily, parking was not full…Eagerly await my next visit….",Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,4,"I recently visited Yellow Hauz, and I must say, the vibe is amazing! The cozy ambiance, and chill atmosphere make it the perfect place to relax. Whether you're there for a quick coffee break or a longer stay. The coffee itself was good – smooth and rich – but there’s always room for improvement. Overall, it’s a solid choice for your caffeine fix. The variety of drinks available is impressive, and I’m excited to see how they continue to refine their menu.",Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,4,The Cacao Tea was interesting. First time trying it. It was good. The pastries were okay. Iced Latte was too sweet. There is free wifi connection for 2 hours if you purchase anything. Giving it 4 stars because it has power outlets and wifi. Most shops around the area doesn’t have both. Either it has wifi but no power outlet or there is power outlet but no wifi.,Coffee
Coffee at Yellow Hauz,7.0757422,125.5950062,5,"This is one of the old coffee shops in the city. I used to hang out with my friends at Yellow Hauz when I was still in college (almost eight years ago)... It's good to know that up to this moment, it is still operating and doing really great. The place has been renovated last year. It's bigger and a lot of things have improved. I will never get tired of ordering their Coffee Cat 😉",Coffee
