place_name,latitude,longitude,rating,review_text,Shop_Type
Daily Croissant,7.1478781,125.591695,5,"There’s a fresh face in Indangan’s food scene, and it's called Daily Croissant! This place isn't just another coffee shop; they’ve got all the usual coffee drinks you’d expect—hot, cold, and even some great matcha options. But what really sets them apart is their signature offering: freshly baked croissants! Seriously, they come with so many different fillings, you'll want to try them all. And here’s the best part, especially for early birds: they open at 6 AM! That's a total game-changer if you crave a hot cup of Americano and a flaky, sweet croissant right as your day starts. It's a little slice of morning heaven! The only thing I'd wish for down the road is for their selection of baked goods to expand a bit. I’m seriously hoping they’ll start offering Pasticcini eventually—it's super similar to what they’re already doing, and it would be a perfect fit! Keeping my fingers crossed for that menu upgrade!",Coffee
Daily Croissant,7.1478781,125.591695,3,Opens at 6 and was there at 10. Was expecting to be bringing home more but with only a handful of assortment on display I just grabbed what I could. Nothing exceptional. That’s it. Hopefully more picks and a bigger box for carryouts.,Coffee
Daily Croissant,7.1478781,125.591695,5,"Really nice place with a chill vibe! I wanted to try the ham & cheese croissant but it wasn't available. I bought their cronut, sweet croissants and the focaccia instead. They also sell day-old pastries at 30% so it was a pretty good deal!",Coffee
Daily Croissant,7.1478781,125.591695,5,"The only cons here is there is no restroom for a quick pee. So you cannot stay long enough. Everything is perfect, the area is small and still a growing business. They make good croissant. Good thing as well they gave 30% off for bread's not consumed the other day. So better order that than the new ones since they heat it for you.",Coffee
Daily Croissant,7.1478781,125.591695,5,Coffee and pastry is good 🙂 Staff are friendly and informative. Clean space. Just 2mins away from my house. So 👍🏻👍🏻👍🏻,Coffee
Daily Croissant,7.1478781,125.591695,5,The place is beautiful and elegant. They offer premium coffee and bread that you would usually only find in stores downtown.,Coffee
Daily Croissant,7.1478781,125.591695,5,Perfect spot for alone time 💯,Coffee
Daily Croissant,7.1478781,125.591695,5,,Coffee
Daily Croissant,7.1478781,125.591695,5,,Coffee
Daily Croissant,7.1478781,125.591695,5,,Coffee
Daily Croissant,7.1478781,125.591695,5,,Coffee
Daily Croissant,7.1478781,125.591695,4,,Coffee
Daily Croissant,7.1478781,125.591695,5,,Coffee
