place_name,latitude,longitude,rating,review_text,Shop_Type
Dash Coffee - Sandawa,7.0622214,125.6009023,3,Great and fast service. Delicious cold coffee blends especially the Macchiato; but the Matcha Cream is kinda bland... There's food selection though did not tried one.,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,1,The staff are not accommodating specially the guy in the counter. I Already say my order and repeat it and still hinde parin Tama yung nilagay! Asking me if it's okay he don't give some 5 pesos cuz walang barya. Like what is that how u supposed to accommodate customer?,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,3,"Bad service. I didn't have a small bill, when I paid I was told ""nagpakambyo"". The cloud latte tasted bland this time too.",Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,"I love the place, i always go here for milktea.",Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,"Dash Coffee- sandawa, is one of the best coffee shop in davao (for me), i love it!! 😚💗",Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,1,Your information here is not even accurate. You open at 10am but I always crossby at 10 in the morning and guess what its still closed. Always,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,affordable coffee and tasty,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,I like how good is the staff how they communicate to the customer The way they serve the food and drinks,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,1,"as a milktea lover, I wouldn't recommend their milktea :(( it's so cheap. and they don't have any cr yet. is it okay? no cr? gosh 🥴",Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,1,,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,1,,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,,Coffee
Dash Coffee - Sandawa,7.0622214,125.6009023,5,,Coffee
