place_name,latitude,longitude,rating,review_text,Shop_Type
Dunkin' Davao People's Park,7.0705729,125.6068614,4,"Went here on a Friday morning around 9:00 and they were busy, but staff moved quickly to fill orders. The place was clean and there weee people seated and enjoying their coffee and donuts. I wanted to try something new and ordered the Vietnamese Coffee. I had not tried one before so I didn't know how it should taste. I took it home to drink and found it to be bold and a little sweeter than I typically like coffee, but still enjoyable. Comfort room was clean and staff was efficient and helpful.",Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,Wasted my 20 minutes waiting to use the rest room. The crew already knocked it a couple of times it turned out their fellow crew is using it without even informing what he was doing inside. It is frustrating how passive they are to their customers.,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,Poor Service Ever. Arrived and ordered in the store but they catered first the 4 customers who arrived after me despite having the same orders. Really poor service. Badly need staff improvement.,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,Poor service. Telling a customer that studying is not allowed is a big no.,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,Ordered via Grab Food i specifically ask not to include filled donuts and they gave me filled donuts only 😡 …,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,Staffs are friendly.,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,"""I usually stop by Dunkin' after my morning walk at People's Park, and it's always a convenient choice when I'm starving after a good exercise. The location is very accessible, especially for those spending time in the park. The staff are friendly and welcoming, which makes the visit even more pleasant. The place is also clean and well-maintained, so it's comfortable to sit down and enjoy your coffee and snacks. Definitely a go-to spot for a quick and satisfying break.""",Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,It tastes very homemade.,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,3,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,1,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,,Coffee
Dunkin' Davao People's Park,7.0705729,125.6068614,5,,Coffee
