place_name,latitude,longitude,rating,review_text,Shop_Type
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,4,"This Dunkin' branch is amazing. I ordered through the drive-thru and the whole experience was fast and seamless. The food was great as always, and the crew were hospitable and pleasant to deal with. Everything went smoothly from ordering to receiving my food. I love this place and would gladly come back again.",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,4,"When I think or see DD first off, is the word “bunwich”. Another that comes to mind (since they had it) is the Choco Wacko. I never go looking for donuts but the Wacko is hands down the winner. The cappuccino paired with it well. Strategic location and so was the drive-through facility.",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,2,"The place is good. Choices are great. I specifically ordered ham and cheese bunwich, they served tuna. I can still taste the powder used for the orange juice and they even served spilled coffee. I didn't contest it since the service crew have long faces like they don't want to be there. Thus making the place inhospitable. Will not visit this dunkin donuts ever again even drive through. Worst dunkin.",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,4,Spacious and new however crew could have been nicer. Located near the pedestrian fronting airport.,Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,3,"Tried this newly opened Dunkin’ branch near the airport. No issues with the food...the donuts are what you’d expect from Dunkin’, consistent and okay. The place itself is also fine and aesthetic. However, the CUSTOMER SERVICE needs serious improvement. The staff were not very welcoming and had nonchalant expressions(parang ang lalaki ng problema sa buhay), which made the experience feel cold. There also seems to be confusion with the queue system. Since there are two entrances (one facing the airport and one facing Shell), customers don’t know where the line starts or ends...there are no clear signages. I’ve actually raised this concern to the staff during two separate visits last Drcember 2025 and January 2026, but unfortunately, the response felt dismissive and unaccommodating. After this, I didn't visit again. It’s a bit disappointing, especially for a newly opened branch in a high-traffic area where many travelers and tourists will pass through. Hopefully, management can address the service and organization soon.",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,4,"Nice place. Parking space limited to 5 cars only. No card payment, no one is bringing cash now 🤦🏿 ♂️ For hot coffees, make sure to serve it while it's hot please ☕️",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,2,No donuts on 25. December and almost 70% all drinks are not available and not bc. Is full of customers simple bc of miss management. Also no card payment and the disables entry is extremely small and parked with motorbike. And the stuff need a update.,Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,2,"Customer Service Suck, Slow serving.",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,4,good,Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,2,Didn't let me buy because they don't accept card payment.,Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,5,The place is super nice specially during early morning and I did not expect that their Matcha is good 🫶👌,Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,5,,Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,2,"The crews are taking a long time to move, and there are still some people waiting in the way. You're eating a lot, so please control it well, because you'll lose your appetite.",Coffee
Dunkin' Donuts- C. P. Garcia Highway,7.1490182,125.6228996,5,"Great for a stopover between flights, right next to the airport. Inexpensive and good.",Coffee
