place_name,latitude,longitude,rating,review_text,Shop_Type
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,"This Dunkin' branch has good AC, pleasantly low-volume music, and most importantly, a comfort room. I don't know why, but I really like this one, probably because it feels more organized than other branches. Just my personal preference, no shade intended. ✌🏽 Parking space is limited.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,"My go to breakfast spot. Their coffee is now much better and pairs perfectly with their choco butternut or bunwich, which comes in tuna, and ham and cheese. As of writing, they have their own new comfort room. It's a significant improvement from four months ago when they did not have a designated comfort room and had to go to the back restaurant to use the CR. You can relax in the open space on the second floor and enjoy the fresh air.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,1,"I wanted to claim my coupon from the recent TXT concert and when I asked them if they had the custom TXT box with them printed on it, they mislead me into thinking they had it and laughed at me for it by saying na there wasn't a box like that. I actually thought there wasn't a custom box like that but turns out there was. They could've just told me they didn't have a box but instead they made a fool out of me. Not only that, their air conditioner was leaking and causing a puddle on the ground. That could cause someone to slip and get hurt. This was probably one of the most irritating experiences I've ever had with employees.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,5,Good place to stay late night. Lots of chairs and parking space. Friendly staff,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,1,"Disrespectful employees. Ordered there and got my mocha latte and they served me a wrong one. Complained about it they only said that it was mocha even though it's not I know what the color looks like however the color that was served to us was Spanish latte they even mocked us they mentioned that maybe it's too strong for us because they said that they got a lot of complaints about it. I love Dunkin however every time I order here in this specific branch they always get my order incorrectly. Also ordered here on time with a thousand and then told the employee I don't have smaller amount, the employee was upset and threw the 10peso coin on the counter with the paper bills.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,3,"Of all the times I've ordered, about 50% of the time, the staff gets it wrong and packs the wrong donut(s). They got the order wrong, again. This time, it's supposed to be Vietnamese Coffee they gave a regular coffee. They even repeat my order to check if they recorded correctly. But got it wrong still.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,1,"Place is perfect. However, security guards have no sense of common courtesy for their customers.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,only availed to go. but donuts remain delicious with the classic dunkin taste.,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,The place is kinda small and tight. It will be filled with studying students especially during the night for two reasons: there are nearby schools and the products are sulit.,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,5,staff is good. guard is proactive. Wish they had whipped cream in stock when i went but they honor pwd discount and i appreciate the digital signature tablet they have,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,1,"Poor service especially Ms. Bea or Mae at Dunkin? Their staff is really rude, been waiting almost 5-10 mins at the drive thru yet some staffs already saw me (including that Ms. Mae or Bea) waiting to order but they just let me through at the drive thru stop. I patiently waited to order (came from a night shift duty, did not rush anything or anyone) but they just cursed me when I ordered lol, instead of asking nicely if I didn't hear my order properly, they cursed me. Then another staff came up to me and gave me my order, lol. Okay, let's get to the customers. Not to be entitled or something, but that was too rude like GMRC was never taught in elementary school. I just wanted to have a nice meal yet they ruined it because of their bad habits, it's really annoying as someone who always drives thru there after duty.",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,1,"Terrible bad experience, I was excited to eat then the choco butternut I paid for didn't come out until I was full. Stupid crew",Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,5,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,5,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,2,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,5,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,5,,Coffee
Dunkin’ Phoenix Drive Thru,7.0608527,125.5875615,4,,Coffee
