place_name,latitude,longitude,rating,review_text,Shop_Type
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"From CDO to do cafe hopping in Davao! So, first thing: no wifi and the signal inside is suuuper slow 😅 but honestly, the place makes up for it! It’s super spacious with lots of seats, perfect if you just wanna chill. ✅ Customer parking available! I loved that you can make your own yogurt — so fun and personal! 🥰 And yes, they have matcha too! Tried: • Yogurt – 210 PHP, 8/10 💖 • Matcha Mallow – 270 PHP, 7/10 🍵 The inside vibe is a bit gloomy, but the space is huge so it doesn’t feel crowded at all. Perfect for girls’ hangouts or a chill solo day!",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"It was our first time trying a yogurt bar and the staff were very accommodating. The drinks were a bit pricey but they were definitely worth it. The interior is very unique and the ambiance is great. We went there after lunch and only two tables were occupied, including ours. Overall, we had a great experience!",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"Good One Cafe and Yogurt is hard to miss with its all-pink facade. The interior is spacious, making it a nice spot to hang out. However, parking is quite limited, especially since the cafe shares the space with a gym under the same owner. It can get tight during peak hours. The cafe clearly attracts a social media crowd. During our visit, a number of content creators were filming, and the occasional camera flashes were a bit distracting. Understandable given the cafe's aesthetic, but worth noting if you're looking for a quiet hangout. The yogurt is self-serve at P0.95 per gram, with a good range of toppings. They also offer a variety of matcha drinks. Mine was decent for the price, and I liked that you can customize the sweetness level. However, it did take a while for our drinks to be served, which slightly affected the experience. Bonus points for issuing a sales invoice; something not all cafes consistently do.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,It was a cozy yet aesthetic cafe and my first matcha experience did not disappoint. It had a weird taste at first but I managed to almost finish it. Hopefully they have strong wifi inside next time,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"Good one cafe and yogurt is insta worthy. I think it’s prettier during daylight. Place smells good, wide space. The seats are a bit dangerous, because it’s so light you topple when you lean sideways. For these service, signal is bad for cashless transactions. And they have different cashiers for cafe and yogurt. I ordered yogurt and coffee but had to go outside, place my coffee order which I already paid in the yogurt section, then waited inside, go out again to pick up my order. It would have been better if it were more streamlined.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"Coffee was good. Got there in the afternoon and we’re the only customer there. It’s a bit far from the main road, but you can ride and tricycle.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"I’ve always been guessing what kind of establishment this was right beside a gym. The tinted glass didn’t help one bit. Parking lot’s a bummer. Not until I decided to squeeze in between vehicles one afternoon. My ignorance gave it away as the cheery and helpful cashier was on her toes to guide me as a first-timer. The set-up was the same with Frogurt…Choose, fill, then weigh…. The place was neatly splashed in pink. The vast toppings selection was something you can mutter “oh” or “hmmm” under your breath. Was still tummy full to fill my cup to the brim. My yogurt was covered in butterscotch cubes, dried strawberries, choco chips, ube syrup, with 2 Kitkat wafer sticks to seal the deal…..Matcha and coffee drink images looked encouraging. Till next time…",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,tried their premium matcha latte with less sweetness and its so good. prices are reasonable. i'd like to try their yogurt next time. there's a variety of toppings to choose from. staff are very friendly. place is pink! there are mirrors that add to the aesthetic vibe.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"First time to try their yogurt and unfortunately, it’s not frozen and “lasaw”. Even their Kitkat Spread too thick and won’t mix to the yogurt. Wasn’t able to finish it even though it’s my fave combo. Nevertheless, their Biscoff Cheesecake is good. Not too sweet, just right. Might come back to try their matcha drink but not their yogurt.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"The coffee shop is pleasant to the eyes of many. It looked clean and cute, though it only had limited seats on the first open but now it can cater a few. It is just beside to Continental Fitness Gym, has the same entrance. The coffee tasted good! For sure, aside from the place, you can return to try other flavors. My taste buds thank you for this delightful experience.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,The froyo didnt taste good but the matcha was ok.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"Recently visited this coffee shop. The ambiance is cozy and inviting, making it a perfect spot to relax or catch up. About the coffee. Rich and flavorful. Kinda messed up by telling the staff to put two shots of expresó making it too strong for me. But overall it was great. Overall, this place is a good spot. We're just vibing the whole time we're there. The music lineup is good too, it did not miss",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"Where creamy swirls and roasted scents convene, Good One Cafe, a vibrant, joyful scene. Yogurt's cool tang, with berries bright and bold, And coffee's warmth, a story to unfold. A sweet escape, where flavors gently blend, A moment's pleasure, for a joyful end.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"My co-workers and I were curious about this place and the taste of their yogurt. It was good, a bit more on the sweet side. People who don’t like sour yogurts will like this place. They sell their yogurt for ₱0.95 per gram if memory serves me right. The ambiance is perfect for GenZs and Swifties I think.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"Whether you're in a mood to go for coffee, matcha or yogurt, they got it covered for you! Coffee & Yogurt area is separated and if you have a big group, you can dine-in in their yogurt area since it's much bigger than the coffee area.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,"We tried their Matcha and Strawberry Matcha. They were “okay” at best. There are better matcha places in Davao. The cafe is connected to a gym with no partition separating them, which takes away from the overall ambiance. I think they are building a larger space, hopefully things improve by the time it’s finished. Parking can be difficult.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"The place itself is really instaworthy.💗 Their matcha, coffee, and yogurt is also good for its price. Not too crowded place and I love the ambiance.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,"Ordered white chocolate matcha, it was too sweet for my liking, nothing special. Place is not that big but clean and cute.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"Place was good if you want to take photos. Accommodating staff, serving time for the drinks took a while. Drinks are on the pricier side but is good. Yogurt is okay.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,it was a cute cafe with limited seating but they are still under renovation and I think their main area isn't open yet.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,2,The place is cute & the yogurt is great but the matcha tasted mid.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,Not a fan of the drinks but yogurt is great! Prettiest interior and a cozy exterior. The only pink cafe in davao.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,Cute cafe. Matcha was good. Ypgurt was good too. Just the ventilation.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"Ice cream so Good, and a lot of toppings to choose.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,friendly staff and great coffee!,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,"hojicha was good, matcha was okay",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,Nice one,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,🍦🍨🥒,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"I love the yogurt, coffee and match💗💗💗 so masarap",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,pretty place!! loved their froyo :))),Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,very aesthetic and loved the yogurt and drinks,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"Cute place, frozen yogurt is good",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,3 stars for service because everything is self-service,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,Yummy food 😋,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"I tried their hojicha it was good but in a way that it has tea like notes compare to other hoji that has chocolatey note, and not bad. And the Pink Matcha was really creamy that’s how friend describes it. And also must try the yogurt section it’s fun and I like the how strong sour the yogurt was.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,"Offers self service frozen yogurt, desserts and coffee. Nice area, very aesthetic. Appealing also their menu for desserts and coffee but I haven't tried it. For the yogurt, there are better ones elsewhere w better price point I didn't really taste the yogurt base. Service was good tho.",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,"The place is still small. Unexpectedly, the coffee is okay. 🌸 We’ll wait for the expansion. It’s really awkward to go to the gym 🤭",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,"Pink girlies!!! You'll fall in love with this place, you're so cutesy & insta worthy in the pics here 😩🫶",Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,Their matcha is on the sweet side for me. The serving took a little longer.,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,2,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,3,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,4,,Coffee
Good One Cafe and Yogurt,7.0811053,125.6076234,5,,Coffee
