place_name,latitude,longitude,rating,review_text,Shop_Type
Hid'n Coffee,7.091136,125.6071619,5,"A great outdoor dining spot right in the city! The ambiance is relaxing, with a cool and welcoming vibe that’s perfect for breakfast or a casual meal. The food was delicious, and while the breakfast prices are on the higher side, they’re reasonable for the quality and overall experience. It’s also pet-friendly, which is a huge plus. Parking is limited, with space for only about five cars inside, so it’s best to arrive early. Overall, a fantastic place—10/10!",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"This is a nice outdoor café to chill at. I ordered the dirty and it was good. They also have a food truck—we tried the tapa (really good!) and the breakfast steak which was just okay, especially considering it was the most expensive item on the menu. The vibe is relaxed, and when we went around 9 AM, the temperature was cool and comfortable. Overall, a great spot to hang out and enjoy a slow morning.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,My husband and I love this coffee place. Really good coffee and friendly barista. It's one of the very few places that opens early at 6am. The place is kept very clean. Way to go Hid'n Coffee.,Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Service was great, kind, friendly and welcoming, coffee was great the nutty latte had to order 2, food was also great, beef tapa how it should be, the bangus was delicious and the pancakes fluffy and crispy at the same time, that revel ube bar yummm! Definitely recommend",Coffee
Hid'n Coffee,7.091136,125.6071619,4,"Dining here in the early morning is really worth a try. Their beverage is really tasty, and it's not pricey. Also, they are very accommodating, though they only have a few staff available. However, I don't recommend the place in the late mornings as it gets humid and hot in the area.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Such a delightful spot! I just had a great coffee here. The outside seating is incredibly comfortable. Love the excellent music selection too. Altogether a fantastic, relaxing vibe! Highly recommend.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,An awesome find. Now I understand why people recommend this place. The vibe is great. The food is great. We were all stuffed after eating. The coffee is good. There are also small stalls that sell random stuff and trinkets. Definitely a must go if ever you're near the area. They're also conveniently located behind Abreeza.,Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Great spot for food and coffee! I loved that they have tuyo on the menu—one of my favorite breakfast dishes. The service was excellent, and one of the owners even gave us a slice of cake since it was his birthday yesterday. I’ll definitely come back whenever I’m in Davao.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions. I would definitely recommend their Himalayan Salt Latte and Flat White, as well as their PH-origin beans for pour over. Over the weekend, they sometimes invite pop-ups as well. In my recent trip to Davao, I visited this coffee shop at least 6 times.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"The first time I visited, I brought my grandma, mom and aunts and they all enjoyed it. Loved the garden feels, though others might find it hot or difficult to eat cause of the low table (though they provide a high tray naman)🪴 Great coffee from Hid’n ☕️ + great breakfast from Before Weekend. 🥞 What more can you ask for? Will be back for sure!",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"The dirty coffee was excellent! The location is also very quiet, making it a great place for anyone who wants to relax and unwind. Highly recommended.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,Our fave go-to bfast spot on a gloomy Sunday morning. Their tapsilog is a must try. ++ pet friendly really a plus. Just the wait time usuall takes longer (up to 45mins to an hour) esp on weekends,Coffee
Hid'n Coffee,7.091136,125.6071619,4,"Nestled quitely along the busy street of N. Torres is the @hidncoffeedvo 🍵 A trendy coffeeshop with its food truck concept, the place offers a cozy setting for meet ups and bonding time with loved ones. I ordered a calming Matcha Latte, safe to say it was really good. We dropped by around 7pm-ish on a Friday night, a bit disappointed that all their pasta, sandwich, and cookies were sold out...must be that good. 😋 📍Palm Village, Nicasio Torres St, Obrero, Davao City 🔆 Opens at 6am, closes at 9pm. ☕️ A regular Matcha Latte and Cappuccino costs P250 in total.",Coffee
Hid'n Coffee,7.091136,125.6071619,4,The place is great! Very refreshing mahangin and alot of greens to see. Plus the ice caramel is soo good. Recommended talaga! We ordered the filipino platter as well masarap din naman. I only gave 4 stars since medyo mainit na sya when wen there around 730 am. So we hope to have more protection sa sun hehe. But overall very nice place!!,Coffee
Hid'n Coffee,7.091136,125.6071619,4,"alfresco dining thats open conveniently for breakfast. has 2 stall selections. the other has good and various coffee selection while the othef mostly has food and group breakfast ones. the coffee portion was quite small and the toast isnt really served hot, it was a bit cold to touch but both still tasted fine.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"I like their coffee nook concept ♡ the iced caramel and peanut butter chocolate cookie from Ana Banana's bakery that I ordered were also delicious. Also, my suggestion to come here is at around 4:00 PM because it's pretty to take pictures and it's not too hot to hang out with your friends etc. ☺️",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Durian latte, anyone? If you’re in Davao, you’ve got to check out Hid’n Coffee! This mobile café is a hidden gem serving a surprisingly balanced Durian Latte. The durian perfectly complements the coffee without being too strong—just the right amount of boldness. Definitely a must-try for anyone looking for something new in their coffee experience. Follow my IG: @coffeewithjayr, for more cafe recommendations",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Really good coffee! I had 2 cups in one seating. It's that good! Will definitely recommend this place, and will drop by again once I go back to Davao.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Cute place. First time to go on Easter Sunday! Traveled to Davao and Planned to just try the coffee but figured out they had an Easter event for the kids, so we came back with the kids! Coffee was good, Before Weekend food was gooood tooo! Excited to go back soon! 💜",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"One of Davao’s go-to for coffee. While people go gaga about Spanish Latte, I’d recommend their Iced Americano 👌🏼 They also have non-coffee options: Pink Milk, Milo Dino, and House Iced Tea.",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"Visited this place x number of times and I love love how the mood changes throughout the day. I mean, thanks Mother Earth! Order your favorite coffee and matcha, you wont regret it! :) Free parking, good drinks, cashless payment option, clean CR",Coffee
Hid'n Coffee,7.091136,125.6071619,5,"We were brought here as part of the hospitality tour by our friends from Holodeck Productions and we really enjoyed our drinks! I got one of their iced peanut butter lattes and the flavors were well balanced, the nutty flavor didn't overpower the taste of the coffee. They also serve funky stuff like Durian Affogato. The place was also very breezy and comfy.",Coffee
