place_name,latitude,longitude,rating,review_text,Shop_Type
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"If you love coffee and reading books, this is the perfect spot for you. Glad they finally have a branch in Davao. The place is so coozy. A lot book to choose from that you can barrow while staying in the cafe. Their desserts are perfect pairs in their coffee.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,4,"Waiting for the café to open when staff came in just minutes before 9…Chairs were on top of tables as I ordered. Still three months in operation. Cute interior with lots of books on wall shelves. Staff made a mistake with my drink, was apologetic. I let it slide. Menu has slim pickings with moderate rates. Hope they add more.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"I recently visited this coffee shop and had a wonderful experience. The atmosphere was warm and inviting, with comfortable seating and soft background music that made it a great place to relax or get some work done. The space was clean and well-organized, creating a cozy yet modern vibe. The staff were friendly and welcoming, taking the time to recommend drinks and ensuring orders were prepared quickly. I ordered a matcha and a pastry, and both were fresh and delicious. The coffee was rich and smooth, with a perfect balance of flavor and foam. Prices were reasonable for the quality offered, and the overall service exceeded my expectations. I would definitely return and recommend this spot to anyone looking for a comfortable place to enjoy great coffee.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"The place is neat and cozy, it's situated along a busy road but inside it's comfortable and quiet. Good for socializing and studying. Their drinks and food taste good. Seasalt vanilla cream latte's my favorite drink. I also tried the newest addition to their menu which is the tuna sandwich and it's affordable and very filling. Definitely worth the visit!",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"I ordered Iced, Sea Salt Vanilla Cream Latte Butterscotch and it's so worth the price!🥰 The staffs are very kind and welcoming, & nice ambiance 👌🏻",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"I love this place! Coffee tastes premium. Place is very clean. Staff are very accommodating, kind, and polite. 😍 Definitely, one of the best places to unwind.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,Vienna coffee is a must try!! 🙌🏻🙌🏻 Customer service is really excellent!!,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"Coffee and frosted sips are pure bliss! Can't get enough of these tasty brews and icy treats❤️❤️❤️ Staff are friendly and efficient, with cozy and welcoming ambiance😊😊😊",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,I'm giving this 5 stars - great coffee and a cozy spot with books. Perfect for readers like me!,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"Sevice is 100/100! Great staff, and my favorite drink is their oreo frost, hoping to visit soon again. I would want to try more on their menu. I love the ambiance too, the cozy and peaceful atmosphere, if u are a bookworm, def reco this place!",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"Cozy coffee shop! They've got lots of books you can borrow while sipping your coffee, which makes it the perfect spot to just relax and unwind. The staff are kind and welcoming.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"The scenery hooks my attention. Calm and good place to go with. Try it out, and you won't regret it. 😊",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,Coffee that perks you up! Atmosphere that keep you in,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"So far. The services was good, the coffee was good also it was 100% goods! great job",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,i just hope they add food options in the menu :),Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,2,Coffee is sub par. Tastes like instant coffee especially the Vietnamese Latte :(,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,Happy to have a coffeeshop within my area. There's a lot of choices.New spot😍,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,Everything's top tier!! 🫶,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"I love everything overall, from food down to the place.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,4,Nothing special.,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"POV: You just found the best new coffee spot in Buhangin Davao. 😍 Whether you're looking for a place to study, catch up with friends, or just need a treat, Hills and Valleys Coffee in Buhangin is the vibe you've been looking for. Why you need to visit: ☕️ Signature Brews: Our Spanish Latte and Vietnamese Latte are total game-changers. 🍰 Viral Treats: That Cheesecake? Even better in person. 🫐 ☁️ The Vibe: Aesthetic interiors, cozy seats, and super friendly baristas. We're located at the G/F De Sylca II Building, Tigatto Rd (near Montclair Highlands). Come say hi and find your new go-to! 👋",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,"Hoping they have variation in foods, but their cake is delicious, forgot what it's called, buttery with biscuit and nuts. The signature mint I ordered had crunchy bits of chocolate which is a nice touch, tastes like Dynamite candy 🤣. GF said the Biscoff was also delicious, but I didn't try it. The staff at the counter was friendly and accommodating to requests. Visited last Friday night.",Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,4,,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,,Coffee
Hills and Valleys Coffee - Buhangin Davao,7.1111627,125.607585,5,,Coffee
