place_name,latitude,longitude,rating,review_text,Shop_Type
Hygge Coffee,7.0732804,125.6104918,5,"It was really good and nice, i could go back and dine in everyday here because the coffee/foods was really great and i loved the taste of spanish latte, it is really good. btw that's my favorite coffee.😊",Coffee
Hygge Coffee,7.0732804,125.6104918,2,"Not a busy time yet the service was a bit slow and the atmosphere was a bit gloomy. The amount of drink was only around 30 percent of the cup, the rest was filled with ice but even then it didn't reach the edge of the cup. Looking at the other comments, they did have similar issues with mine. I pray for their future improvements... 🙂",Coffee
Hygge Coffee,7.0732804,125.6104918,4,"I've actually been here a couple of times already before writing this review, and honestly I wouldn't highly recommend this coffee shop due to its slow food preparation process, where my friends and I usually have to wait for over 30 minutes for our meals (which happened earlier today). However, I'm writing this review in appreciation and gratitude for their staff on duty today. Story time: My friends and I went here to eat breakfast. We ordered our food and waited more than 30 minutes for the food and free WiFi coupon. By the time my food arrived (which was cornsilog), I ate it and it tasted sour, which didn't make sense at all since it's corned beef (How can corned beef be sour?). Even upon deciding to finish it, my friends called the attention of the server/chef and asked why the corned beef was sour (shout out to my friends!). The chef then apologized profusely and offered to prepare a fresh batch. After serving the fresh batch (upgraded my white rice to java rice), not only did he apologize once again, he also brought the staff in training (the one who cooked my first meal—the sour one) to apologize to me as well. I'm genuinely amazed with their service and accountability, which is why I wanted to write this review and let everyone who plans to visit here that despite the slow service, I hope you'll still choose to visit this place. 🫶🫶",Coffee
Hygge Coffee,7.0732804,125.6104918,1,"Honestly, I had a terrible experience here. I ordered a coffee to take home, and when I opened it, it wasn't even full and it looked like they had put something in it mural paminta or ambut unsa na hugaw vanilla latte tapos Mao ng nawng! I can't believe this happened on my second order. I will definitely not be coming back.",Coffee
Hygge Coffee,7.0732804,125.6104918,3,"I ordered a Spanish latte take-out... I was quite disappointed. For a mid-range priced coffee (150 pesos), the amount of drink inside was only %30 of the cup, not only that, it even has lots of ice inside and to think the amount of ice won't even fill the cup to the edge. 😅😂 Customer service was... Well... Slow and quite gloomy and to note that it wasn't a busy hour and there were less customers in the cafe at the time. Perhaps I'll try to be understanding that it may be a long day for the staff. Will visit again on another day and change my review if there are any improvements, for now there are a lot of things needed to improve. 😇",Coffee
Hygge Coffee,7.0732804,125.6104918,2,"The place looks very nice and clean inside although it's a bit cramped especially if there ar a lot of people, but I liked the ambience there. It feels like a good place to meet up with friends and grab a quick cup of coffee. I ordered their hot matcha latte...it was too sweet for my liking, plus it came in a small cup. They don't have the option for a medium and large cup which is a bit disappointing. Will try to taste their coffee soon to see if it's any good. Update. Went to get a cup of coffee and it took them 15mins to serve me my drink. They either forgot about my order or idk. The management needs tot rain their staff better. Would not recommend this place if you're in a rush. Too bad, they're one of the few coffeeshops that opens up at 6am.",Coffee
Hygge Coffee,7.0732804,125.6104918,1,"The place, coffee, and food are totally okay, the internet connection needs improvement because I notice that many students, especially those who hang out alone, need internet. It's a shame about the place knowing the connection they have, which is disappointing even though they only provide it for a limited time, but it's really slow.",Coffee
Hygge Coffee,7.0732804,125.6104918,4,Place is nice especially for students whose looking for a quiet place do study. Coffee and pastry are soso and affordable. Since we are not students we opted to use the table outside and there's a cute cat that's so clingy. overall the most laidback cafe i have ever visited,Coffee
Hygge Coffee,7.0732804,125.6104918,4,The atmosphere was very calm. And they didn't take long to give my order. Very fast service,Coffee
Hygge Coffee,7.0732804,125.6104918,1,The staff clearly needs more training. Service was a bit unorganized and communication could be improved. Mali2 ang order. Quality of the food is mid.,Coffee
Hygge Coffee,7.0732804,125.6104918,1,VERY POOR AND ODD CUSTOMER SERVICE! THE GIRL WITH AN OILY UNPRESENTABLE FACE AT YOUR KIOSK HAS A VERY UNWELCOMING VIBE! NA PARA BANG AYAW NIYA NA MAY BUMILI! WE WERE ASKED TO MAKE LIPAT TO ANOTHER TABLE WHILE EATING! VERY DISSAPOINTING! HORRIBLE EXPERIENCE! NEVER NA BABALIK! IMPROVE YOUR SERVICE! IMPROVE EVERYTHING!,Coffee
Hygge Coffee,7.0732804,125.6104918,5,"Converge was down, so I needed a place open around 3am to work. I found this amazing place that was not only open but also incredibly comfortable to work in. The burger they served was hands down the best I've ever had. The staff were very nice and accommodating. I had such a great experience that I will definitely be coming back in the future.",Coffee
Hygge Coffee,7.0732804,125.6104918,5,"What a great place to visit at the hygge coffee at j.luna street in davao city , best ice salted caramel i've tasted ang also i was amaze by there carbonara.so creamy deliciouse. Must visit☺️🥰",Coffee
Hygge Coffee,7.0732804,125.6104918,1,Labeled as 24hrs cafe but went there 6pm and 1 crew said they are cut off on rice meals except coffee and cashier said they are cutoff because they need to wash plates. 1 person I was with during line ordering was told food will be served 20mins after and another person approached because she is waiting for her order 30mins already. Very disappointing. We ended up leaving and went to other shop instead. They need to improve service! Something should not be an issue for a cafe with more than 1 branches.,Coffee
Hygge Coffee,7.0732804,125.6104918,5,"A must try cafe. Good coffee. Good food. Good ambience. Try their truffle pasta, garlic pepper beef and seasalt biscoff.",Coffee
Hygge Coffee,7.0732804,125.6104918,4,"Another 24/7 café in Davao. Food is a ok, ordered Spanish Latte & Pork Charanda (not in the photo) very cutesy portions, don't expect too much kay its just 119. Place is really accessible and I felt safe kay they were alot of customers even past midnight. Staff were accommodating too, especially the guy behind the counter (forgot his name!)",Coffee
