place_name,latitude,longitude,rating,review_text,Shop_Type
JAS Caffeinated,7.0988059,125.432872,5,"""JAS Cafainated in Bajada is a cozy and inviting café that's perfect for coffee breaks, casual meet-ups, or even getting some work done in a relaxed setting. The ambiance is warm and comfortable, creating a peaceful space where you can truly enjoy your time. Their drinks are flavorful, well-crafted, and served with quality that coffee lovers will appreciate. The staff are friendly, attentive, and accommodating, making every visit pleasant and welcoming. If you're around Bajada, Davao City, this is definitely a highly recommended spot for great coffee, good vibes, and excellent service.""",Coffee
JAS Caffeinated,7.0988059,125.432872,4,Opens at 6 a.m. Long menu to pore over with justifiable prices. Tried their Danggit (generously portioned) with egg and Strawberry lemonade for breakfast. Took home their viands to share (3 people) all were good. Surprised with the Creme brulee cake as it was immersed in a milky sweet liquid that seemed like 'condensada'. Place was huge enough for small group meetings. Seemed like there's a second floor too. Staff service was okay. Wifi connection was readily available. Only problem was the restricted parking space.,Coffee
JAS Caffeinated,7.0988059,125.432872,5,Great spot and affordable prices. Quality ingredients. Coffee was great too. Ate Michelle took good care of me. Thank you!,Coffee
JAS Caffeinated,7.0988059,125.432872,4,"#reysrestaurantreview J.A.S Caffeinated There are so many things to like about Caffeinated. a. The location is perfect. Accessible but not congested. b. Interior is not spectacular but not disgusting. Boring yes (God, plastic plants must be outlawed now). Plastic Plants are simply a sign of poverty of imagination. Gray walls with soft yellow hanging lights ? Really? But it will do. c. Service is good. Although the four staff have the tendency to conglomerate in the pantry and you need to shout to call their attention , but they are smiling and efficient except one whose default mode is frowning. No problem. Baka may MPD (may prosesong dinadaanan) d. Food is great and affordable. I tried four menus: grilled salmon is glorious, seafood marinara is okay, JAS Salad is fine, and sausage platter is a No NO. Don't order it. And three pieces of sausage is not a Platter. Go to Swiss Deli, they know what is Sausage Platter. My only beef? Their insistence that caramelized cheese cake is Creme Brulee. Excuse me. Those who know me are aware that there are only three desserts I can tolerate: banoffee is third, blueberry cheesecake is second and creme brulee is first. I have tasted creme brulee in a Parisienne deli, in Venice and all over the country. I KNOW what is creme brûlée.So don't me. Still, this is a great cafe, so I really recommend this when you are in Davao.",Coffee
JAS Caffeinated,7.0988059,125.432872,4,Great ambience. Delicious food. Competent and friendly staff. What more can you ask for? Parking can be tight. Highly recommending this cafe. Drinks are good. Pastries are okay. Looking forward to breakfast when I come back. Food: 4/5 Serving: 5/5 Serving Time: 15 min Service: 4/5 Ambience: 5/5 Price: 300/head,Coffee
JAS Caffeinated,7.0988059,125.432872,5,"Must try. Tried the JAS pasta. It was sooo good. The durian cappuccino was surprisingly good. The server can make YOU feel comfortable and not out of place. Overall, experience was one of the best!",Coffee
JAS Caffeinated,7.0988059,125.432872,5,"I've been looking for a tambayan and i think i found one! Bit pricey but it's worth it! I'm into bacon and honestly, their bacon is the best! Their staff is friendly. Place is just along the highway and it is sparkling clean, nice and very aesthetic ambiance. They are open 6am-9pm. Heavy breakfast 🙌 …",Coffee
JAS Caffeinated,7.0988059,125.432872,5,"We got here past 9pm and wanted something light. We ordered a hot matcha latte and an iced caramel macchiato and paired them with a creme brulee cake. I found the matcha too sweet for my taste. I requested more matcha and I was graciously accommodated. However, it was still too sweet. I prefer mine with the right balance of matcha flavor with a bit of sweetness. The caramel macchiato paired well with the cake according to my friend. The creme brulee cake seems like a bestseller since there were only two slices left. Its cream filling complemented with the caramel topping and the chiffon was spongy and light. They offer free wifi, you just need to ask for the password since the network signal for mobile data is weak.",Coffee
JAS Caffeinated,7.0988059,125.432872,5,I was craving for something new. I was scrolling through Davao Coffee Experience IG and bump into their posts about Jas Caffeinated which was near our place. Thought of visiting the café and tried their food. I didn't regret anything.... Food was mouthwatering and customer service was excellent! This is commendable! 👏🏻☕️🍛,Coffee
JAS Caffeinated,7.0988059,125.432872,5,Our camera club reserve the 2nd floor for our Christmas party.,Coffee
