place_name,latitude,longitude,rating,review_text,Shop_Type
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,3,"Went here at 10pm. Place looks cozy and nice. We sat outside. Service was good. Food could be better. The shakshuka doesn't taste like shakshuka at all. Doesn't have the necessary spice it needs. It just taste like pork and beans, too sweet. Creamy chicken lacks flavor too, I thought that was their best seller because my friend recommended it. Chicken was not crunchy and meat was a bit dry. She said it was good when they went there before at 3am. Maybe kitchen was overwhelmed because it was a bit busy. Try it yourself maybe it was just our experience. 3 cheese quesadilla/pizza my friend orderd, she said is really good and worth it. I'll try it next time. Probably will come back there for a morning coffee and chill since the place has a nice ambiance.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"One of the best place to go. Went here 7PM on a Monday. I was with my girlfriend. We just saw this from a review video on facebook. First, the Food is great but not the perfect type for 5 star but at least it is a 4 star. Second is the service is great and amazing. We were greeted, presented to our table, and given water. The staffs are easy to call on to, they also served the food earlier than usual. Third the atmosphere, this was one of the best place since the ambiance suits to whatever mood you may have, romantic or serious or chilling. Just amazing",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"Nice café with a relaxing atmosphere, surrounded by nature and a lake nearby. The food was okay, but the ambience and service really made the experience enjoyable. Great spot to unwind and enjoy the scenery. Went with GE",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"I like the ambiance here, it so peaceful perfect for spending time with your loved ones. You can really enjoy eating here as they serve foods that was amazing and delicious.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,"Honestly, the food and vibe were both great. What stood out was how attentive the service was. They genuinely made sure every customer felt seen, and the wait wasn't bad at all for a bistro. The one thing that could use improvement? Managing the flies around the dining area.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,3,"Service attendant was courteous. Food flavor was adequate except for the fish dish that had tough portions, may have been overcooked. Salad was served a little after the main dish when it was requested to be served first. Business owner needs to do housekeeping of restaurant debris/construction matetials in service and parking areas.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,The creamy beef is perfect. Worth the price and taste. The pork lechon kawali is barely a single serving for the price of 5-6 pax. The 190php rice bundle is not worth it. It's only worth 2-3. It would be better to order ala carte. The drinks are superb. Worth a second visit.,Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,"Cozy.. A place where you can chill-out and release tensions and stress. With wonderful foods and delightful beverages like coffees and tea, truly brings-out the lake by the garden natures healing prowess. 🍵 ☕ 🍲 🥘 🍜 🍗 🧆 🍃 🍀 🌿 🌳",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,The serving time was surprisingly fast. Food was good I ordered pasta and was filling. Overall experience was great. Only concern was maybe there would be mosquitos due to the lake outside.,Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,"Ambiance: The place is really nice with a great layout. You have the choice between a cool air-conditioned indoor area or a breezy alfresco space. One tip: if you choose the alfresco, be prepared for some mosquitoes! Food: The food is good and definitely worth the price. While it didn't completely blow me away, everything was well-prepared and satisfying for a meal out. Service: Very positive experience with the crew. They are accommodating and attentive. Overall: A solid spot for a meal, especially if you enjoy garden-style dining. Just bring some repellent if you're sitting outside!",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,2,"Located on the lot of Garden Fresca. Lemon peach (sparkling water) and aglio olio pasta were savory. Plates I took home were just okay taste-wise (see photos). Rates were higher but each dish was generally for 3-4 pax. Ask the waiter for a wifi voucher which covers only 2 hours. More vouchers should be given for those who spent 3k above. Complainits: - air-conditioning was warm (FAN mode is more appropriate) - annoying flies hovering while eating - staff - noisy (chitchatting) - continuous coughing/sneezing of lady cashier - inattentive waiter with my takeout order instructions (had to wait for another hour) - frozen lettuce leaves hidden under on both the garden and waldorf salads - sucks that there's a service charge for debit card (3%) and P15 for gcash (gotyme) There you have it. I won't be coming back. However, I'm still hoping Management will improve on those stated above for the sake of future customers.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,It was a wonderful dining experience made special by the very accommodating staff.,Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"I wish I could give more stars! Impeccable customer service from chat to dine, excellent food and generous serving. Everyone was welcoming, even the security guard who accommodated us when we arrived. Servers had great smiles on their faces. Perhaps more lights on the river would be an upgrade since the atmosphere was cozy. Huge thanks to the social media manager who was very patient and recommended tasty foods despite some items not being available. My favorite dish was the pesto pasta and the mango quesadilla. It was such a promising dish, though I wish it was a pizza rather than a quesadilla. Not really a fan of quesadillas here in Davao. Hopefully soon, pizzas can take over the quesadillas because I could barely taste the cheese but I enjoyed it.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,1,"The serving took a long time. We waited for more than an hour. The food wasn't served all at once. They served it on a different time that you have to consume it first, and your companion will eat later than you did. This means you can not enjoy the food at the same time. My baby back ribs was served cold, and when I started savoring it. It was hard, and it seemed like it was a leftover that was heated. All in all, my experience was not good.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"Nice restaurant in the metro. We came here for lunch and everything was delicious! Crispy pata, sinigang sa mangga and manggo quesidilla was all great! Service was very good too. Highly recommended when visiting davao",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"Overall, JH Garden Cafe & Restaurant has raised the bar with its thoughtful improvements. The quality of the food, the impeccable service, and the peaceful ambiance all come together to create a truly unique experience. It's the kind of place that not only satisfies your appetite but also rejuvenates your spirit with its stunning lakeside views and cozy environment. If you find yourself in Davao, make sure to stop by – it's the perfect blend of nature, comfort, and great food in the heart of the city.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,"Chill place and peaceful. The foods are great, taste good and it's worth your money. I hope next time they have more chicken in the menu available not just fried chicken 😜",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"Whether you're meeting friends, enjoying a romantic dinner, or spending some quiet time alone, JH Garden Cafe & Restaurant provides the perfect setting. The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion. The serene lakeside view and the soothing nature vibes make it the perfect place to relax, enjoy a meal, and soak in the beauty of Davao.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,3,"I really enjoyed the food here! I tried the pomelo salad and it was a generous portion fresh and flavorful. I also ordered pasta, which tasted good but the serving size was quite small compared to the salad. Overall, it's a nice place to eat with tasty dishes, but I just wish the portions were a bit more balanced.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"The food at JH Garden has seen a noticeable upgrade. With an expansive menu that combines traditional Filipino dishes and contemporary fusion options, every bite feels like a celebration of flavor. The ingredients are fresh, and the presentation is top-notch. Whether you're in the mood for a hearty meal, a light snack, or a refreshing drink, they deliver an unforgettable culinary experience every time.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"The café's strong connection to nature is evident in every corner. Surrounded by lush plants and trees, JH Garden provides an environment that encourages relaxation and rejuvenation. The gentle breeze, the soothing sounds of nature, and the calming greenery help create an experience that's not just about food but about connecting with the peacefulness of the outdoors. It's the kind of place where you can escape the fast-paced city life and immerse yourself in a more relaxed, mindful environment.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"If you're looking for a place that offers the perfect combination of delicious food, top-notch service, and a peaceful ambiance, JH Garden Cafe & Restaurant in Matina, Davao City, is a must-visit. Having been to this gem multiple times, I've witnessed firsthand the remarkable improvements they've made in both their menu and service offerings, making it a standout dining destination in the heart of Davao.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,Coffee was really good. We all enjoyed our cups. Kudos to the graveyard shift barista. The quesadilla was yummy as well. Will definitely come back to try the other dishes.,Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,I actually like it here. They have a delicious pizza and other foods. You can smell nature. You can feel calmness in the place. I must visit this place again soon.,Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,"An Honest Review JH Garden Cafe and Restaurant in their MATINA BRANCH is open 24hrs EVERYDAY My husband and I went 4 AM on a Sunday to avoid the crowd and to experience an early breakfast with the sun rising. This experience was so amazing. I kid you not. Now let's talk about the food. Coffee was really good. I had Cappuccino and Hubby got Caramel Macchiato. CM was so so but Cappuccino was UHMMM 🤌🏽 For Mains we got Baby Bach Ribs and Sizzling Steak Ala Pobre. Hubby said Steak was Good 8/10 . I loved my Baby Back Rib this melts on your mouth, The only thing I really don't like is the amount of fat that was still attached on the rib. I'm not a fan of beef fat. So this for me is 8/10. Next is the Sweet Keso Pizzadilla. This one was 100/10. I was shocked since it was served with garlic on top, but to my surprise it was not overpowering at all. Caramelized garlic was so good with cheese. This is a must try. We don't have the chance to order their pasta because we're so full. STAFF. 10/10. All of them must have been awake all night but greeted us with smiling faces. After ordering and getting our table they quickly served us service water and told us that coffee will be served in a while. I really love this place. It is peaceful. Good for serene date nights with deep talks. 👍🏻 MUST VISIT",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"The cafe has truly raised the bar with its enhanced products and services. Their menu is a delightful mix of Filipino and international dishes, all prepared with fresh, high-quality ingredients. Each plate is carefully crafted to ensure both flavor and presentation are top-notch. The restaurant has also become known for its variety of vegan and vegetarian options, catering to the growing demand for healthier eating. The service has improved tremendously too; the staff is now more attentive, friendly, and efficient, ensuring a seamless dining experience.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,4,"A lot on their menu were not available during the time we visited for brunch (both food and drinks) but overall, the vibe of the place is giving that much needed fresh air away from the city traffic without having to travel far away. Plus: pet friendly recommended 🐶",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"When it comes to the food, JH Garden Cafe & Restaurant has consistently stepped up its game. The menu is a wonderful blend of local and international dishes, all prepared with fresh ingredients and presented beautifully. You can taste the care that goes into each dish, and the improved service ensures that every meal is served promptly with a smile. The staff is attentive, friendly, and eager to make your dining experience memorable.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"JH Garden Café & Restaurant at the Matina Branch in Davao City has truly elevated the dining experience, blending delicious food, exceptional service, and a serene atmosphere like no other. Nestled by a picturesque lakeside, the café offers a refreshing escape with its cozy ambiance and stunning nature vibes that make it feel like you're dining in a peaceful oasis, right in the heart of the city.",Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,-Very relaxed ambiance -Big servings and very tasty food -Fast service -Polite staff -Lots of food and drink options -Not too crowded,Coffee
JH Garden Cafe and Restaurant Matina,7.0621266,125.586799,5,"Delicious food, had a large serving unlike other cafe. Had a pond to unwind, nature vibes. Great place to stay.",Coffee
