place_name,latitude,longitude,rating,review_text,Shop_Type
Kiks Davao,7.0896517,125.6165847,4,"April 9, 2026 Arrived 10:39am. Very hot outside and decided on Kiks. Thought of seating at the corner area but knowing that it's gonna be hot and no charging station, just next to the door. Changed to sando to on the heat then ordered. Got the off-menu ₱180 Hot Vietnamese egg coffee for dinein. If I ordered at 10:44, then I got it at 11:09. They used Vietnamese arabica as said. Was told to use the spoon to scoop the coffee at the bottom. It wasn't hot anymore but I took some pictures of it so yeah. The tasting advice was good and will consider it for other egg coffee drinks. Mixed the coffee and it felt creamy then tried placing ice in it. Preferred in hot form but kept the ice because it's hot there. Once ice melts, it smells eggy when drank from cup. I guess there's a reason why straw is provided. Next is kokobop. ₱135 Kokobop with ₱25 Ube Foam was a must because it's felt centered to the cafe. But like the egg coffee, should have gotten them in takeout form for larger portions. Last is the rocket punch and it was cheesy but great as a snack. There's water dispenser with paper cups but it's not cold. Stayed from 10:39 am to 3:30 pm. Around this time, it's not a place for studying or focusing but make use of the time once you are there or check the weather. The service was great. May try kokobop with sesame foam next time.",Coffee
Kiks Davao,7.0896517,125.6165847,5,"went here bc i missed vietnamese egg coffee so much and found out they do serve it here. i wanted to try out the matcga egg coffee but was bummed as it was only available hot and i prefer iced. so i got the regular iced egg coffee instead along with the cinnamon toast bc their savory pockets was also sold out at that time 🫠 the order took a long while, i hope next time that gets improved. the area is also quite small so it can only cater a couple of groups at the same time. not sure how huge the area is upstairs but i believe there are also tables there. love the coffee! even my self proclaimed coffee connoisseur friend also loved it! i think only thing is that the area can be improved interms of space and ventilation as well as the serving time.",Coffee
Kiks Davao,7.0896517,125.6165847,5,"I love how their Heaven's Cloud (matcha) isn't too creamy — 10/10 for me! Their Kokobop gets an 8/10. One of their Vietnamese drinks was also really good, and I loved the presentation — it looked super yummy. We also tried their toasties and I loved them! The cinnamon and cream's sweetness complemented each other so well. The staff were very accommodating and friendly. The place is really pretty and pleasing to the eyes, but it's best to come around 3–4 PM onwards since it gets pretty hot, even inside.",Coffee
Kiks Davao,7.0896517,125.6165847,4,Faint signage. One parking slot. Small space and even fun-size chairs and tables. The simplified menu no doubt suggests accommodation for small catch-ups. The Bittersweet was just what I was looking for to muffle the sugary sensation of the toasties which was also a bliss. A prime choice for solo dining or modest group gatherings.,Coffee
Kiks Davao,7.0896517,125.6165847,5,"I am always rooting for coffee shops who has their own brew. They give impact to coffee lovers and could always think to try the other signatures they have instead of looking for another shop to try. Their blend is unique. It is like you could share the coffee, but it's too good to part with. The staff is friendly, easy to locate but one thing we're concerned about is that theres a lot of mosquitoes in the al fresco area, hope they can add or see where to put best their insect killer.",Coffee
Kiks Davao,7.0896517,125.6165847,4,"They offer a few Vietnamese drinks which piqued my interest since I've already tasted the sweet coffee from Vietnam, and I can say that they did capture the taste of the drink, albeit the consistency is a bit different. I would recommend trying their matcha drink! It was so refreshing! The space is a bit cramped though, and it can get very hot outside, so try coming here after 3pm to avoid the heat.",Coffee
Kiks Davao,7.0896517,125.6165847,3,"a kpop-themed store! they have menu options that are based from kpop songs. i liked their toasties a lot. the matcha was too thin but my friend said her bon bon chocolat was good! outdoor space is nice, too. don't forget to get stickers before leaving",Coffee
Kiks Davao,7.0896517,125.6165847,5,"Location is so easy to find (by the main road) and the place is so cozy! ❤️ Barista knows her craft and explains well when we ask our orders. Iced Matcha will never disappoint! As a matter of fact, I had 2 orders during my stay! The comfort room was also very clean and smells good (a great plus for any cafes) So many potential for this new cafè, a must-try if you visit Davao City!",Coffee
Kiks Davao,7.0896517,125.6165847,5,"One of the best Viet coffees I had, and the inside is so cozy and relaxing. A perfect hideaway in the bustling city.",Coffee
Kiks Davao,7.0896517,125.6165847,5,"Stopped by here for a coffee and a bite to eat after dropping off my laundry down the street. Quaint little place with good service, good food and great coffee. It's small and no WiFi, but it is worth checking out.",Coffee
