place_name,latitude,longitude,rating,review_text,Shop_Type
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,"May 2024 — This is easily one of the busiest spots in SM Lanang Premier, likely due to their consistent international quality. The donuts are always fresh and delicious. However, being a standalone kiosk in the middle of the mall hallway significantly limits the dining space. It’s often too crowded to enjoy a quiet meal. Because it's so busy, maintenance is a struggle; tables are often sticky or cluttered with the previous diners' mess. It might be time for them to consider moving to a proper storefront with a dedicated seating area to better serve their high volume of customers.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,"Great service and location. Best to come here morning time, 10AM.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,"Krispy Kreme donuts are still the best. soft, sweet, and always delicious. I availed the limited edition Lilo and Stitch donuts which are amazing. Even after all this time, the quality hasn’t changed, and I always enjoy them. The only downside is that this branch is always busy. Every time I order here, it takes a while. I can see the staff are doing their best to accommodate everyone, but the wait can be a bit long. Still, the donuts are worth it.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,The quality of Service is unbelievable!! the server in the donuts part looks like he doesn’t want to serve us costumers! NOT TO MENTION the barista TOOK FOREVER for a single cappuccino- to the point she looks like she doesn’t know what she is doing. fix this please,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,2,Really liked their glazed doughnut. However they should improve the service since it will take you minimum 25 minutes to pay and get your order. There were 2 cash registers and during peak hours or when the queue is quite long then they should utilize both cashiers rather than chatting and laughing with each other at the side. A more efficient branch manager will do the trick.,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,"Took 30 minutes to pay myorder. Only 1 cashier. Service is sucks. Lady Manager busy texting, never pay attention the line is long. I think she need more training. I work in the hospitality,",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,2,"food's alright since krispy kreme but service sucks. just reading all the comments, a lot of people would agree. you'd get better service at a busy jollibee.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,Krispy Kreme doughnuts are always good of course. However there is often times a line here and not enough seating. Also there are no fresh doughnuts made here. For that you have to go to SM City.,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,"Your service sucks! Crew lacks training! Management should look into this since i have not experienced this bad service in SM Ecoland branch, only in SM Lanang which is consistently lousy from crew to supervisor.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,"Krispy Kreme Doughnuts outlets need no introduction to Philippines People, their doughnuts are commonly given as a gift, or as a Pasalubong which is the Filipino tradition of travellers bringing gifts from their destination to people back home. Of course they are a deluxe product and much appreciated. This particular outlet is on the ground floor of the mall and immediately visible when you walk in. There are ample tables and chairs so you can enjoy your purchase with a drink if you want a rest while shopping. Of course there are not just plain doughnuts but there are a variety of toppings and fillings. A first class product in first class surroundings.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,Unorganized staff and we only have 3 flavor options for doughnuts when we bought today around 7:30pm..,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,Excellent place to sit and sip some coffee the only problem I have in this place is they dont offer a wifi though you have SM wifi the signal around wont reach you properly so they should offer to have the complete coffee and donut shop experience,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,"Super bad experience today!!! I was in the queue for a long time, there are 3 staff idk what they are doing, they already got my order, i waited like forever them they told me it’s not available????? Disappointed, super bad service!!!",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,"Great coffee, and doughnuts. Staff were wonderful!",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,coffee + doughnuts= krispy creme,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,They have outlets. A good refuge when you ran out of power while shopping,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,There’s a lot of staff yet slow in service and orders are jumbled.,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,Nice and comfy place. If you want to relax and eat some donuts then this place is for you.,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,Doughnuts are good and the services.,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,"Very slow service, waited in line for close to 20-30 minutes.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,Good for take outs and quick bite. Crowded.,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,Nice place to wait for people without the difficulty to be found,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,Long wait but worth it,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,Always the best!!,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,Maybe,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,"Their dessert is delicious, not too sweet.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,2,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,1,"The service rating refers to the wait time for orders. The staff chat amongst themselves a lot instead of focusing on their work and processing orders. With 4-5 people ahead of you in line, it takes 20 minutes to get your order. The drinks and doughnuts are great, as always. The employees aren't exactly known for their efficiency.",Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,4,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,2,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,3,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
Krispy Kreme Doughnuts® - SM Lanang,7.0972927,125.6104479,5,,Coffee
