place_name,latitude,longitude,rating,review_text,Shop_Type
Mori & Mill,7.0980973,125.6121912,5,"Mori & Mill has a cozy and elegant atmosphere that's perfect for relaxing with friends or family. The food was fresh, flavorful, and beautifully presented, while the drinks were equally enjoyable. The staff were friendly, attentive, and made us feel welcome throughout our visit. Overall, a wonderful dining experience, and I'd definitely come back to try more of the menu. Highly recommended!",Coffee
Mori & Mill,7.0980973,125.6121912,5,"""If you're looking for good food + good feels, Mori and Mill delivers. Everything we ordered was delicious, service was quick and friendly, and the place just has that 'stay a little longer' energy. 5 stars!"" ✨",Coffee
Mori & Mill,7.0980973,125.6121912,4,"I visited this cafe when it has just opened in Davao and based on my experience, the whole thing would have been nicer if there is a better parking space and the staff would have been more attentive. It was new and it was nice but it really does not give you a reason to keep coming back since the food we ordered did not really leave a mark. The owners seem pretty nice and the staff they have really tried to be more attentive but maybe it is just the busyness of the place that made it seem that they cannot accommodate us properly.",Coffee
Mori & Mill,7.0980973,125.6121912,2,"Don't get scammed by the advertisement of this restaurant you'll definitely get disappointed. Aesthetics of the restaurant is the total opposite of service and food. We dined last night. We have lots of left over food, we didn't opted to take it home since the food was undercooked. Service is very poor and toilet room is disgustingly untidy. We definitely regret bringing our Non Davao friends here. Experience was embarassing. I almost forgot, their FB page sends you a link to their website to book a reservation. Upon arrival on the resto, staff says they didn't get our reservation.",Coffee
Mori & Mill,7.0980973,125.6121912,3,"I had high expectations for Mori & Mill, but unfortunately it didn't live up to them. The food was just so-so, especially considering the price point—I expected much better quality and flavors. The biggest disappointment was the ube gelato. It seemed to contain an excessive amount of food coloring, and even several days later, my lips are still stained purple. I hope they can improve both the food quality and the ingredients they use.",Coffee
Mori & Mill,7.0980973,125.6121912,3,"While the staff was incredibly accommodating, the overall experience (food espcially) felt overpriced and a bit overhyped",Coffee
Mori & Mill,7.0980973,125.6121912,5,"A True Taste of Manila Quality! The food here is absolutely magnificent...honestly, nothing like I've ever tasted before. If you've been searching for that high-caliber, vibrant dining experience you usually only find in Manila's top food spots, Mori and Mill is exactly where you need to be. Beyond the incredible menu, the vibe and atmosphere are unmatched. It's the perfect all-rounder spot whether you're bringing family, catching up with friends, or hosting colleagues. It genuinely feels like a place where you can pause, take a breath, and just slow down to enjoy a spectacular meal with the people who matter most. Highly, highly recommended!",Coffee
Mori & Mill,7.0980973,125.6121912,5,one of the best salmons ive tasted here in davao!!! also their dubai chewy had chocolate mousse in it so it also had a unique flavor that everyone cant miss out on 💯💯,Coffee
Mori & Mill,7.0980973,125.6121912,3,"The place was packed because it's newly opened. The food was decent, but I found it a bit pricey for the amount of food served. Overall, it was okay.",Coffee
Mori & Mill,7.0980973,125.6121912,1,"It wasn't good, it's ordinary and overpriced. Servers are all over the place and very slow. It is very inconvenient to order in an iPad considering they have service charge, in the end the customer do all the service. Biggest ick the bathroom, I cant even. Just a one hit wonder i won't recommend.",Coffee
Mori & Mill,7.0980973,125.6121912,1,"First of all, I'd leave 0 stars but it's not possible so here's a 1. Beef noodle soup was so salty I turned into a raisin. Mori and mill? More like less and not a good meal.",Coffee
Mori & Mill,7.0980973,125.6121912,5,"Approachable staff, good experience, very inviting and welcoming, very accommodating. Will go back again with my mom.",Coffee
Mori & Mill,7.0980973,125.6121912,5,"Good coffee and relaxing interiors, definitely would come back for another cup.",Coffee
Mori & Mill,7.0980973,125.6121912,1,"Food cold, had to ask 3 times just to get some water. Like bruh...",Coffee
