place_name,latitude,longitude,rating,review_text,Shop_Type
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,"I recently visited Pick Up Coffee at the Finance Center. During my visit, the branch was managed by just one staff member, and he did a great job handling everything efficiently. The place is air-conditioned, clean, and comfortable—perfect for a quick coffee break. The coffee is affordable and tastes good. While it’s not a premium coffee experience, it definitely delivers good value for the price. I ordered a Spanish Latte paired with a croissant, and they went well together. The staff was friendly and accommodating, which made the visit even more pleasant. Overall, it’s a good spot if you’re looking for an affordable coffee fix in a clean and convenient location. Recommended for students, office workers, and anyone who enjoys a simple coffee break.",Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,"Pickup Coffee DAVAO FINANCE CENTER ⭐⭐⭐⭐⭐ My favorite coffee chain! Always smooth, tasty, and never bitter—their iced oranges americano is superb. Fast service, friendly staff and Supervisor and affordable prices. Highly recommended!",Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,2,"I used to really love this place and I liked hanging out there. The coffee isn’t the best, but it was always convenient, especially when ordering past midnight. But tonight my order on Grab was cancelled without any explanation or message. It was really disappointing, and I hope they handle situations like this better in the future.",Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,"Affordable coffee. My favorite is Dark Mocha. Original Milk Tea is okay. Milosaur is sweet (coz it's Milo) and creamy, my kid loved it Caramel Coffee is as good as every caramel coffee.",Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,1,"Had no other payment method besides cash. Staff never bothered to offer alternative like using Grab or their app. Because of that, in my own initiative, I had to use their app (which they promote and even have a poster encouraging their customers to use) to order online and use my card. While ordering in their app, I was preemptively asked to leave the establishment because I was ""tambaying"" (as if their place is desirable to be tambay-ed on in the first place). I complied and they lost a returning customer.",Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,1,"Unfortunately, my interaction with one of your staff members was disappointing. The lady who took my order appeared unapproachable and gave me the impression that she was not engaged in her job. Her manner of communication was not conducive to good customer service, as she did not respond to my questions in a courteous manner and even interrupted me while I was placing my order. At one point, she informed me that my order was unavailable, even though I had not yet mentioned what I wanted. Additionally, she did not smile or provide any form of welcoming demeanor. I understand that the staff may have been busy, but I believe that courtesy and politeness should still be maintained, regardless of the workload. A simple and pleasant response can make a significant difference in the customer experience. I wanted to bring this to your attention, hoping that improvements can be made to ensure that all customers feel valued and well-treated during their visits. poor customer service.",Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,The taste of their coffee is consistent. The staff is very friendly and professional.,Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,Good Quality Coffee! And friendly staff,Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,Delicious coffee! Baristas are kind,Coffee
PICKUP COFFEE - Davao Finance Center,7.0978083,125.6189976,5,Nice Area and Ambiance during Dawn with coffee,Coffee
