place_name,latitude,longitude,rating,review_text,Shop_Type
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,delicious bites especially tuna bun and the chicken bun i always order on their menu is ube and the chocolate classic and oreo i tried the tiramisu too and the biscoff,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,3,"The staff seems to hate her job. First order she served up to cup head ice, second order sea salt latte was too bitter. All served with an irritated face",Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,1,Bad vibes unfriendly staff un organized staffing. Staff took a break at 1pm saying they are currently on a onine meeting. Always runs out of ice.!!!!!,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,1,"did not fill the cup to the rim; sugar syrup ay gitipid unlike other branches. order: brown sugar latte, upsize",Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,food is delicious and affordable also the coffee,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,,Coffee
PICKUP COFFEE - Gaisano Grand Citygate,7.1072593,125.5755505,5,,Coffee
