place_name,latitude,longitude,rating,review_text,Shop_Type
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,4,"Coffee tastes good considering the cheap price. Service can be improved, cashier seemed out of it and lacks focus. I wasnt even sure if she heard me (but she did) The ‘barista’ or the one who made the coffee was friendlier. They are only good for take outs since they dont have any chairs and tables. Waiting time was under 5 minutes, but I was the only one who ordered",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,I got my order immediately. Affordable. I ordered chai latte (80 php regular size) and it was good. I'm not sure about their coffee since I am not a fan of drinking coffee. Overall it's good.,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,3,Ordered via their app and upsized my drinks but received this. Sayang lang add for upsize when they don't even fill out the cups properly.,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,3,"What I ordered: iced matcha in oat milk and less sugar via foodpanda pickup. More sugar than matcha, but good enough for a cheap matcha fix. Oat milk makes the drink more delicious. Maybe will try again if I can’t go to Fourth Street.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,"I gave it a 5-star rating because of its pricing. Affordable coffee on the go, really. Nice place, coffee cart, and staff. I ordered the kape kastila, and the taste is okay. Will try other coffee soon, though I am not really a coffee drinker.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,3,"aesthetic stall, cheap priced coffee the coffee aint that bad for its price but dont expect super high quality tasting coffee. good for a quick caffeine fix in a budget.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,4,"the drinks are much cheaper than other coffee shops (i guess 50%). their chai latte is good, but i tried the matcha latte, it wasn't. but it's still a great option if you want your coffee fix even on a budget.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,1,Very slow| ordered hot white matcha since ice is not available | but ordered came with ice | crew is not that attentive on getting their customers ordered correctly took 20 mins,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,3,"Hot Americano and Spanish Latte were good, but their fruit-based drinks taste like Lipton tea. Overall, I appreciate the packaging and their cute kiosk.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,Loved the Vietnamese Latte,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,2,"I ordered honey lemon iced tea, which is new on their menu. Got the order and was kinda satisfied with the drink. It was great. The only problem here is the service. When I ordered the drink, I saw on your display that it would cost ₱79 for the regular size, however, when I was about to pay, the cashier told me that it would cost me ₱94—which I realized later on that what I’m paying is for their upsize, not the regular one. Now, I don’t really have a problem with how much the cost was, but rather how your employee, specifically your CASHIER handled the situation. I would really appreciate it if the cashier was able to inform me ahead of time that they don’t have the regular size before telling me how much would I have to pay. Also, please teach ur employees to be more approachable and friendly when entertaining their customers—especially the cashier since they’re mostly the ones who’s interacting more with your customers. Thank you.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,"This coffee is finally in Davao City. Located near the entrance of Gaisano Mall, it's easy to find. Service is fast. It's a shame there aren't any seats to enjoy this coffee on-site. The best part is its affordable price and delicious taste. They offer tea and chocolate options, in addition to coffee. The sugar content is just right, not too sweet.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,1,"The blend is a bit off compared to other branches. Most of the time, the coffee is weak or diluted which I don't understand. Espresso is also not freshly extracted, it's stored in the pitcher.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,2,Very sad. I wish you were ashamed to just fill the glass with ice. There was no tissue paper.,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,1,,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,amazin,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,,Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,1,"Ordered it online, the barista is not doing anything because the pick up is still at 11:39??? Then it's obvious that it's all ice, it's like the worst branch, fix your barista.",Coffee
PICKUP COFFEE - Gaisano Mall of Davao,7.0780207,125.5946034,5,,Coffee
