place_name,latitude,longitude,rating,review_text,Shop_Type
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Pick Up Coffee has always been me and my buddy’s go-to for comfort drinks. For me, it’s the white chocolate matcha 🍵and white mocha latte☕️, while my buddy loves their refreshing fruit teas and white chocolate Matcha🍵. Before, we had to travel all the way to Lanang just to enjoy them. Now, with the Oroderm branch in Claveria, it’s so much easier to drop by after office hours and sip our favorites together. The café is cozy and welcoming, but what makes it truly special is the staff. They are consistently accommodating, and the manager always goes above and beyond. One time, we had a payment issue because of a network problem with the swipe machine and even their QR option couldn’t process the payment. The manager kindly offered to let us send the payment to her GCash so she could hand us cash in return, since we didn’t have any on hand that time after coming straight from the office. That simple act of kindness really moved me and my buddy it showed genuine care and hospitality. Since then, this branch has become our regular spot. Every visit feels more than just grabbing coffee☕️ 🍵it’s about enjoying great drinks, reliable service, and the warmth of people who genuinely care. Thank you, Pick-Up Coffee - Oroderm Branch for making our coffee moments special.🫶🏻",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Our go-to coffee spot and comfort place in town! The drinks are always so good and made perfectly every time. The staff are super friendly, welcoming, and accommodating, which makes the whole experience even better. The place has such a calm and cozy vibe — definitely a café we’ll always keep coming back to. Highly recommended! ☕🤍",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,I love the baristas on duty always. They are very attentive and accommodating .,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"There’s something special about this coffee shop the cozy atmosphere, the aroma of freshly brewed coffee, and the warmth it brings. But what makes it even better is the people behind it, serving every cup with passion and making every customer feel welcome. A place that truly turns simple coffee moments into unforgettable memories",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,We had a great experience dining in here. One of the best in town! Also a plus because the supervisor named Lorie was so accommodating. Kudos to this branch! 👏🏻,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Great experience at PICKUP COFFEE! The staff were friendly and accommodating, and the coffee was smooth, flavorful, and freshly made. Definitely a go-to spot for a quick coffee fix. Highly recommended!",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Another great little coffee shop in Davao. It’s tucked in off the street so you might miss it if you don’t look for it. It’s clean and quiet even if it’s busy outside. I ordered the Kapa Kastila (Spanish Late) and it was as good as I hoped. Smooth and flavorful without being too sweet. Barista was friendly and helpful and I feel the prices are very good. I’ll be back!,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,4,"I've been here a couple of times already. I like the place. It's very cozy and perfect for students who want a quiet place to study. But, it doesn't have wifi. You can't charge there either. The prices of the coffee are reasonable. Overall, I'll be coming back again and again.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,I like the ambiance of the place. My favorite coffee in a cup to get me through the day.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Affordable and great tasting coffee. Staff shared great insights on franchising.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"been there for couple of times, good costumer service, cozy place, most of all good coffee and pastries😸.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Consistently the best espresso in town. Fast and friendly service!,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Affordable, and it is open 24hrs now. Very convenient.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Love the atmosphere here.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Super Lami, Affordable, Friendly vibes, Accomodating Staff",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Very accommodating store. You visit here!!!,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"cozy placeee, nice song choices hehe.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Barista was very kind and the place is clean.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Hot white mocha latte is on top!!,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Friendly vibes Affordable Lamiiii😋,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Verry Accommodating Sa staff,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Very good service ♥️🥰,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Friendly staff Good vibe,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,All staffs are friendly and kind,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Two thumbs Up!👍🏻👍🏻,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,it was great and served well,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,The coffee is nice and good,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Amazingg , best pickup coffee in town.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Affordable.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,4,"The barista is very humble and accommodating, Good job kuya. He smile brightly.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,the best pickup ever!,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Nicee plays been here since internship days. All the love.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Good service,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Good service, overall good",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Coffee is great,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,love the place,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"The coffee here is really the best, can't be compared to other coffee shops. Also, the way they handle customers, the staff is very accommodating. Also, their supervisor is shaped like rice, hehe, thank you for repeating.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"Our favorite coffee spot with my husband 💛. It's affordable, the place is delicious and relaxing. Always worth it to come back. ;)",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Delicious and very nice place if you want to chill with friends or family,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,"The STAFF is really the best, especially Visor at Oroderm.",Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,Very nice place and all the staff are kind ☺️,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,1,The coffee we were served for take-out was stale 😡,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,He is delicious.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,We really like Spanish coffee.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,The drinks are good.,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,4,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,4,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
PICKUP COFFEE - Oroderm City,7.0670407,125.6012821,5,,Coffee
