place_name,latitude,longitude,rating,review_text,Shop_Type
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,"Pickup Coffee DELTA ⭐⭐⭐⭐⭐ My favorite coffee chain! Always smooth, tasty, and never bitter—their lemon Iced tea is perfect. Fast service, friendly staff like super, and affordable prices. Highly recommended!",Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,3,"The tables were not cleaned, the staff were doing mediocre stuff.l, clumsy and unhygienic. Laid back and had my order size wrong. They still put molded breads and kinda skeptical about the bread I ordered. On a good note, the yema bread was tasty. The taste resembles Vjandep Pastel from CDO. I'll give them that.",Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,Nice 😊 place you can relax they have dining chairs and tables with outlet,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,4,Try it! ☕️,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,kinda love it!,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,5,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,4,,Coffee
PICKUP COFFEE - Robinsons Cybergate Delta,7.096115,125.6119751,1,,Coffee
