place_name,latitude,longitude,rating,review_text,Shop_Type
REVEL by Confex,7.0626559,125.5880107,5,"Really liked this café in Poblacion. Stopped by Revel by Confex and ended up staying longer than we planned. The place has a super cozy feel, with little doodles and artwork everywhere that make it feel very personal and creative. Coffee was good—especially the Einspänner—and the pastries (Carrot cake FTW!!) were solid too. It's the kind of spot you can just sit, chill, and lose track of time a bit. Definitely one of those cafés I'd come back to. ☕️🤎",Coffee
REVEL by Confex,7.0626559,125.5880107,5,"ordered hojicha kay wala silay matcha but its good! also, einspanner latter sub oat for me 8/10 not the sweet and i can taste the spresso. good choice for sub oat. I LOVE THEIR BUTTER TOAST (??) WITH ICE CREAM! not bad for 100 pesos???? so big! love the place its cozy, they have wifi, and sockets. love the holiday vibe 🎄",Coffee
REVEL by Confex,7.0626559,125.5880107,5,"Really enjoyed the coffee at Revel. The coffee was excellent, the Wi-Fi was fast and reliable, and there were charging outlets available too. Great spot to chill, work, or just enjoy a good cup of coffee.",Coffee
REVEL by Confex,7.0626559,125.5880107,3,"December 2022 | This review is two years overdue, so I'm not even sure if everything still applies but I wanted to write it anyway because my experience here was genuinely memorable. I had been eyeing this shop for weeks until I eventually reached it by accident while doing my nightly walk along Don Julian Rodriguez Avenue. Two customers were just heading out as I arrived, so I ended up having the entire place to myself. I ordered a slice of cake and a cup of coffee — names I can't remember anymore but both tasted really good. The cake slice, in particular, was huge. I couldn't finish it on my own, and honestly, it's best shared between two to three people. The café is small but very cozy and warm. It feels like a quieter, more relaxed version of Green Coffee near NCCC VP Mall. Davao has plenty of coffee shops, but this one is definitely a charming little hidden gem, a true ""hole-in-a-box"" cutie.",Coffee
REVEL by Confex,7.0626559,125.5880107,5,I love how calming and relaxing this cafe is. I love how if you sit at the tables near the windows you get ample amount of sunlight and i don't know why but it pairs so well with drinking coffee.For its price point it's honestly so affordable and worth it. If you're going to order cake i highly recommend the red velvet cheese cake,Coffee
REVEL by Confex,7.0626559,125.5880107,4,Super recommend this coffee place. I tried the latte and their presentation was great! I also recommend their red velvet cheesecake and revel bar. Not so sweet but a great pair with the coffee. Will definitely try to visit again,Coffee
REVEL by Confex,7.0626559,125.5880107,5,"Aesthetic Instagrammable small cafe in town! 🤍 Their revel bar was good. Staffs were friendly too. 😊 Unfortunately, strawberry milk wasn't available; I will come back some other time.",Coffee
REVEL by Confex,7.0626559,125.5880107,5,"Feels cozy. Staff are very friendly and welcoming. Aside from good place and staff, they also have delicious treats and drinks! (The pictures might not justify the products and place tho, sorry 'bout that 😂)",Coffee
REVEL by Confex,7.0626559,125.5880107,5,I've been here twice. The owner and its staff are very welcoming and accommodating; I guarantee you'll love going back for their coffee and pastries 🥰,Coffee
REVEL by Confex,7.0626559,125.5880107,5,"Nice, cozy ambiance. Enjoyed their Matcha Strawberry Milk and Einspanner Latte. Their Pecan Bar was great too! I look forward to coming back.",Coffee
