place_name,latitude,longitude,rating,review_text,Shop_Type
ROOFTOP Café Bar,7.0590246,125.5993144,5,"It’s my second visit to this place. Staff are very accommodating and they proactively keep our helmets inside, foods are delicious! Worth every penny. Note: you can also bring food from diff store. 🥰",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,5,"overall satisfied with everything! been here many times already—whether it’s for dinner dates with friends, family gatherings, and study outs. their iced spanish latte is my ultimate fav!",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,5,We went their at 4-5 pm so we are captivated by the place. We enjoy the food with the calm ambiance. We can only hear the music they played. Soon we want to experience the ambiance at night together with the live band which is a perfect spot to unwind.,Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,5,"This one was one of the best coffee shops I have ever visited. The view and atmosphere was exquisite, not too windy, but the air was invigorating. Been there twice.",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,5,"They just changed their name and menu but Coffee drinks are still available which is great. We love how they turned this rooftop into a business, much more a Cafe to just chill and hangout with friends until morning! Just be careful with the stairs going up as its too narrow. Would definitely visit this again, located in Sandawa, open from Sunset to Sunrise. Visit their FB page and follow for updates.",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,4,"Me and my teammates went straight to Rooftop after our shift 4:30am. We had our breakfast there. Nice ambiance, cozy, and aesthetic. Staff are friendly. Food is okay, i recommend the Cheesy Chicken Fillet Meal for only 179php and they have huge serving! I ordered Cheesy Steak Meal (beef) for 199php and it's not worth it. It has a lot of gristle on it (chewy part of the beef or inedible part of the beef). I partnered it with iced tea and it was refreshing (apple iced tea for only 25php). All meals are served with 2 rice and an egg. When we went there, all sandwiches are not available. It was a bad timing as well, we were waiting for a sunrise but it was chilly has an overcast day (cloudy since it's about to rain).",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,4,"Chill place to hang out alone or with friends, love the friendly and inviting vibe here. The food and the drinks are great too. The ambience is awesome and if the weather is nice with a light breeze, takes it up a notch. Limited parking, so take a taxi or public transportation here.",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,5,"I’m from Butuan and a big coffee lover. I arrived in Davao just past midnight and was craving coffee or matcha. Thankfully, Rooftop was just around the corner from the bus station. I really liked the vibe when I went upstairs—despite the late hour, the staff were still accommodating and even suggested some great food and drinks. I’d definitely come back the next time I’m in Davao!",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,4,"Surprised to see that this place is available for freelancers, BPO people and alike. Took a grab taxi from Blue Lotus Hotel and had a coffee. Nothing too fancy on the menu so if you're a foodie, there's nothing much to look forward to. Crew is friendly so you can always ask but as a newcomer and not much of a people-person, I would've appreciated the full use of their QR codes instead. Hope you enjoy!",Coffee
ROOFTOP Café Bar,7.0590246,125.5993144,1,"Place is nice but customer service is really not giving, almost 10 minutes of waiting for food no water served, coz walay available na water kung wala giduol sa among kauban. Hope you do upgrade your customer service. Really dissapointed a night supposed to be a celebration for us.",Coffee
