place_name,latitude,longitude,rating,review_text,Shop_Type
Seattle's Best Coffee,7.0571405,125.5811698,5,"This was my second visit here and it was a great experience. The service has been consistently impressive (whatever they're doing, it's definitely working) We stopped by on a Sunday evening and, despite the crowd, we were seated right away with no queue. From the cashier to the servers, they were all friendly and efficient. The food is excellent for the price and the ambiance is a huge plus. My only suggestion would be adding another restroom downstairs to better accommodate the busy hours. All in all, we had a lovely time and will definitely be back!",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,3,"Coffee is decent and the food is fine. This is my third visit, and the place tends to be less crowded after 10 AM. However, it's not the most conducive environment for working, particularly if you need to take quick calls/meeting. If you're looking for a place to get some work done (like even just for an hour), there are better options elsewhere. The Wi-Fi is also quite slow, topping out at around 2 Mbps.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,3,"felt invisible in front of the man in the counter i was patiently waiting to be acknowledged even as we are basically face to face. no greetings nothing. had to lean back near a chair to wait him finish fiddling about. finally had to call the girl next to him to ask if i can order. mind you, there's no queue and I'm the only one who's ordering at that time.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,5,"Sometimes, all you need is a quiet corner, a good cup of coffee, and a little break from the noise . Seattle's Best Coffee DGT gives that simple comfort , smooth and rich coffee, good food, relaxing ambiance, and friendly people that make every visit feel light and easy. A perfect spot for catching up, enjoying alone time, or simply slowing down for a while. #PitikNiLolie #SeattlesBestCoffee #CoffeeMoments #DGTCoffee #CoffeeBreakVibes",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,1,"Third visit. I really gave this chain a chance. I really wanted to like this branch. I mean, they have great parking, in a prime location and loads of seats available. But no. It seems like things just got worse. Arrived 8pm ish. Sunday. Lots of parking left. Great start. But as I enter, there is this wierd smell eminating. I dont understand what Im smelling. Its a wierd mixture of burnt coffee, cleaning chemicals and with a hing of something rotting. I dont know how to really describe it. The queue wasnt that long. We did order 10 drinks. So I expected it to be a little long to be served. However, this branch is already notorious for serving slowly. Dri ks arrive surprisingly quick. Good they got better. We got seats. Then tried the coffee again. I remember thier coffee to be too sweet in the past. Tried the Java chip. It was mid at best. Tried thier signature ""cookie"" drink. I like it. Not too sweet this time. Probably the best drink. But theres the problem. This signature drink isnt even that good. Comparing it to other coffees in the city, its really nothing special. Thier mocha and cappucino. Oh dear lord. Its has a really wierd after taste. I really dont understand it. This is nothing like the other Seatles Best that I know. It taste TOO burnt? Overly roasted? The strawberry shake and mango shake... it almost taste like those generic shakes you get for 49 pesos a cup. It tastes chemically and has no personallity. Recommendations. For Java Chip got to Starbucks or Green Coffee For Mocha go for local specialty coffee shops For cappuccino go for local specialty coffee shops For shakes go for Krispy Kreme Strawberry Shake Heck, this branch is just across Mcdonalds. Just get coffee there instead. Worth noting. If i bring my drink from Seattle to the mcdo across, no one bats an eye. If I bring fries from mcdo to Seattle, I was told there was 1k FINE. Lol. Anyway. Drinks not worth coming back for.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,4,"Food and drinks are okay. Pricing is okay. Place is a bit crowded when we get there, but we can still talk and hear each other. Staff are nice, clean and aesthethic interior, so as their cr.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,5,"The new coffee shop is a great place to visit! The atmosphere is cozy and welcoming, lots of tables and the service is excellent. The workers are fast, very polite, and accommodating, making the experience enjoyable. As for the food, I would rate it 4.5 out of 5 stars. It's good and at the same time they're very generous when it comes to serving size, but there's still room for improvement. Overall, I recommend this coffee shop for its great service and relaxing vibe.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,5,"It's a nice place to chill—very cozy! I was told it's part of a new complex called DGT (Davao Global Township currently under construction), which people are calling the 'BGC of the South.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,4,"Just like everybody else says in the reviews, yes, I've also experienced long queues on the counter when ordering our food. It took us almost an hour before we finally got to eat our brunch meal. This was around 10:30 A.M. (we got to eat at 11:30 A.M) where lots of people started to flock to the place. Service is good nonetheless. There are limited options for food to order but it's given that they prioritize breakfast meals and pastries here. The best thing though is the ambiance of the place and just the location itself. It's chill, quiet, and I highly recommend eating at tables outside especially at around mid-afternoon since it's already windy. The place is very accessible especially to people living around the Matina Area like me (around DGT). Can't wait to go back again!",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,1,"This is the second time I visited the shop on Saturday the 17th of May 2026 @ 1630 approximately. Nothing has changed. The area is spacious but the service needs improvement. The staff behind the counter were not smiling, unwelcoming and miserable. Some drinks were unavailable and was only made known when we reached the counter after a long queue. Please can you put a note beside the item on your overhead menu if it is not available so we can make other choice, avoid wasting time and be considerate to the people behind us who are also waiting long enough to be served.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,5,It was a really nice place to meet up. The food and coffee were great!,Coffee
Seattle's Best Coffee,7.0571405,125.5811698,5,"Seattle's Best Coffee in the Davao Global Township served a delicious truffle pasta. The kids were delighted with the cookies, and the Cheese puff was a great addition to the meal. Great staff even at the end of their shift.",Coffee
Seattle's Best Coffee,7.0571405,125.5811698,4,"Big serving for their skillets, good for 2. They have plenty of good brunch selections.",Coffee
