place_name,latitude,longitude,rating,review_text,Shop_Type
Thirty Third Café,7.0890595,125.6237403,5,"Been wanting to come here for quite some time. As a lactose-intolerant, I love not needing to ask if there’s a milk alternative - I can just order anything and my tummy will be safe! Plus oat milk just makes every drink better. Will add more photos as we come back here and again.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"This charming plant-based cafe is located in the heart of Davao City, offering a delightful array of coffee and non-coffee beverages. We had the pleasure of trying their Strawberry Milk, Chocolate Hazelnut, and Caramel Macchiato, all of which were absolutely delicious 😋. In addition to their delectable drinks, they have recently introduced a selection of rice meals that are an absolute must-try! The Sweet N' Sour Tofu, Sisig, and Vistek dishes were particularly outstanding. As a pleasant surprise, we received a complimentary slice of their delectable Chocolate cake, adding a touch of sweetness to our visit. Make sure to pay them a visit and show your support for these wonderful, locally-owned plant-based businesses in the city.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"1. Food and Drinks: Php 100-400 (See Menu) Desserts that are not on the menu list are available at the counter. They served complimentary snacks today! Must try the Tofu Gochujang rice bowl. Soy Coffee latte tastes like regular latte, couldnt taste the soy so plus points! 👌 Food serving: One rice bowl was enough to fill an average eater like me. 🙆 2. Accommodating and happy staffs. I love how they help each other out (with kindness). 3. Books! I love that you can read while you wait. Plus plus plus points! 😍 4. Service Water. Available at the counter, self-service.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Mushroom Aglio e Olio - just the right spice to enjoy the flavors. The bread is perfect to clean-up your plate, not wasting any of the pasta's deliciousness. Long Black (Iced) - 100% Arabica, No Sugar. Loved the bold coffee flavor with the subtle natural sweetness. If you want to subdue the boldness they provide a shot of liquid cream.",Coffee
Thirty Third Café,7.0890595,125.6237403,4,"i like the food and drinks, place is small but its fine.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"We love rice bowls such as sisig and sweet & sour tofu. Iced coffees are great!! We tried both iced cafe latte and iced matcha ichigo. They are incredibly amazing!! Definitely, a must try VEGAN CAFE!! I + K",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"I tried their sisig here and it was delicious. I also liked the matcha, the place is cute, clean and the staff are friendly.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Finally had the good fortune of dropping in one quiet mid-afternoon weekday…The Spicy Sisig Bowl was mild, amply portioned and delicious…The rice was soft too…The Cherry Vanilla cake was subtly sweet….The ultimate decision getting the Pink Piña Colada was truly pure glee….The delight is following the cashier’s instruction in getting the most out of the mocktaiil — stir using the straw and sip from the rim of the glass…..Without a doubt, deserving of a second visit….",Coffee
Thirty Third Café,7.0890595,125.6237403,3,"I've tasted a lot of caramel macchiatos, but this one is too sweet—I'm a bit disappointed. But still the service and ambiance is fantastic.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"I always find myself coming back to Thirty Third Café whenever I’m around — usually once or twice a month just to satisfy my cravings. The food is consistently good, the drinks never disappoints, and the atmosphere has that easy, unpretentious charm that makes you want to stay a little longer. The staff are warm and attentive, and it’s clear they put real care into everything they serve. Definitely one of my go-to cafés in the city.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,Love the Matcha. It’s only been a week but I already have the urge to come back everyday. I also love the vibes and the facilitirs. I can study here.,Coffee
Thirty Third Café,7.0890595,125.6237403,5,First plant-based cafe in Davao! A lot of good drinks to choose from. The staff are accommodating and the place is very chill & comfortable. Would definitely come back to try other products on their menu,Coffee
Thirty Third Café,7.0890595,125.6237403,5,"I'm not local,but I'm glad to eat the vegan foods! My friend not vegan,but she also likes the foods here. Salmat🥹",Coffee
Thirty Third Café,7.0890595,125.6237403,5,Such a new experience for me to try a plant-based meals. Will be back to try some of the dishes. Drinks are good as well 👍,Coffee
Thirty Third Café,7.0890595,125.6237403,4,Go get their Mango Matcha. The best way to enjoy Banana Hojicha is sip down to sip up.,Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Staff is very accommodating, kind and soft spoken. Delicious and healthy foods. Nice ambience also. Mubalik ko puhon. 💖",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Exceptional food and drinks here. Five star quality. Cute and clean vegan cafe. Chicken poppers were very tasty with a real chicken like texture too…If you are craving greasy and very oily junk food then try their Nashville fried chicken, which is fried and then dipped in olive oil. They have delicious pasta items too. Some of their Cakes the best in the world. Try to Go vegan for one week and you save lives! Do it now.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Love their matcha, it’s 100/10",Coffee
Thirty Third Café,7.0890595,125.6237403,5,There's so much coffee shops already in town but some really tastes different. This coffee shop will surely be part of the list.,Coffee
Thirty Third Café,7.0890595,125.6237403,5,The best Matcha Latte in town! They cater plant-based drinks & desserts which helps me on my dairy restriction due to skin condition and lactose intolerance. It’s all well-balanced and definitely suits my taste buds. The place is just greek style cozy and relaxing makes me want to visit it from time to time.,Coffee
Thirty Third Café,7.0890595,125.6237403,5,"I love this plant-based cafe. Whatever your reason that caused you to avoid dairy and eggs, I highly recommend this place. The owner is very nice. If you love strawberry milk, I recommend to try theirs at least once. I also love their selection of treats/desserts from their partner bakery.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"really good matcha and coffee <3. everything's plant-based which i like — no guilt, no heavy feeling! will keep coming back 🤍",Coffee
Thirty Third Café,7.0890595,125.6237403,3,"Edit: The drinks and the pastries/cakes (all plant based) are still as good but since they changed location, the place has become too noisy... It used to be a nice café where you could chill, read a book, enjoy your drink in a calm and relaxing atmosphere but not anymore. I don't know if it's because the customers base changed but it's just too noisy now (+ the loud music/bass). Now it's more like a cantina atmosphere where people seem to compete to see who talk the loudest without consideration for the others, definitely not a café atmosphere. I recommend the food but can't recommend the location anymore.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"A solid 5. Their drinks and pastries are good! Also, their customer service is very nice and friendly. I always go here with my mom (and sometimes with my sister) if we have lots of time to send! Must recommend going there. It's amazing and aesthetic.",Coffee
Thirty Third Café,7.0890595,125.6237403,4,"Good atmosphere. Vegetarian menu mostly, with 2 or 3 with meat. Price is so so. Around 4 or 5 tables only for dine in.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,Must try their Vanilla matcha!,Coffee
Thirty Third Café,7.0890595,125.6237403,5,Creative and varied menu. There's a lot to choose from. Tasty food and relaxed atmosphere. The crew are pleasant and cheerful. No hassle or long wait.,Coffee
Thirty Third Café,7.0890595,125.6237403,5,This nice place to get coffee and bring your friends,Coffee
Thirty Third Café,7.0890595,125.6237403,4,Luv the Himalayan cream coffee!,Coffee
Thirty Third Café,7.0890595,125.6237403,5,I super lovee their matcha ❤️❤️❤️,Coffee
Thirty Third Café,7.0890595,125.6237403,4,Recommend for vegans!,Coffee
Thirty Third Café,7.0890595,125.6237403,5,THE BEST PLANT-BASED CAFE IN METRO DAVAO!!!! 🌱,Coffee
Thirty Third Café,7.0890595,125.6237403,5,Our best go to place for chillin' :),Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Cozy place with healthy, guilt-free food",Coffee
Thirty Third Café,7.0890595,125.6237403,5,Highly recommended place,Coffee
Thirty Third Café,7.0890595,125.6237403,5,Nice place,Coffee
Thirty Third Café,7.0890595,125.6237403,1,"100% of the dishes are deep-fried so if you’re looking at a healthy option, you will not find it",Coffee
Thirty Third Café,7.0890595,125.6237403,5,"Perfect place to study or work❤️ They have stable Wi-Fi,outlets, and a quiet atmosphere. The coffee and food are great . Highly recommended for students and remote workers.”",Coffee
Thirty Third Café,7.0890595,125.6237403,5,My favorite and go-to coffee shop when I pass through Agdao. The coffee is delicious plus the owner and the staff are very friendly. I hope you have a branch here in the South area. :),Coffee
Thirty Third Café,7.0890595,125.6237403,5,"A nice cafe, pleasant to sit in for a coffee. The number of types of cakes is limited, as are the various milkshakes, most of which do not exist, but the coffee is good. The cappuccino I ordered was strong and with a fine aroma.",Coffee
Thirty Third Café,7.0890595,125.6237403,4,"On my first visit, my colleagues were very noisy.",Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,4,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,4,,Coffee
Thirty Third Café,7.0890595,125.6237403,4,,Coffee
Thirty Third Café,7.0890595,125.6237403,4,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,3,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,2,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,1,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
Thirty Third Café,7.0890595,125.6237403,5,,Coffee
