place_name,latitude,longitude,rating,review_text,Shop_Type
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,"Not to exaggerate but their Iced Spanish Latte is extremely good! Not too sweet. Just the right portion of coffee, perfectly blended with milk, and condensed milk. One of the best few ones in town. Good packaging. They have this paper cover before the plastic lid to avoid spills. Overall, they have good coffee and worthy of what you pay for. ☕️✨ Delivery: via Grab",Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,"This cutie lil' pop up store just opened and is good for quick ""pampagising,"" especially for students (all levels) and professionals alike. Had a chilled creamy drink of their ""Einspanner"" where I was energized with this bitter factor from the Espresso and sweetness of the cream on top. They also accept non-cash payments.",Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,affordable and quality coffee. tried their iced spanish latte!,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,"Recommended ang spanish latte, matcha latte, and creme drinks <3 no cap bro frfr",Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,4,Good stuff.,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,Not bad for a affordable coffee😊.,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,Worth the walk! 🫶 …,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,Love their coffee,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,"DELICIOUS! It's just a stall. Now it's a cute cafe, with air conditioning inside! Go green, no plastic. ♻️ ☕️",Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,Thank you very much.,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
Tomo Kopi - Emilio Jacinto Street,7.0728039,125.6126929,5,,Coffee
