place_name,latitude,longitude,rating,review_text,Shop_Type
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Such a great experience! This was my first time working in a co-working space. Since the internet connection in our area was unreliable, I searched for co-working spaces nearby. What I was really looking for was a place where I could take Zoom meetings without distractions—and it was perfect because they had private pods where I could have peace of mind and focus on my work. The package was also very affordable. The staff were very accommodating, and I really appreciated the little details: ✅ You can bring food inside ✅ Fast and stable internet ✅ Clean and secure environment I can recommend this establishment🫡",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"I have been here multiple times since reviewing for licensure exams and the service keeps getting better. Truly a lifesaver for students/professionals looking for a place in Davao City to study or work. One of the most accommodating staff (Krezel) encountered on the recent visit at the place. Thank you, Work Co for providing a good and comfortable co-working space! Will definitely always recommend to others - Krezel",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,place is cozy and cold internet is good and fast silent many clients good place to study parking area (first come first serve) until 8 am closing hours (meaning you can stay the whole night) nce nce may fridge pa sila if you want to buy softdrinks may cup noodles din sila for sale you can buy outside and bring them inside free coffee pakabusog ka free water good cr may common area with people or solo pod (alone) iz goooodddd,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Been here thrice already, and the place was quiet and cozy. Also, the internet is fast and the price per hour is just right. Perfect for students like me who wish to focus. What I love most about it is the free coffee. Hehe Also, the staff whom I believe her name's Krezel was very accommodating in helping me fix my problem on the internet connection, as i had a hard time connecting it to my device. Overall, had a good experience here, it's prolly my fave studyhub as of now.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,"The place is good, and the best time to visit is early in the morning. However, it would be better if they served proper food instead of only cup noodles, coffee, and other drinks.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"As a first-timer here, I am incredibly happy and satisfied with my stay. Everything was comfortable and went smoothly. I would specifically like to give Miss Divine a 5-star rating! Her exceptional hospitality and accommodating skills added so much to my overall experience. She is the kind of employee every company should have. Because of her, Study Co. is now my top recommendation for a study hub. Thank you!",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"A night before a holiday was unusually quiet with only two people inside. Favorably located near schools. A second floor with rooms for groups. Pantry, restroom, free coffee, sockets, individual nooks and fast internet speed. This is the fifth but most peaceful coworking space I have been to so far in spite of the highway noise. Hope it remains this way. Why haven't I been here sooner? Rates are lower too. Place was filling in by 9 p.m. Restroom knob should be changed though. Would the likelihood of holding your pee be way better than getting stuck inside? Let's not wait for that to happen.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"The study hub is very aesthetic i can literally focus on doing my tasks they also offer delicious coffees and one of the coolest things is that there is also a free coffee in the pantry area for those who needs a caffiene kick but on a tight budget. And shout out to Ms.Allyzah one of the coolest staff at the study hub. Not only is she fast and precise with her work, but she is also incredibly friendly and approachable. She makes the booking process so easy and never hesitates to answer my questions. Highly recommend her for her efficiency and her great attitude!",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,the open area is nice and clean. the table space was smaller than the study hubs i've visited before. i liked the free coffee from the pantry area,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"i rented a private pod good for 1 last week for my interview bound to Japan. I just passed the interview and thanks to you for the comfortable space. Also, thank you to Ms. Divine because she's very accommodating. It was my first time renting for a private space for such reason, thank you for the experience.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Work Co Study Hub in Matina was a really nice place to study—I stayed there for 4 hours and I was actually productive the whole time. The space is quiet, clean, and the internet is fast, so it's easy to focus and not get distracted. Divine from the staff was very kind and accommodating, which made me feel comfortable staying there for hours.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Area is nice and staffs are very accommodating. I've been doing my stuffs here for more than a year already. Krezel and other staffs (I don't know their names) are all nice. Performing their duties very well.,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"The place is comfortable and has a really nice environment. I usually come here to study every morning before going to school, and I really like the atmosphere. The staff is very accommodating especially Krezel",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"good space, affortable price and ambience. special thanks to divine for being accomodating",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Only place I can go with once I needed to focus with my studies. And also a good coordination with the person in charge (Krizel).,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Very accomodating staff. Allyzah was so kind, too! will come back for sure. :))",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Nice atmosphere very comfortable, cr is functional and very clean, they have free coffee -krezel",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Place is great for solo and grou study. Would definitely recommend - Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"It's a great place to study, and the staff (Krezel) is very accommodating.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,The personnel are accommodating and sensitive to the needs of the clients. Thumbs up for Krezel!,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"thank u poooo, very nice to study and accommodating rin ang assistance ni ate divinee, will go again hereee",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Great customer service. Thanks to Divine who is so accommodating and friendly. Will be back soon,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Overall Good Service. The staff name krezel is very friendly and accomodating,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Krezel is very accommodating. The place is perfect for VA's.,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"The staff are all good and accommodating, special mention to the staff named Krezel.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"the environment is nice— silent, comfortable, enough space. -krezel",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Place is clean, nice, and homy. Rezel, a staff was accommodating.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,"The internet connection is inconsistent. One moment I am connected, the next I am not. This irritates me a bit as it hunders my activities especially ones I do online. Other than this, it's okay.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Krezel is very accomodating! A new fave study hub!,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,The place was so nice. Staffs was so accomodate - Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Amazing work place, good service, and great for students. -Krezel",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Staff (Jessa) is accomodating and is open to concerns regarding with food/coffee.,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Peaceful and perfect for long study. Very helpful po si Ate Allyzah!!,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Friendly si ate divine and quiet and peaceful ang atmosphere,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,1,"I've been going to WorkCo Claveria as much as I can, but it was my first time going to this branch and I was rather disappointed. I was really looking forward to the Matina branch because I wanted to try the private pod so I can have my own space during a long meeting, but the internet connection was nothing short of terrible. They only had 1 internet line going, and as per the attached pic, it's not even that great. I kept disconnecting from my call and it's honestly such a downer considering people go to studyhubs for fast internet connectivity. I still hope to come back, but I hope the internet issue resolves itself.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Comfortable place to study and relax. -KREZEL,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Kudos to your staff named Jessa in Matina branch.,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Krezel-person in charge Good space!,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,"The staff, Miss Divine, is very accomodating.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,👌 …,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,perfrct for students and not crowded -krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,How to watch ⌚ even if you are interested I can do that you can do it 😉 what is going on with your own place in the car still have a lot to do it is a good time for you guys to the end of the day with you and I can understand the car is in my office is a little too much else going on with the car 🚨 even if you have the time you,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,Nice room experience and accommodating.,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Krezel was so accommodating ❤️🫶 …,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Strong aircon, reasonable rates 🥰",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Nice and accommodating -Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,NICE! -KREZEL,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Nice place to focus,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Very accommodating - Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Good Experience -Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Clean and Cozy -Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Good service - krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Krezel. Nice place,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Cool Jessa is cool,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Super comfy!!,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Alyssa,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,One of the best areas to study,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,The place was very affordable and peaceful and I like the fact that each wall table has a boarder and it's own light. :3,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Very nice and just chill. Not too cold. I was freezing at other study hubs and had to leave ASAP. Finally, the wifi is working again. Hoping it will be 24 hours soon hehe. Big thanks to Ms. Krizel!",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Recommended place to study! The staff is super accommodating, especially Krezel—he's very hands-on and quick to answer questions.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,Goods Kai naii duol.. their staff krezel is ok too 😁.. wish they were open 24/7.. hehehe..,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Goods. It's good to study because it's quiet. Then the internet is strong. And it's good that you can bring your own foods. - krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"It's very nice because the place is quiet, then their per hour and coffees are also affordable. - Krezel",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,"Their staff is friendly and the environment is okay, so the 4 hours are worth it for a student like me.",Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Sister Divine is so kind and welcoming! 10/10,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,-Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,KRESEL,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,Krezel,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,5,,Coffee
WORK CO COWORKING MATINA BRANCH,7.0631822,125.5942339,4,,Coffee
