place_name,latitude,longitude,rating,review_text,Shop_Type
ZeusX Esports and Cafe,7.0732202,125.6125744,3,"The brew is absolutely delicious, but the agonizingly slow service makes it hard to justify the visit unless you have zero plans for the day. If you are hoping to swing by for a quick morning caffeine fix on your way to work, this is definitely not the place.That being said, once the coffee finally arrived, it was genuinely excellent. The beans are clearly high-quality, the roast is smooth and perfectly balanced, and the barista dialed in the flavor notes beautifully. The product itself is easily five-star quality.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,"SO LAG!! If you are a Valorant player! Best of luck because the connection here keeps cutting off. I got 20+ packet loss from my 9pm to 3am games. Switched to multiple PCs but it's still the same. I played here multiple days and the problem still exists. Also, All of their PCs have 16gb ram which is very low for how much their rate costs. You cannot play a game and have anything opened in the background cause it will automatically close the game. Imagine in-game and it closes suddenly cause of low memory error. I tried switching to dota2 hoping I could enjoy my time but still the same problem. Their PCs need to be upgraded to 32gb ram, seriously, for how much they charge you for an hour and you cant even enjoy your game.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,2,"This was a decent net cafe a year ago now it feels like its no longer being taken care of. The PCs have good spec but horrible storage, it feels like they're using a 10 year old hard disk on an rtx capable machine, some pcs have barely clickable mice, some have keyboards with missing keys, some have broken chairs and headset. Its not worth for its price anymore unless these issues are fixed.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,Adding this review since this is our fave spot to study/game! Their coffee is really good and the place doesn’t get too noisy unlike other cafes. 💙💛 …,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,"I’ve been to ZeusX Esports and Cafe a few times already, and overall, I can say the place is decent for gaming and hanging out. I’ve visited three times before and had no major issues, which is why I kept coming back. However, during one visit, I dropped by quickly because I urgently needed to use the restroom. After using the bathroom, I was approached by a female staff member who questioned me—quite rudely—if I had placed an order or was using a PC at that time. I politely told her no, I just badly needed to pee, and ZeusX was the only nearby place where I could do so. I understand policies are in place, but there’s always a better way to approach people—especially in situations like that. Her tone felt unwelcoming and a bit disrespectful. It was happened last July 2,2025 Wednesday between 11:00PM- 12:00AM . You can check your CCTV . On the other hand, I appreciate the male staff who was there at the time—his approach was much more respectful and understanding. Customer service matters a lot, especially when it comes to how staff handle unexpected situations. I hope management can work on improving consistency in how guests are treated. A little courtesy goes a long way.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,"Became a usual here, the PCs are way better than what I have on my place. The keyboards were replaced, they use Red Dragon Kumaras now compared to the cooler master keebs they have before. But they work much better now, and I’ve heard they prefer the Kumaras more due to it’s hotswappable design. You can also use your own peripherals if you fancy. I just bring my model o because the GM20s they have are heavy You cannot bring outside food or drink sadly so you will resort on buying from their cafe or from the pc-cafe fridge. Food-wise, I haven’t tried anything aside from their pancit canton, a bit pricey for 2 packs of instant noodles. The coffee is nothing special which is sad since it’s also on the pricey side.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,"if you want a cafe that is open for 24hrs, I definitely recommend this place. If you're a person that likes aesthetic vibes, I definitely recommend this place. Will come again here.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,2,"The service is good and the shop is clean and organized. Also, some computers are laggy and the internet connection is really bad. It keeps cutting off, and I had to restart my PC many times. A lot of players were annoyed. Some monitors also have lines on the screen. I hope you can fix and improve the computers and connection.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,"The price is not worth it, high end pc that constantly clashes as soon as you play with chrome in the background and inconsistent lag depends on the station that you play, overall bad experience",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,OVERPRICED COFFEE! They charge 10 pesos for a cup and you cant drink without a cup. Coke in can is 75! They wont let you bring food at the PC shop either! never coming back again. worst service ever,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,3,"The keyboard is not working well. First station Number 2 on keyboard is not working so I need to transfer to other station. And then, the TAB isn't working as well. The chair isn't comfortable for me and then it's kinda hot. But kudos to the place it's clean and the comfort room as well is super clean 👍",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,"Not for gamers. They skimped bad on their PC builds where they are most important. They've got disk drives from the 90s. It takes over 10 mins to boot up your PC. If your PC crashes, good luck getting back into your game.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,"I enjoy the new computer system that the DFE store delivered. as an audiophile and casual gamer, the customers aren't toxic; they are just compassionate. The mouse and keyboards are superb. The Cooler Master CH331 headset is the sole disadvantage; it's designed exclusively for gaming; when I listen to music, it merely sounds acceptable, and the artists' or singers' voices are less clear and bassy. I hope they employ Steelseries Sona or any kinds of soundboards so that customers may enjoy hearing vocal clarity, strong bass, and good sound effects of footsteps.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,I haven't tried the food yet as we came here to try out the PC units. The service was wonderful as it gets. My companion had issues logging in and using the unit but they refunded the time lost due to the issue. Units were pretty good!,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,I love the food! A bit expensive buuuut it's delicious. I swear. I love their coffee too! My favorites are Kronos (Affogato) and spanish latte! 10/10 service.,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,"The worst, waste of time. Everythings deteriorated",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,2,The cafe is well lit and comfy but the food and drinks are overpriced and the taste are not that good. The only good thing about this place is the comp shop.,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,THE RESTAURANT IS NOT OPEN 24 HOURS. My cut off 3am sabi ng waiter.,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,Big W ZeusX and Converge,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,Nice area.. Strict in bringing other food productd,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,75 for pancit canton 1 pack,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,VERY GOOD ALL IN ALL,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,"Crowded most of the time, wifi is generally good, food and beverages are well made and reasonably priced. Salted caramel cheesecake is my go-to.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,"The atmosphere is super good, their food is nice, the attendants are clean and fragrant, and their gaming chairs are very comfortable, no back pain.",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,"I had a very nice experience in this cafe, they are super nice and very welcoming and for 35 pesos only you will have a very good experience in gaming, the specs are nice and high fps and it's also cold not sour and very comfortable, I rate this cafe 10/10, I will definitely come back to it hehe ^_^",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,"Small serving. It's like 10 meals. The worst is, I got hurt because of your table. Please inspect your things if it's okay to use. Your table is dirty because there are no rags, it's all dirty 🤮🤮",Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,THE DEVIL IS SO GOOD,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,1,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,4,,Coffee
ZeusX Esports and Cafe,7.0732202,125.6125744,5,,Coffee
