place_name,latitude,longitude,rating,review_text,Shop_Type
Zooz Wooz Cafe,7.1301174,125.6406912,4,"Good place to eat while waiting for someone at the airport. They have meals, sandwiches and coffee. It's near the parking lot so it's easy to spot. They have a non-airconditioned and airconditioned space.",Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,4,"Update Nov '25: Very good again, I think the best place to wait and have something to eat at the Davao Airport. Beef soup was hot and good, chillies very hot. Beef burger steak good, and also the fish finger are tasty. We will be back. Update Jan '24: not available, not available, not available... Zoom wooz comes down to ""standard philippino quality"". Still good for waiting time, but no reason to come here for dinner etc. Wow! A real restaurant you like to visit at the airport of Davao... What's coming next? The zOoz wooz is also good enough to visit even w/o a flight... But you need to pay the parking fee",Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,Excellent Food and Service. Very Convenient location while waiting for your flight schedule.,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,1,Never try this cafe a very rude and non hygienic cafe at all. Unfortunately the Cashier server didnt even know how to comb her hair and very unpleasant attitude. This happen just this morning of 06.11.24 we travel bit far and have an early flight so we haven't got our breakfast yet. Was thinking having breakfast in the airport sad to say . When i approached she said theyre doing an inventory and it will takes 30 more minutes. I was politely ask if the breakfast will be available and she said wait were on inventory .as respect we were patiently waiting after waiting alas theyre done and i approached with a smile asking for breakfast menu and the Cashier just said we only have what we display siopao and water on display. I was asking no breakfast and she said uhhh ur looking for rice and i was shocked question from a filipino asking about filipino breakfast for sure were looking for rice. And she dont even apologies wheb i said i ask u and u werent clear and u let us wait.its ridiculous to be honest . To the management train yiur staff to be more respectable to customers . No need to be rude and never ever understemate customer at all you dont know who you will deal with and also dont put moody staff in the morning that looks like carrying the whole world problem face like an airport runway sad and moody. Bring someone gloomy and morning person.,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,3,the coffee not the same taste always,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,4,I'm having a meal with Ella.,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,4,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,4,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,4,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,3,,Coffee
Zooz Wooz Cafe,7.1301174,125.6406912,5,,Coffee
