place_name,latitude,longitude,rating,review_text
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,3,"joined their f1 watch party and it was fine. the place was neat. food is decent and size is good for 2-3 person, drinks were just okay."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"The food is great. The drinks is a new experience. Recommend for me is the BerriLatteCha a combination of Strawberry, Milk and Macha. The atmosphere is also great soothing and peaceful away from roadside where you can hear cars and motors."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,3,"The café has a beautiful and aesthetic ambiance, especially the outdoor seating, which is spacious and relaxing. However, the indoor area is quite limited, so I wouldn’t recommend it for large groups of friends or families. As for the food, we ordered the Buffalo Chicken Pizza. We were expecting a traditional pizza with pizza dough, but it was made using a shawarma wrap instead, which made it very thin. While the flavor was good, it was a bit too salty for my taste. The serving time was also quite slow, and we had to wait longer than expected for our order. Overall, the café has a nice atmosphere and potential, but I hope they improve their food consistency and service speed to provide a better dining experience."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"Checked out this place a few weeks ago, it had a nice vibe, and I ordered one of their soft drinks, so I went back recently and ate probably the best burger (chicken cane) in the Philippines! The internet is good, the restrooms are spotless, the customer service is nice as well."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,4,"Tucked within the quiet streets of Juna Subdivision, HWYL Cafe is a hidden gem that blends charm and chill vibes. We asked why they are named as such and apparently, ""HWYL"" is a Welsh word for enthusiasm. It offers both indoor and outdoor seating, perfect whether you’re in the mood to unwind with coffee or enjoy a relaxed catch-up with friends al fresco. Their specialty are the carbonated drinks made from carbonated water. Service is quick, the staff are warm and friendly, and prices are very reasonable. It’s also pet-friendly, which makes it an even bigger plus for fur parents looking for a cozy spot to hang out."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"Had a great time with friends in this cafe! Loved the food and drinks!"
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"Best place for me time and family time. Inhale positive energy on this place."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"A hidden gem along the busiest place in Davao. With good food, service, and ambiance. Connectivity quality is good for freelancers. This place is a must visit."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"Very good"
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"Pretty place ✨ i really enjoyed what i ordered (matcha bloom and korean chicken burger) the chicken burger is actually pretty heavy and i really like the buns that they used, its nt the typical airy kind of bun, medjo heavy and buttery sya which made it taste so much better."
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,"Went here last week, nice & peaceful cafe, & close to DGT. Must try some peachspresso and the truffle pasta. 🫶 Plus points for being non-pork. 🙌"
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,2,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,5,""
"HWYL COMMUNITY CAFÉ",7.0589493,125.5817967,2,""
