place_name,latitude,longitude,rating,review_text
"HYGGE COFFEE 2",7.072228,125.6140873,1,"This was our first visit, and unfortunately it did not meet expectations. We ordered the Chicken Chardana meal after being informed that it was a two-piece chicken serving; however, what was provided was chopped chicken meat instead. This inconsistency was misleading and unacceptable. Additionally, the rice portion was excessively large and poorly balanced in relation to the rest of the meal. The service time was also unreasonable, as our order took more than 30 minutes to be served. We also tried the Campfire Mocha, which is advertised as their best seller. The drink was disappointing, as it lacked any noticeable coffee flavor and tasted more like diluted cocoa. It was served in a plain plastic cup without any branding, which gave an unprofessional and low-quality impression. Overall, this café does not live up to the hype it receives online. I would not recommend this establishment, as the food and drinks do not justify the positive attention it gets from influencers."
"HYGGE COFFEE 2",7.072228,125.6140873,5,"It's our second time here @HyggeCoffee2 it was a great experience, the staff is very accommodating the food serves well and very delicious. It's the best place to enjoy, relax and bonding with your friends and love ones. #Hygge-it all🫣"
"HYGGE COFFEE 2",7.072228,125.6140873,5,"I was finally able to give Hygge a try today on a Thursday morning around 9. Two occupied tables but still plenty of available tables and more seating available on the patio. The place was clean and I was greeted upon entering. There are some good and unique items on the menu so I ordered the iced Sweet Potato latte and a slice of the Caramel Sea Salt Cheesecake. I wasn’t sure what to expect with the sweet potato latte, but it was very good with very subtle taste of sweet potato and just the right amount of cream. The cheese cake was light and also very good with the caramel and sea salt not over powering, but subtly infused in the cheese cake. Overall a very good experience for me. Free WiFi for two hours."
"HYGGE COFFEE 2",7.072228,125.6140873,3,"- The interior looks nice, but the place was quite crowded with students when we visited, making it noisy even though it was already late at night. - There were only two staff members at the counter, and one of them was handling both hot and iced drinks, so our orders took a while—understandable since the café was nearly full. - Unfortunately, the cashier missed one of our orders, even after repeating it back to us. - The choco butternut cake was dry and bland, as if it had been sitting out for over a week. - I did enjoy the chicken burger/sandwich—probably the highlight of our visit. - The drinks were just average."
"HYGGE COFFEE 2",7.072228,125.6140873,5,"Very accessible and good location area. Good portion of serving. The atmosphere is conducive to both professional and students. Staff has pleasing personality and good idea to have a buzzer for the order. Good luck always to this cafe business and hopefully this can be maintained to ensure a good progress. 😀👍"
"HYGGE COFFEE 2",7.072228,125.6140873,5,"Lamiay kaau ilang foods, fave nku ilng seasalt caramel nga coffee and there garlic pepper beef is a must try when visiting Hygge Coffee. Thank you for the good service."
"HYGGE COFFEE 2",7.072228,125.6140873,4,"Place: This cafe has a lot of space/table since it has an extension inside. I went on a busy Sunday and there is always a table available. Nice atmosphere wise, you could definitely do what you wanted to do as the ambience is okay. Drinks/Food: Coffee and other non-coffee based beverages are actually good. Also very affordable compared to nearby coffee places. I didn't get to try their rice meals but the donut and sliced cakes are good as well. Service: Very good customer service, and I was actually shocked that they accept cards and other modes of payment. Overall, if you want to have some coffee, chill/study/work, this is a comfortable place to go."
"HYGGE COFFEE 2",7.072228,125.6140873,1,"We usually eat dinner here with my classmates after our 9 PM class since Hygge is open 24 hours. There are five of us, and we all ordered the same meal, soy garlic chicken. One of us noticed that the chicken was still raw inside, so we checked the rest of our orders since we all had the same order, and unfortunately, all of them were undercooked as well. We informed the staff politely and they told us they would fix it within 5 minutes. However, after following up multiple times, 5 minutes turned into 10, then eventually 20 minutes. One staff member even seemed irritated and said “para di na hilaw, ma’am.” When the replacement finally arrived, the chicken was extremely OVERCOOKED, so BURN and BLACKENED that it honestly looked more like beef than chicken. It was really disappointing, especially since we frequently dine here. We understand mistakes can happen, but better food quality and customer service would definitely improve the experience."
"HYGGE COFFEE 2",7.072228,125.6140873,1,"Staff lacks focus, we ordered something else they gave two different orders. Blamed us for the wrong order said that we ordered something else. Did not even say sorry. Took them 45 minutes to heat up cookies that they forgot as well. Guy had to come out and ask us again."
"HYGGE COFFEE 2",7.072228,125.6140873,5,"4th time dining in this cafe, Glad I listened to my friend Arniel's recommendation—this café didn’t disappoint."
