place_name,latitude,longitude,rating,review_text
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Recommended by a good friend, she told us the humble story of this coffee shop and how the owner started his business during the pandemic as a street barista. Ordered KAPE DE LECHE (and loved it!) Must try: Honey Lemon Mindanao coffee beans is a must try!! ☕️ There are no dining area so you can only order by take out. They accept cash and GCASH payments."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Got a great chance to enjoy an amazing cup of coffee made from unique beans by a legend who was one of the pioneers that brought specialty cafes to Davao!☕"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"A great little coffee shop to grab a coffee and go. It was hot out and I wanted something cold so I ordered the Kape Citrucy. I couldn’t wait to walk home so I could relax snd enjoy it. It was full bodied and refreshing with subtle hints of citrus. Prices were reasonable and the barista was friendly. Give them a try if you are in the area,"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"It’s like a hole in a wall friendly neighboorhood coffeeshop. Tip: order off the menu blend. I got tiramisu blend. Sadly, they’re out of stock for drip to go coffee. Bartender will help you choose also if you’re at loss what to order. You can park infront of the building. There’s only one table here."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Kape De Leche (less sugar) is a must try. Di naman masyadong halata na nagustuhan ko ang drink nato, I ordered a bigger size lang naman day after I first tasted their coffee. For those commuting just like me, you may ride a Jeepney with a signage Route 8 going to this place. 😁"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Great coffee. The best black coffee so far."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"My only question here is, who the H gives small rating!? Im a coffee lover here and tries different shops and this is the shop where me and my wife will definitely buy if we pass by. By coffee taste, they are close to perfection ! Best local coffee for both of us."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,3,"Coffee is great but why is my coffee almost all ice? Is this really worth how much I paid"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Great place to hangout! Coffee is superb!"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"A hole in the wall coffee place with excellent and affordable coffee. They also sell coffee beans too!"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,1,"Ordered the Cafe Latte - Terrible Tastes like soap"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Delectable coffees and friendly service. They cater to your specific needs and recommend some good stuff to pair or add with your drinks. Their prices are very friendly too!"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,1,"Just didn't like it. The coffee was too sweet for my liking."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"one of the best local coffee shops here in Davao. affordable and quality coffee."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"Bring your Coffee Experience to another level"
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"The price for their coffee is somewhat student-friendly and definitely worth the purchase. Their coffee shop is only for take-out orders, but I recommend buying their Dulce de Leche."
"Kapeweñoz V. Mapa",7.0794658,125.6054259,5,"One of the best and most recommended coffees in Davao City. Must try and recommended, Kape de Leche. No area for dining in, but you could visit their store in Project587, Juna Subd for dining tables. They also have off-menus. Overall, their coffee is affordable and tastes great."
