place_name,latitude,longitude,rating,review_text,Shop_Type
Binnamon Cafe,7.071593,125.5909566,5,"Honestly, nothing on the menu misses. The food is great, the pastries are so good, and the hojicha latte is a 💯💯💯 Not to mention, the cozy ambiance 👌🏼 …",Matcha
Binnamon Cafe,7.071593,125.5909566,5,Best matcha in town 💯 Love their wings and pastries as well! …,Matcha
Binnamon Cafe,7.071593,125.5909566,3,"Ordered a croissant & hojicha. Their hojicha is great, one of the best tasting in Davao. So worth the price. …",Matcha
Binnamon Cafe,7.071593,125.5909566,5,Matcha was great just hope there are more tables available.,Matcha
Binnamon Cafe,7.071593,125.5909566,5,My favorite cafe! ❤️🫶🏻🍃 …,Matcha
Binnamon Cafe,7.071593,125.5909566,5,"If you’re in Davao and looking for a cozy café to try, Binnamon is definitely one of my go-to spots. ☕✨ …",Matcha
Binnamon Cafe,7.071593,125.5909566,5,5/5!! Great pastries with lots of options to choose from. Everything was made fresh. Their hojicha latte is a must-try! +pogi points to Dr. Tan🤩 …,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Best Matcha in town 💯💯💯💯 …,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Spanish and Hojicha 👌🏻👌🏻👌🏻👌🏻👌🏻 …,Matcha
Binnamon Cafe,7.071593,125.5909566,4,They put to much ice in their coffee. A 180 up to 200+ drinks at 12/16 oz /should not have too much ice. But the pastries and coffee taste good. I hope they should be considerate when putting ice cause the drinks size is small,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Best matcha in town 💯 Love their wings and pastries as well!,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Matcha was great just hope there are more tables available.,Matcha
Binnamon Cafe,7.071593,125.5909566,5,My favorite cafe! ❤️🫶🏻🍃,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Best Matcha in town 💯💯💯💯,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Spanish and Hojicha 👌🏻👌🏻👌🏻👌🏻👌🏻,Matcha
Binnamon Cafe,7.071593,125.5909566,5,Matcha the best!💚 …,Matcha
Binnamon Cafe,7.071593,125.5909566,5,1000000/10 for Matcha and Aglio Olio,Matcha
Binnamon Cafe,7.071593,125.5909566,5,,Matcha
