place_name,latitude,longitude,rating,review_text
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"Very good Korean eggs. Great sweet and sour chicken. The avocado shake had no sugar, very healthy! And the coffee was ok."
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,1,"I rarely leave reviews, but after being a loyal customer for years, today changed my perspective. …"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"Daleachious cafe nailed it with my order! 🤩 I got the Chicken ala King and Stir Fried Pork, and both dishes were absolute perfection. The presentation was stunning - the colors, the plating, everything was on point! 🍴 …"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,4,"Hi, its just me. Not a foodie just a blue-collar expat. So we were in the area for a license and looked for some place to eat. We didn't want the mall so we went here practically across the street from SM Eccoland. We went in and its fairly …"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"It can be hard to find places that serve good quality food at a reasonable price here in the Philippines, especially in cities but every once in a while you stumble across a hidden gem like Daleachious! We loved everything about it. The …"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"Nothing fancy of elegant about this place, but the coffee and food are top notch. The floor is exposed concrete, the walls are exposed concrete and the benches are concrete with pillows to sit in. Went here on a Saturday morning about 11:30 …"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"Food is great ang the place is cozy, quite and I love to bring my work here soon."
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,4,"Very convenient place to get to across from SM. Good parking space sizes. Inside has a good vibe. We had breakfast.. which was... Have to say delicious will everything cooked just right. Not 5 stars review because there is no sink or toilet in the place itself they are in the block outside.. overall still very good"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"I came to this coffee shop after the earthquake. The staff were friendly. The place was good though small. I loved the Tuna Penne I ordered. It was tasty and creamy just the way I like it. The serving portion was just enough as well. Please keep it up!"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,5,"Nice small coffee shop with limited but nice menu. Their jazzy background music makes you mellow down and enjoy the ambiance. They also provide free wifi. In addition, they have a private VIP ROOM where you can hold seminars company …"
"Daleachious Cafe - Ecoland Branch",7.0573666,125.56099,2,"The staff are some young kids that are slow and they joke between them all the time. The burger was completely cold, the coffee was good. Did not like it."
