place_name,latitude,longitude,rating,review_text
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"The place has a similar vibe with a diner and it is cool in the area. There are available sockets for charging. Coffee is great..they have a good selection of meals. Parking is also convenient."
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Had a really great experience at this cafe. The food was surprisingly good for its reasonable price. I highly recommend meatballs spaghetti. Serving portion was generous and the taste was superb. Their drinks were also worth trying, …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Good coffee and pastry selection. Cozy ambiance with friendly staff. Serving time was relatively fast, too. Some meals can still be improved, but be warned of their Huuuuge servings. Lol …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Everything is perfect. No complaints at all. The food tastes as great as it looks. The plating is pleasing to the eyes. The …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"definitely made us 'happy'! got the matcha and ube lattes ( not too sweet, tita-approved!) chicken & waffles was big, juicy, crisp. quiet spot, lots of room. staff were kind. cute cup labels!"
"Happy Valley Cafe Davao",7.0573666,125.56099,4,"Behind one of the main highways and under an apartelle, this cafe has enough parking at the front. It gets crowded in the afternoons so the first visit was a takeout of the Migrant’s and Strawberry Matcha which were both tasteful. When I …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"I don’t have any photos of the food, but it was great especially the Fat Boy Burger is the best! The coffee was great also. The only downside is their opening hours; you have to check their page regularly to stay updated."
"Happy Valley Cafe Davao",7.0573666,125.56099,4,"Lots of pour over choices. Good place to hang out. Clean and quiet. Big serving of chicken and waffles."
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"We tried their smores latte, gochujang sandwich, and strawberry matcha - all we're good. Definitely going back"
"Happy Valley Cafe Davao",7.0573666,125.56099,4,"The barista/staff were very welcoming. Their food servings are huge, ""sulit"" for the price, and tasted good!"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Foods are average to above average. Kinda self service, you get your ordered food & beverages from the counter after paying. Sometimes staff will deliver the food to your table. Not a big deal for me but can be for other people with …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Although this coffee shop is out of my way, the barista made me feel right at home! If you're interested in having a unique learning experience with coffee, you have to try the migrant coffee or the dirty coffee—my personal favorite in all of Davao! I highly recommend visiting this place!"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Had my dose of Iced Spanish Latte at Happy Valley Cafe. Imma be back for more!"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Stopped for a coffee with a friend and we were impressed at the added brewed coffee bar and new foods menu! The baked goods were freshly made and the staff always friendly and the coffee was delicious as always!"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"I actually like their food, lami ang matcha kay mafeel nako ang matcha. Pasta's also good, al dente sya and tama ra iyang pagka al dente for me, di parehas sakong natry dati na it was too stiff haha …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Their matcha is also pretty great! I havent yet to try their food but Ive been wanting to. Heard the gojuchang chicken is good"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Nice ambience. Good food"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Ambiance is what I love. It's good for some chit chat with a friend."
"Happy Valley Cafe Davao",7.0573666,125.56099,4,"Hoping they serve rice meals soon."
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Very cozy and the focus is not just on aesthetics, the food and drinks are also legit delicious 💯 …"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"Nice ambience. Good food"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,"The food & coffee are super delicious! Even the owner is awesome!!"
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,4,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,5,""
"Happy Valley Cafe Davao",7.0573666,125.56099,4,""
