place_name,latitude,longitude,rating,review_text,Shop_Type
Kohi Mame,7.0573666,125.56099,4,Bumped into this cute Japanese-themed café in the south! They have the cutest interior — I love how cozy and aesthetically clean the space is. They even have a resident cat! We ordered the oat matcha (7/10 for me) and the mocha brew (6/10). We also enjoyed their fish pancake!,Matcha
Kohi Mame,7.0573666,125.56099,5,The coffee has greater character. Ordered the caramel latte and had almond milk option.,Matcha
Kohi Mame,7.0573666,125.56099,2,"A little bit overpriced, you're paying for the atmosphere and vibe,the coffee is okay,but not worth the money, my suggestion is to find other options",Matcha
Kohi Mame,7.0573666,125.56099,5,Cutsey :),Matcha
Kohi Mame,7.0573666,125.56099,5,Coffee has a grrat distinct taste. Thry also had Japanese snacks,Matcha
Kohi Mame,7.0573666,125.56099,3,I suggest you move the counter near the kitchen cos the server had to walk far just to prep things,Matcha
Kohi Mame,7.0573666,125.56099,5,Jen is so kind and pretty 💕 delicious 10/10 …,Matcha
Kohi Mame,7.0573666,125.56099,5,,Matcha
Kohi Mame,7.0573666,125.56099,4,,Matcha
Kohi Mame,7.0573666,125.56099,5,,Matcha
Kohi Mame,7.0573666,125.56099,5,Cutsey :),Matcha
Kohi Mame,7.0573666,125.56099,5,Jen is so kind and pretty 💕 delicious 10/10,Matcha
Kohi Mame,7.0573666,125.56099,5,,Matcha
Kohi Mame,7.0573666,125.56099,4,,Matcha
Kohi Mame,7.0573666,125.56099,5,,Matcha
Kohi Mame,7.0573666,125.56099,4,,Matcha
Kohi Mame,7.0573666,125.56099,4,,Matcha
Kohi Mame,7.0573666,125.56099,5,,Matcha
Kohi Mame,7.0573666,125.56099,5,,Matcha
Kohi Mame,7.0573666,125.56099,4,,Matcha
Kohi Mame,7.0573666,125.56099,4,,Matcha
