place_name,latitude,longitude,rating,review_text,Shop_Type
Out of Boredom,7.0881264,125.5943935,4,"Out of Boredom is located on the second floor. It’s a small but charming spot that’s great for grab-and-go drinks. We tried the Level 2 Matcha and the Himalayan Matcha. The Level 2 was a bit mild for my taste, so I think Level 3 might have …",Matcha
Out of Boredom,7.0881264,125.5943935,4,"A great place to get your matcha fix. We got their level 2 OOB blend matcha and we really liked it! It was smooth, creamy, earthy, and a perfect balance for me. I would definitely come back to try their specialty menus. The place is just …",Matcha
Out of Boredom,7.0881264,125.5943935,5,"I am from Cebu and have been drinking a lot of Matcha from different cafés. I must say Out of Boredom’s Matcha exceeded my expectations. The matcha has a smooth, consistent texture with a well-balanced umami flavor and a rich, authentic …",Matcha
Out of Boredom,7.0881264,125.5943935,5,"ive only gone here twice but this is already my top 1 cafe for matcha 🥹 drinks are superb, staff are friendly, and well-maintained ug kumpleto ang cr (HAHA major plus) …",Matcha
Out of Boredom,7.0881264,125.5943935,5,"Out of Boredom Cafe in Bajada, Davao City is such a hidden gem 🤍 Their matcha drinks are incredibly smooth, …",Matcha
Out of Boredom,7.0881264,125.5943935,4,"The space is quite small — probably just enough to seat around 10 people inside — so it’s not the best pick for big groups. I tried their drinks and they were okay. The matcha was a little too sweet for my taste, and the Spanish latte …",Matcha
Out of Boredom,7.0881264,125.5943935,4,"The matcha here is really good! It’s on the pricier side, but definitely worth it for the taste. I like that they offer different levels of flavor to choose from. The space is quite small though, and since all the seats were taken, we didn’t get to hang out there.",Matcha
Out of Boredom,7.0881264,125.5943935,5,"Extremely underrated cafe near the main road. Relatively new so the location is not yet available on Instagram. The barista is friendly, the cappuccino was good. AND they don't charge you extra for oat milk which is a huge plus for a lactose intolerant person like me. Loved it.",Matcha
Out of Boredom,7.0881264,125.5943935,5,Super cute and cozy place! 1st time to order matcha and definitely love it!!! Limited space but we don't mind. Ordered matcha: Black sesame(recommend) and Himalayan. Prices: 250 each,Matcha
Out of Boredom,7.0881264,125.5943935,5,It had been a while since my last but I remembered enjoying my matcha latte a lot. …,Matcha
Out of Boredom,7.0881264,125.5943935,4,Small cafe with only 6 small tables but their drinks are flavorful. We ordered their black sesame latte and hojicha matcha and THERE IS NO ADDITIONAL FEE FOR CHANGING TO OAT MILK. I've been to this cafe twice and i thino I'll back here often for my caffeine fix.,Matcha
Out of Boredom,7.0881264,125.5943935,2,The matcha is good but quite pricey but i understand. The place is quite small for my liking and also the place is ment for socials not for working and collaborating. …,Matcha
Out of Boredom,7.0881264,125.5943935,5,"imo, they might have the best mocha in davao. they definitely have good coffee beans! production may take some time and their place is quite small (they're expanding soon)",Matcha
Out of Boredom,7.0881264,125.5943935,4,Inconspicuously on the second floor of the building that fronts BOXED UP. Such a cute place and I mean that literally. Did an easy grab and I was on a high with the Black Sesame (Matcha). The Houjicha was surprisingly good and uncommon …,Matcha
Out of Boredom,7.0881264,125.5943935,5,Charming matcha place in the downtown area. Famous for their matcha drinks and it did not disappoint. We will be back to try more!! 🤩 …,Matcha
Out of Boredom,7.0881264,125.5943935,5,Game-changer! This coffee's got depth and complexity. Addictive to it and for sure I will try their other blend asap!,Matcha
Out of Boredom,7.0881264,125.5943935,5,BEST STRAWBERRY MATCHA IN DAVAO CITY! No wonder why people won't stop raving about this place 👏🏻 …,Matcha
Out of Boredom,7.0881264,125.5943935,5,"Must try: Black Sesame Matcha Latte Seating is limited especially during peak hours but don't hesitate taking your drinks to go, super worth it!!!",Matcha
Out of Boredom,7.0881264,125.5943935,5,This shop is small and I think they will need a bigger shop as many people go here and try one of the best matcha around davao.,Matcha
Out of Boredom,7.0881264,125.5943935,4,Great quality matcha!,Matcha
Out of Boredom,7.0881264,125.5943935,4,Great quality matcha!,Matcha
Out of Boredom,7.0881264,125.5943935,5,One of my go-to Matcha in the city!,Matcha
Out of Boredom,7.0881264,125.5943935,5,Greaaaat black sesame matcha! A dream,Matcha
Out of Boredom,7.0881264,125.5943935,5,Matcha!!! One of the best🤩 …,Matcha
Out of Boredom,7.0881264,125.5943935,1,doesn’t open on time,Matcha
Out of Boredom,7.0881264,125.5943935,4,"I had OOB LVL 2 it has grainy, creamy like taste that stays in your tongue and bitter aftertaste, new to my taste buds. …",Matcha
Out of Boredom,7.0881264,125.5943935,3,Not enough seats but the coffee and service is good.,Matcha
Out of Boredom,7.0881264,125.5943935,4,Yummy matcha. Just be willing to wait. Crepe rolls were creamy.,Matcha
