place_name,latitude,longitude,rating,review_text
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"It's a really simple cafe compared to others. But the service, serving portions, drinks and food are great. It's hard to find a cafe that actually serves good food and coffee. I love their aglio e olio!"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"I am not a fan of matcha flavor but their signature matcha drink is quite good. It doesn't have a strong grassy-flavor like how I always remember matcha's taste is. …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"This is the BEST cafe for me. The price, portion sizes, service and taste. Ever since I tried their milkyway, pabalik balik nako diri. Daghan nako na try lain cafe, pero kani jud nag stand out. Simple lang ilang place, but cozy. Much better compared to other known cafe na super expensive."
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,"Was driving by Ecoland and right then and there I saw, stopped, jumped off to this newly-opened coffee place along Eagle Street. The Cold Durian Seasalt Latte which is a Kadayawan Featured drink came out just today…I was surprised by the …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Glad to have another coffee shop around the area. So far I ordered a latte and it was pretty good. The place was nice, and the staff seemed friendly and acommodating. Would try their food next time :)"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"From the first sip to the last drop, their coffee leaves me craving for more. Their brew has rich aroma, smooth flavor— my new favorite spot for sure! Each cup is crafted with care and it truly shows and I'd like to try other blend soon!"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,1,"It took almost 45 minutes to prepare two iced coffees and 1 grilled sandwich. I've been ordering consistently from Twelve Coffee via Grab without any issues, but going in-person is a whole different experience. …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,"just want to try it here. coffee just fine. place is a bit small. parking is limited. Plus point because they have wifi. strong one. 👏🏻👏🏻 …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,"their matcha latte is just so-so. order it if you like your matcha ""too"" creamy. their drinks r affordable. also has wifi and service water"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Great choices of teas and coffees. Food were great, value for food is excellent"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"helooooww~ ordered coffee and banana bread today via grab. coffee was really good. I liked that they followed my request to not make the coffee too sweet (i ordered tiramisu latte called pick me up) the coffee was very yummy! also, the …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,2,"The drink was just okay. The barista judged me based on my question. Just wanted to know if my drink would be too sweet or watery based on the ingredients. They could've answered me politely than smirking and answering my question na pina …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Our quick go to coffee fix! They also have wonderful food selection to go with your drinks! You can't go wrong with 12!"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Best coffee i have tasted so far.. pati non-coffee!! Doesn't have that aftertaste because of too much sweetness"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Barcelona and Madrid are my favorite coffee drinks, so good!!!👌 …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,"Good Drinks especially Barcelona."
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Very nice coffee, cookies and atmosphere. Reasonable price. I recommend it"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Grilled cheese sandwich is a must try!"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,1,"1 order coffee for 30mins.."
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Delicious coffee and nice place"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,"Good Drinks especially Barcelona."
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Grilled cheese sandwich is a must try!"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,1,"1 order coffee for 30mins.."
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Delicious coffee and nice place"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Cozy place"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,1,"1 sip and now it's all ice, also ordered chicken with white sauce but super dry and no sauce really unlike before, it didn't even make up for my second order which was chicken parm"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,2,"Their matcha latte tastes like they're drinking milk and has a lot of sugar. It's so sweet it's like there's no matcha, just milk."
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Their staff is so kind 🥺 And omg the drinks, hands down. They are delicious. I've actually tried their branch in kidapawan and their davao branch is just as good. Must try for coffee lovers …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"The coffee at Twelve Coffee Davao is so delicious. The taste is so delicious and rich in flavor, which is sure to thrill your taste buds. Apart from that, their customer service is also very good. The staff is caring and attentive, …"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,"Cozy place"
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,4,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
"Twelve Coffee Davao - Ecoland",7.0573666,125.56099,5,""
