place_name,latitude,longitude,rating,review_text
"Midnights Cafe",7.0728039,125.6126929,5,"I love their ceasar salad, i think i might just go here just to try it again! I also had the chance to try their experimental drink which they called their “Cacao Brew” and my feedback for it is that its good for people who dont like sweet drinks but its also not entirely bitter because it has this hint of sweetness to it, but personally, i like mine a tad bit sweeter! All in all, great place and i highly recommend!"
"Midnights Cafe",7.0728039,125.6126929,5,"The rice meal has decent amount of portion for its price. The appetizer, gambas, is a must try if you really like spicy food. The service is very good, they have cute employees too. The atmosphere is cozy and the place is well-lit. To add their place and food are aesthetically pleasing."
"Midnights Cafe",7.0728039,125.6126929,5,"Closing Time: 2am Open Everyday A newly-opened coffee shop themed with the recent album of Taylor Swift. Its name does not disappoint as they close late and they play songs the artist has written and produced. Had their incredible hearty salad with scrumptious greens, with slices of chicken. Totally worth it for an additional P50. Recommended for Swifties and Students (even workers) alike. 🕛 Best when visited at night ❤️"
"Midnights Cafe",7.0728039,125.6126929,4,"Food portion is enough to fill your hunger. It's not entirely unique. Flavors may have been encountered with other restaurants but golden silverware and large serving plates are enticing. Coffee-based beverages are not sweet, so, take note."
"Midnights Cafe",7.0728039,125.6126929,5,"The best food and drinks in DAVAO CITY. And I am not even exaggerating. All food and drinks is a must order in this cafe. The place is also very relaxing and calming. They don't pay influencers to be famous or hyped up. But you just have to try for yourself to know what I am talking about. Q"
"Midnights Cafe",7.0728039,125.6126929,5,"They have the best Ceasar salad with seared chicken. Try their Beef Kare kare and Breaded Chicken terriyaki . The Pastas are also a must try. Lastly do not forget to try thwir Caramel Machiatto its simply delish. Ambiance is divine and the staff are well trained. Kudos to the management❤️"
"Midnights Cafe",7.0728039,125.6126929,4,"They are on soft opening as of this writing :) tiny café with lots of wall sockets to use for your device + wifi. The food was just okay but the crew are already doing a great job!"
"Midnights Cafe",7.0728039,125.6126929,5,"Nice ambience and table has outlet, good for studying or work"
"Midnights Cafe",7.0728039,125.6126929,5,"The place is not too spacious but have a really beautiful interior. The food is legit delicious specially the cheesecake and the coffee. I highly recommend this café."
"Midnights Cafe",7.0728039,125.6126929,5,"Love the ambience. Ate here cos Roxas Night Market is still closed so I had to look for a place to eat. Then I found this! Food is good and portions served are just enough."
"Midnights Cafe",7.0728039,125.6126929,2,"The place is cozy. Food is mediocre. When we ordered, the shake and take away food was served first rather than the food that has to be eaten there. Also, there was a customer lying on one of the benches near to where we are eating. with the feet facing our way. So unhygienic. Not worth the Php700 at all."
"Midnights Cafe",7.0728039,125.6126929,3,"Their Iced Matcha Latte was a bit bitter and not that great. I would expect more considering its price point."
"Midnights Cafe",7.0728039,125.6126929,5,"Love their food and coffee"
"Midnights Cafe",7.0728039,125.6126929,5,"recommendable foods and drinks"
"Midnights Cafe",7.0728039,125.6126929,4,"👍👍👍👍"
"Midnights Cafe",7.0728039,125.6126929,5,"I love midnights cafe!!!"
"Midnights Cafe",7.0728039,125.6126929,5,"Tried this cafe for the first time and I loved it. Decent coffee and love the food. Very accommodating and respectful staff (guy). This cafe should give him a raise lol."
"Midnights Cafe",7.0728039,125.6126929,4,"Crowded most of the time, place is aesthetically pleasing, food and beverages are on the pricey side."
"Midnights Cafe",7.0728039,125.6126929,3,"Just saw a vid on tiktok and decided to try it with a friend. Went there around 9pm ata and it was during weekdays so we didn't have any idea that it was such a pack considering it was behind ADDU. So lots of students mostly law students I guess because we can hear them studying and discussing about cases. And since we had no idea that it was students people hanging around there we just stayed and ate tapos silent chicka because we didn't want to disturb them, tho there were chairs outside because it was too noisy that night so we decided to sit inside with aircon. We ordered their rice bowl ata to and it was great. We didn't even take pictures because both of my friends were too awkward. Their coffees also looked like I had latte then my friend ordered a strawberry drink and it was super delicious. I also wanna add their biscoff cookie super delicious too."
"Midnights Cafe",7.0728039,125.6126929,5,"This is the cafe I keep coming back to because their food and drinks are delicious, plus the place is very cozy. They even have Biscoff cheesecake 😍"
"Midnights Cafe",7.0728039,125.6126929,5,"This is my current favorite cafe in our area. They are open until 2AM and 90% of what they play is Taylor Swift songs. It's a bit cramped inside, but the variety of chairs you can sit on inside, and outside makes it seem like there will be a place for you. The ambiance is nice, the place is well-lit, they have a nice one person cr at the back of the cafe. There was no wifi when I visited, but that's because they're still fixing it. The potato wedges I ordered here were delicious, and their Spanish latte was super duper strong, super perfect for an all-nighter HAHAHA. Oh yeah, for me, this cafe has a great view, situated in front of Ateneo Law School, you can see cars and people passing by on Jacinto Street. It's not distracting because it's far away. All in all, I'll definitely be back for a good all nighter 👍👍👍"
"Midnights Cafe",7.0728039,125.6126929,5,""
"Midnights Cafe",7.0728039,125.6126929,5,""
"Midnights Cafe",7.0728039,125.6126929,4,""
"Midnights Cafe",7.0728039,125.6126929,5,""
"Midnights Cafe",7.0728039,125.6126929,4,""
"Midnights Cafe",7.0728039,125.6126929,5,""
"Midnights Cafe",7.0728039,125.6126929,3,""
"Midnights Cafe",7.0728039,125.6126929,5,""
