place_name,shop_type,clean_review
Don Macchiatos Coffee,matcha, thumbs_up  thumbs_up  thumbs_up  thumbs_up  …
BRGR Alley Café,coffee,Place is clean and organized. Staff were polite. Food is good but I hope mas mabilis yung preparation next time.
The Matcha Tokyo - SM Davao,matcha,loved the matcha here  heart_hands_light_skin_tone  teacup_without_handle 
"KAOS CAFE - 24 Hours, Jacinto St.",coffee,"Unlocked its doors just last May. The white-black-red color motif the store played around together with the abstract paintings inside was admirable. Few parking slots, affordable rates and hopeful menu selection. Chicken adobo was delicious and the extra sauce made it scrummier. As more matcha beverages are gaining traction in cafés, this is one you'd definitely have to visit. The Hojicha whether 12 or 16 oz. was priced the same. Appreciate it more as the café operates 24 hours a day with kind staff to greet and bid you as you leave."
Fika Cafe - Lapu-Lapu,coffee,Their staff are very accommodating ang nice  thumbs_up   smiling_face_with_smiling_eyes  …
Whisk Davao Matcha,matcha,Served by Angel
The Matcha Tokyo - SM Davao,matcha,Nice service
Barok Cafe & Resto,coffee,"Food is good for its price. Mabilis lang din ang waiting time. I like what I ordered. Their tuna pesto pasta was good, tho it was a bit greasy for my liking but it's fine. I thought that the serving was a bit small, but I'm full. I forgot the name of the coffee I had but it was good too —on the sweeter side. But my friend said it was too bitter. Idk. Service is 3 bcs I don't know where to put the payment methods. It was the downside for me :( We don't really use cash and being able to take payments through credit cards or at least have QR codes for GCash will make it more convenient. Hope they'll have those options soon."
HYGGE COFFEE 2,coffee,My go to sa city 24 hrs good drinks not exceptional service all the time may crew na mabait at rude sometimes but overall a comfort coffee shop.
Knto Cinco - Lapu Lapu,matcha,"UPDATED: I haven't dined in here and always only go by Grab but I bet their pasta and cereal latte are great. However, the matcha is just disappointing because it's nothing special but it's pricey and just plain bad :( …"
Daleachious Cafe - Buhangin Branch,coffee,"Paid around 220 for a regular sized spanish latte with oatside (+40). Unfortunately, di lami. Unless you're staying inside the shop, masulit guro nimo ang 200+. Another overpriced ""aesthetic"" coffee shop."
Coffeepaste Davao,coffee,"The food and drinks are very budget friendly for students and it's really good. However, if you need a big space for studying, their space is quite small. Overall though, my visit here was worth it. Would definitely be coming back occasionally."
KISOM Atelier,matcha,good matcha. level 3 matcha is a must try!!
Habitat Coffee - Tulip Branch,coffee,₱179 pesos for a really small iced seasalt latte. I can't justify the taste and size for the price. I expected more because of the reviews. I guess this is just another aesthetic coffee shop in Davao na di lami.
Whisk Davao Matcha,matcha,"We enjoyed it much here; cozy, delicious drinks and great service. Ms Angel, their staff, was also very accommodating. We would definitely come back!!"
KISOM Atelier,matcha,"This is my first time reviewing a store and now I'm just expressing my experience with your staff, I forgot the name and it was like Thomas or something. So I ordered matcha with a flavored one I think it was pistachio and he was the …"
Whisk Davao Matcha,matcha,"I had an amazing experience at Whisk in Davao, thanks to Aaron. He truly went above and beyond by introducing and serving me a variety of matcha-based coffee drinks, each one with its own festive and unique character. He took the time to …"
WORK CO COWORKING MATINA BRANCH,coffee,place is cozy and cold internet is good and fast silent many clients good place to study parking area (first come first serve) until 8 am closing hours (meaning you can stay the whole night) nce nce may fridge pa sila if you want to buy softdrinks may cup noodles din sila for sale you can buy outside and bring them inside free coffee pakabusog ka free water good cr may common area with people or solo pod (alone) iz goooodddd
sips sala,matcha,"Went here Jan. 18, 2026. Had our first caffeine area since getting back in Davao (airplane coffee does not count) …"
