place_name,rating,shop_type,sentence,TargetAspect
Hygge Coffee,4,coffee,"the atmosphere here is very nice, the crew here is very approachable and the service is swift.",Ambiance and Atmosphere
WKND 1970,3,coffee,Drinks were okay.,Product Quality
Starbucks - SM Lanang,5,coffee,"Great Coffee, Wonderful Staff!",Product Quality
The Matcha Tokyo - SM Davao,3,matcha,Seems like the cashier or the order taker was very tired.,Customer Service
Cafe Demitasse,4,coffee,"The food is quite good, although the serving portions are too small for its price.",Product Quality
Gulf Coast Coffee and Co.,5,coffee,You can also get to sip a cup of freshly grounded coffee of your choice.,Product Quality
Annipie Airport View,4,coffee,"Have been coming here several times and the food has generally been great - taste, portion size and price.",Price and Value
Cafe Julieta,2,coffee,"The place has a good vibe , but the food was ok , staff isn't fast , had to ask to provide extras like water , sauce , food isn't worth the price",Price and Value
JH Garden Cafe and Restaurant Matina,5,coffee,"Also, open 24 hours so if may biglaang cravings, ayos lang.",Store Operations and Accessibility
The Secret Garden Cafe,5,coffee,The food is too good .,Product Quality
Koffiepauze,4,matcha,great ambiance.,Ambiance and Atmosphere
HYGGE COFFEE 2,1,coffee,"The service time was also unreasonable, as our order took more than 30 minutes to be served.",Customer Service
Whisk It Good Matcha,5,matcha,Very good matcha and very good service.,Product Quality
STASH Coffee Co.,5,coffee,"However, service is the closest category I feel like the problems with supply falls into.",Customer Service
Seattle's Best Coffee,1,coffee,• Prices for the food and beverages were expensive but the quality and taste was so disappointing.,Product Quality
Starbucks - GMall of Davao,5,coffee,"Cake is nice, not that sweet but the serving is quite huge for me..",Product Quality
Starbucks - SM Lanang,4,coffee,"Positioned as an ""island platform"" within the sprawling mall, it creates a distinct, open-air feel that sets it apart from other branches.",Store Operations and Accessibility
"The Coffee Bar, Gaisano Mall of Toril",1,coffee,Food takes too long to serve for only two meals (more than 1 hr serving time),Product Quality
BRGR Alley Café,4,coffee,"I ordered Whistle burger with mild spice; the service is well, the atmosphere feels like you're in some resort vacation.",Customer Service
Humble Table,3,coffee,"On the bright side, I appreciate that their drinks are Singaporean-inspired, as the barista shared.",Product Quality
Darkk Coffee Co.,5,coffee,"The warm ambiance and friendly people evoke memories of teenage hangouts, while the expertly crafted offers a comforting taste of the past.",Ambiance and Atmosphere
Starbucks,5,coffee,I love how they coffee,Product Quality
Cafe Basilico,5,coffee,Their pizza is delicious and their crew is all attentive.,Customer Service
444 Coffee,5,coffee,Not one of the cafes that is purely aesthetic.,Ambiance and Atmosphere
Green Coffee - Diversion,5,coffee,The parking space is quite big too and its a drive thru coffee shop.,Facilities and Amenities
Black Scoop Cafe Matina,4,coffee,"The place is well maintained and cold, perfect for study place or chill with friends or family.",Ambiance and Atmosphere
Coffee By The Way,2,coffee,Used to be my favorite coffee place- not anymore.,Product Quality
T'Brews Cafe,5,coffee,The coffee is delicious and the aglio olio pasta is so delicious red_heart  Keep it up,Product Quality
Seattle's Best Coffee,5,coffee,"Seattle's Best Coffee DGT gives that simple comfort , smooth and rich coffee, good food, relaxing ambiance, and friendly people that make every visit feel light and easy.",Customer Service
Starbucks SM Davao Expansion Wing,5,coffee,Yummy coffee,Product Quality
Outlook,4,coffee,"Additionally, the menu includes a variety of pizzas that are not only affordable but also packed with flavor, making them a great choice for any meal.",Price and Value
sips sala,5,matcha,Super love the people din serving us and the place was so chill and intimate parang secret spot lng for u and ur kasama,Ambiance and Atmosphere
Cafe Basilico,3,coffee,Food can be improved by a lot.,Product Quality
